,First Name,Last Name,ID,Documents,Cited By,Preprints,Coauthor,Topics,Awarded Grants,Category,Primary Affiliation,Secondary Affiliations,max_cite,pub_div,recent_3,academic_age,h_index
0,Daron,Acemoglu,7003483273,259,30411,71,137,21,2,Economics and Business,"Massachusetts Institute of Technology (MIT), United States",,4862.0,96,19,29,95
1,Viral V.,Acharya,7005203497,131,7984,60,112,0,0,Economics and Business,"New York University, United States",,1107.0,45,9,22,52
2,Herman,Aguinis,7006100196,199,12826,0,221,27,1,Economics and Business,"George Washington University, United States",,1803.0,67,28,29,62
3,David,Ahlstrom,56525447800,100,5548,0,105,16,0,Economics and Business,"Chinese University of Hong Kong, Hong Kong",,1017.0,43,15,25,39
4,Hunt,Allcott,17433648600,31,5577,21,57,12,0,Economics and Business,"New York University, United States",,1996.0,15,2,15,27
5,Raphael,Amit,7004998175,49,14772,1,30,3,0,Economics and Business,"University of Pennsylvania, United States",,4570.0,32,2,36,32
6,B. W.,Ang,7007186262,161,8540,1,59,4,0,Economics and Business,"National University of Singapore, Singapore",,1380.0,36,9,36,68
7,John,Antonakis,8256230000,67,5009,0,164,9,0,Economics and Business,"University of Lausanne, Switzerland",,1169.0,34,8,20,33
8,Nicholas,Apergis,6701803017,382,7698,3,212,74,0,Economics and Business,"King Abdulaziz University, Saudi Arabia","University of Piraeus, Greece",711.0,135,87,30,49
9,Dan,Ariely,7003817999,216,16785,3,370,37,4,Economics and Business,"Duke University, United States",,1434.0,109,17,27,68
10,David H.,Autor,6602634280,65,10363,28,65,8,2,Economics and Business,"Massachusetts Institute of Technology (MIT), United States",,2126.0,24,6,24,42
11,Julie,Battilana,14119410800,27,3697,0,25,2,1,Economics and Business,"Harvard University, United States",,1340.0,23,1,17,18
12,Pascual,Berrone,57204409370,44,4237,0,51,10,0,Economics and Business,"IESE Business School, Spain","University of Navarra, Spain",1181.0,33,8,15,22
13,Julian,Birkinshaw,7003272873,180,12199,1,123,15,0,Economics and Business,"London Business School, United Kingdom","University of London, United Kingdom",2334.0,50,9,27,55
14,Nicholas,Bloom,55147487400,78,11354,75,101,16,7,Economics and Business,"Stanford University, United States",,2559.0,39,15,24,40
15,Markus K.,Brunnermeier,56009422500,45,6517,29,49,10,0,Economics and Business,"Princeton University, United States",,1727.0,27,7,23,28
16,Garry D.,Bruton,6603867202,115,7876,0,102,13,0,Economics and Business,"Texas Christian University, United States",,1017.0,47,14,29,50
17,Marshall,Burke,9744099300,86,7899,30,191,22,2,Economics and Business,"Stanford University, United States",,1828.0,47,25,18,37
18,David,Card,7006709011,114,12132,24,89,12,6,Economics and Business,"Consejo Superior de Investigaciones Cientificas (CSIC), Spain","University of California Berkeley, United States",1566.0,39,14,40,51
19,Gary,Charness,6701817928,111,6984,14,98,9,0,Economics and Business,"University of California Santa Barbara, United States",,1799.0,34,14,22,44
20,Raj,Chetty,56240427600,56,7345,15,48,12,8,Economics and Business,"Harvard University, United States","Stanford University, United States",1014.0,26,5,17,36
21,Thomas Y.,Choi,35228407900,93,7315,0,102,11,0,Economics and Business,"Arizona State University, United States","Norwegian University of Science & Technology (NTNU), Norway",953.0,28,17,30,42
22,James J.,Chrisman,6603889384,135,6373,0,110,6,0,Economics and Business,"Mississippi State University, United States","University of Alberta, Canada",765.0,50,13,38,60
23,Jess H.,Chua,7005163494,80,4538,0,41,2,0,Economics and Business,"University of Calgary, Canada",,765.0,33,1,43,44
24,Kevin G.,Corley,7004228468,46,9766,0,50,7,0,Economics and Business,"Arizona State University, United States",,3889.0,25,5,23,30
25,Stefano,Dellavigna,23391949900,35,4101,16,36,9,1,Economics and Business,"University of California Berkeley, United States",,992.0,16,5,21,22
26,Thomas,Dohmen,7801649494,50,4194,5,55,8,0,Economics and Business,"Maastricht University, Netherlands",,1572.0,36,5,20,27
27,Esther,Duflo,6602205596,90,15574,2,182,13,0,Economics and Business,"Massachusetts Institute of Technology (MIT), United States",,4495.0,41,2,25,52
28,Kathleen M.,Eisenhardt,6701924601,83,29116,1,61,11,1,Economics and Business,"Stanford University, United States",,8363.0,37,11,37,46
29,Armin,Falk,56257581700,86,8988,33,111,10,0,Economics and Business,"University of Bonn, Germany",,1572.0,44,9,23,43
30,Eugene F.,Fama,6603950815,90,31163,13,14,4,0,Economics and Business,"University of Chicago, United States",,10740.0,22,4,54,57
31,Ernst,Fehr,56211794400,227,28910,32,759,16,1,Economics and Business,"University of Zurich, Switzerland",,5548.0,80,18,33,87
32,Nicolai J.,Foss,7005282199,229,10624,13,131,30,0,Economics and Business,"Bocconi University, Italy","Copenhagen Business School, Denmark",739.0,109,23,29,58
33,Kenneth R.,French,7006094907,51,28170,5,21,2,0,Economics and Business,"Dartmouth College, United States",,10740.0,13,2,42,42
34,Xavier,Gabaix,55897948300,58,6546,14,47,8,2,Economics and Business,"Harvard University, United States","National Bureau of Economic Research, United States",1014.0,28,2,23,38
35,Simon,Gaechter,6602903941,83,10260,13,127,8,0,Economics and Business,"University of Nottingham, United Kingdom","Institute for the Future of Labor (IZA), Germany",3115.0,41,9,26,40
36,William L.,Gardner,7202841337,84,6928,0,107,16,0,Economics and Business,"Texas Tech University, United States",,1630.0,29,7,40,33
37,Nicola,Gennaioli,16063789100,38,2686,13,17,8,0,Economics and Business,"Bocconi University, Italy",,330.0,16,5,17,26
38,Lucy L.,Gilson,7005551617,192,6978,0,434,26,0,Economics and Business,"University of Connecticut, United States",,685.0,50,20,35,54
39,Edward L.,Glaeser,7003688582,181,23275,45,286,16,1,Economics and Business,"Harvard University, United States",,1514.0,86,18,28,78
40,Uri,Gneezy,6701455596,106,11392,13,122,10,3,Economics and Business,"University of California San Diego, United States","University of California System, United States",2305.0,46,14,26,46
41,Erik,Gomez-Baggethun,24175588700,99,7972,0,484,14,0,Economics and Business,"Autonomous University of Barcelona, Spain",,887.0,49,16,15,54
42,Luis R.,Gomez-Mejia,6603684572,126,8902,1,119,11,0,Economics and Business,"Arizona State University, United States",,2068.0,57,16,46,53
43,Adam M.,Grant,9333161800,76,8799,0,92,7,0,Economics and Business,"University of Pennsylvania, United States",,997.0,37,2,18,50
44,Michael,Greenstone,57212692527,104,2464,0,179,4,0,Economics and Business,"University of Chicago, United States","Becker Friedman Institute, United States",496.0,44,0,41,32
45,Christian,Gronroos,6603496661,84,12189,0,65,8,0,Economics and Business,"Hanken Sch Econ, Helsinki, Finland",,3052.0,33,6,49,43
46,Joseph F.,Hair Jr.,16230161100,133,19979,0,167,0,0,Economics and Business,"University of South Alabama, United States",,8109.0,59,26,47,43
47,James J.,Heckman,7102737699,238,24719,46,153,21,10,Economics and Business,"University of Chicago, United States",,2343.0,97,12,48,89
48,Constance E.,Helfat,6701800744,54,8602,1,41,11,0,Economics and Business,"Dartmouth College, United States",,2185.0,18,2,35,34
49,Jorg,Henseler,29067736100,97,17045,0,121,21,0,Economics and Business,"University of Twente, Netherlands","Universidade Nova de Lisboa, Portugal",7393.0,62,24,14,37
50,Michael,Hitt,8092411400,230,25635,0,221,21,0,Economics and Business,"Texas A&M University System, United States",,1791.0,93,23,47,88
51,Solomon M.,Hsiang,36518809500,24,2711,0,47,4,0,Economics and Business,"National Bureau of Economic Research, United States",,789.0,14,0,12,16
52,David,Huffman,16245412800,29,3658,8,36,7,0,Economics and Business,"Swarthmore College, United States",,1572.0,22,0,18,19
53,Guido W.,Imbens,6603956309,98,17570,41,155,9,3,Economics and Business,"Stanford University, United States",,2892.0,37,11,28,56
54,R. Duane,Ireland,56111740200,121,16184,0,117,11,0,Economics and Business,"Texas A&M University System, United States",,1969.0,50,7,40,59
55,Matthew O.,Jackson,7404069278,135,9572,34,117,12,7,Economics and Business,"The Santa Fe Institute, United States","Canadian Institute for Advanced Research (CIFAR), Canada; Stanford University, United States",2078.0,43,6,36,55
56,Lutz,Kilian,7004023654,96,6713,64,54,4,0,Economics and Business,"Federal Reserve Bank - Dallas, United States",,1772.0,39,8,24,53
57,Patrick,Kline,12798840800,23,2277,16,17,5,1,Economics and Business,"University of California Berkeley, United States","University of California System, United States",834.0,11,3,16,17
58,Tatiana,Kostova,6603774111,40,7507,0,40,6,0,Economics and Business,"University of South Carolina Columbia, United States",,1810.0,19,6,27,29
59,V.,Kumar,7404634666,213,10862,0,200,28,0,Economics and Business,"Georgia State University, United States","Huazhong University of Science & Technology, China Mainland",807.0,46,26,34,64
60,Rafael,La Porta,6701383903,35,27173,1,16,0,0,Economics and Business,"Dartmouth College, United States",,8975.0,19,0,26,32
61,Luc,Laeven,6603399214,86,9297,39,58,10,0,Economics and Business,"Centre for Economic Policy Research - UK, United Kingdom",,1378.0,36,9,21,46
62,David S.,Lee,55698907900,20,3817,5,17,3,0,Economics and Business,"Princeton University, United States","National Bureau of Economic Research, United States",1720.0,12,4,23,15
63,Manfred,Lenzen,7003767895,279,10622,0,404,26,0,Economics and Business,"University of Sydney, Australia",,764.0,107,58,26,76
64,Marianne W.,Lewis,7404188750,44,5849,0,43,4,0,Economics and Business,"City University London, United Kingdom","University of Cincinnati, United States",1575.0,32,3,24,27
65,Yadong,Luo,7404332342,162,13036,0,79,13,0,Economics and Business,"University of Miami, United States","Sun Yat Sen University, China Mainland",1767.0,51,8,27,69
66,Robert F.,Lusch,6602566503,134,16138,0,104,8,0,Economics and Business,"University of Arizona, United States",,7736.0,63,3,46,51
67,Ulrike,Malmendier,17342742600,38,5361,34,30,7,0,Economics and Business,"University of California Berkeley, United States","National Bureau of Economic Research, United States",1515.0,19,9,18,24
