,Documents,Cited By,Preprints,Coauthor,Topics,Awarded Grants,Category,max_cite,pub_div,recent_3,academic_age,h_index,labels,Country
0,259,30411,71,137,21,2,1.0,4862.0,96,19,29,95,0,24.0
1,131,7984,60,112,0,0,1.0,1107.0,45,9,22,52,3,24.0
2,199,12826,0,221,27,1,1.0,1803.0,67,28,29,62,3,24.0
3,100,5548,0,105,16,0,1.0,1017.0,43,15,25,39,3,8.0
4,31,5577,21,57,12,0,1.0,1996.0,15,2,15,27,3,24.0
5,49,14772,1,30,3,0,1.0,4570.0,32,2,36,32,3,24.0
6,161,8540,1,59,4,0,1.0,1380.0,36,9,36,68,3,16.0
7,67,5009,0,164,9,0,1.0,1169.0,34,8,20,33,3,20.0
8,382,7698,3,212,74,0,1.0,711.0,135,87,30,49,1,15.0
9,216,16785,3,370,37,4,1.0,1434.0,109,17,27,68,3,24.0
10,65,10363,28,65,8,2,1.0,2126.0,24,6,24,42,3,24.0
11,27,3697,0,25,2,1,1.0,1340.0,23,1,17,18,3,24.0
12,44,4237,0,51,10,0,1.0,1181.0,33,8,15,22,3,18.0
13,180,12199,1,123,15,0,1.0,2334.0,50,9,27,55,3,23.0
14,78,11354,75,101,16,7,1.0,2559.0,39,15,24,40,3,24.0
15,45,6517,29,49,10,0,1.0,1727.0,27,7,23,28,3,24.0
16,115,7876,0,102,13,0,1.0,1017.0,47,14,29,50,3,24.0
17,86,7899,30,191,22,2,1.0,1828.0,47,25,18,37,3,24.0
18,114,12132,24,89,12,6,1.0,1566.0,39,14,40,51,3,18.0
19,111,6984,14,98,9,0,1.0,1799.0,34,14,22,44,3,24.0
20,56,7345,15,48,12,8,1.0,1014.0,26,5,17,36,3,24.0
21,93,7315,0,102,11,0,1.0,953.0,28,17,30,42,3,24.0
22,135,6373,0,110,6,0,1.0,765.0,50,13,38,60,3,24.0
23,80,4538,0,41,2,0,1.0,765.0,33,1,43,44,3,1.0
24,46,9766,0,50,7,0,1.0,3889.0,25,5,23,30,3,24.0
25,35,4101,16,36,9,1,1.0,992.0,16,5,21,22,3,24.0
26,50,4194,5,55,8,0,1.0,1572.0,36,5,20,27,3,12.0
27,90,15574,2,182,13,0,1.0,4495.0,41,2,25,52,3,24.0
28,83,29116,1,61,11,1,1.0,8363.0,37,11,37,46,0,24.0
29,86,8988,33,111,10,0,1.0,1572.0,44,9,23,43,3,7.0
30,90,31163,13,14,4,0,1.0,10740.0,22,4,54,57,0,24.0
31,227,28910,32,759,16,1,1.0,5548.0,80,18,33,87,0,20.0
32,229,10624,13,131,30,0,1.0,739.0,109,23,29,58,3,9.0
33,51,28170,5,21,2,0,1.0,10740.0,13,2,42,42,0,24.0
34,58,6546,14,47,8,2,1.0,1014.0,28,2,23,38,3,24.0
