Scopus - 作者产出分析

"作者姓名:","Kline, Patrick"
"Scopus 作者 ID:","12798840800"

"h-Index:","17"

"起始年份:","2006"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","834","Where is the land of opportunity? The geography of intergenerational mobility in the United States"
"2","312","The quarterly journal of economics"
"3","278","Is the United States still a land of opportunity? Recent trends in intergenerational mobility"
"4","221","Local economic development, agglomeration economies, and the big push: 100 years of evidence from the Tennessee Valley Authority"
"5","197","Assessing the incidence and efficiency of a prominent place based policy"
"6","141","Bargaining, sorting, and the gender wage gap: Quantifying the impact of firms on the relative pay of women"
"7","139","People, places, and public policy: Some simple welfare economics of local economic development programs"
"8","121","Firms and labor market inequality: Evidence and some theory"
"9","90","Evaluating public programs with close substitutes: The case of head start"
"10","62","A Score Based Approach to Wild Bootstrap Inference"
"11","61","Relational costs and the production of social capital: Evidence from carpooling"
"12","60","Oaxaca-Blinder as a reweighting estimator"
"13","45","Place based policies, heterogeneity, and agglomeration"
"14","41","Place based policies with unemployment"
"15","30","The impact of juvenile curfew laws on arrests of youth and adults"
"16","21","Bounding the labor supply responses to a randomized welfare experiment: A revealed preference approach"
"17","17","Sensitivity to missing data assumptions: Theory and an evaluation of the U.S. wage structure"
"18","13","Higher order properties of the wild bootstrap under misspecification"
"19","11","Leave-Out Estimation of Variance Components"
"20","11","On Heckits, LATE, and Numerical Equivalence"
"21","5","A note on variance estimation for the Oaxaca estimator of average treatment effects"
"22","3","Reasonable Doubt: Experimental Detection of Job-Level Employment Discrimination"
"23","1","It ain't where you're from, it's where you're at: Hiring origins, firm heterogeneity, and wages"

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
