Scopus - 作者产出分析

"作者姓名:","Schularick, Moritz"
"Scopus 作者 ID:","14042326300"

"h-Index:","20"

"起始年份:","2006"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","889","Credit booms gone bust: Monetary policy, leverage cycles, and financial crises, 1870-2008"
"2","318","When credit bites back"
"3","233","Financial crises, credit booms, and external imbalances: 140 years of lessons"
"4","181","The great mortgaging: Housing finance, crises and business cycles"
"5","170","Macrofinancial history and the new business cycle facts"
"6","153","Leveraged bubbles"
"7","151","Going to extremes: Politics after financial crises, 1870–2014"
"8","128","No price like home: Global house prices, 1870-2012"
"9","118","The empire effect: The determinants of country risk in the first age of globalization, 1880-1913"
"10","115","Betting the house"
"11","80","'Chimerica' and the global asset market boom"
"12","69","Sovereigns versus banks: Credit, crises, and consequences"
"13","48","Financial integration, investment, and economic growth: Evidence from two eras of financial globalization"
"14","36","Tariffs and economic growth in the first era of globalization"
"15","32","The costs of macroprudential policy"
"16","27","A tale of two 'globalizations': Capital flows from rich to poor in two eras of global finance"
"17","24","The Costs of Economic Nationalism: Evidence from the Brexit Experiment∗"
"18","24","The End of Chimerica"
"19","21","The effects of quasi-random monetary experiments"
"20","21","The Macroeconomic Effects of Large Exchange Rate Appreciations"
"21","19","Income and wealth inequality in america, 1949–2016"
"22","19","Global Financial Cycles and Risk Premiums"
"23","16","The ""thin film of gold"": Monetary rules and policy credibility"
"24","11","Public and Private Debt: The Historical Record (1870-2010)"
"25","8","Bank Capital Redux: Solvency, Liquidity, and Crisis"
"26","8","Public debt and financial crises in the twentieth century"
"27","6","Touching the brakes after the crash: A historical view of reserve accumulation and financial integration"
"28","3","When to Lean against the Wind"
"29","3","The new housing question. Winners and losers in times of the german housing boom | Die neue wohnungsfrage gewinner und verlierer des deutschen immobilienbooms"
"30","3","Public debt in the western world (1880-2009) | Staatsverschuldung in der westlichen welt (1880-2009)"
"31","2","The macroeconomic impact of Trump"
"32","2","The making of america's imbalances"
"33","2","140 years of financial crises: Old dog, new tricks"
"34","1","The college wealth divide: Education and inequality in America, 1956-2016"
"35","1","The end of financial globalization 3.0"
"36","0","IMMUNITY"
"37","0","Towards a new paradigm: Stabilising financial markets"

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
