Scopus - 作者产出分析

"作者姓名:","Battilana, Julie"
"Scopus 作者 ID:","14119410800"

"h-Index:","18"

"起始年份:","2005"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","1330","Building sustainable hybrid organizations: The case of commercial microfinance organizations"
"2","804","Advancing Research on Hybrid Organizing - Insights from the Study of Social Enterprises"
"3","469","Agency and institutions: The enabling role of individuals' social position"
"4","450","The governance of social enterprises: Mission drift and accountability challenges in hybrid organizations"
"5","351","Harnessing productive tensions in hybrid organizations: The case of work integration social enterprises"
"6","322","Institutional work and the paradox of embedded agency"
"7","226","Organizing for Society: A Typology of Social Entrepreneuring Models"
"8","216","Acting globally but thinking locally? The enduring influence of local communities on organizations"
"9","182","Change agents, networks, and institutions: A contingency theory of organizational change"
"10","166","Importation as innovation: Transposing managerial practices across fields"
"11","155","Leadership competencies for implementing planned organizational change"
"12","119","The enabling role of social position in diverging from the institutional status quo: Evidence from the UK national health service"
"13","62","Overcoming resistance to organizational change: Strong ties and affective cooptation"
"14","34","The circulation of ideas across academic communities: When locals re-import exported ideas"
"15","32","Cracking the organizational challenge of pursuing joint social and financial goals: Social enterprise as a laboratory to understand hybrid organizing"
"16","30","The network secrets of great change agents"
"17","23","Blurring the boundaries: The interplay of gender and local communities in the commercialization of social ventures"
"18","22","Building an infrastructure for empirical research on social enterprise: Challenges and opportunities"
"19","12","New prospects for organizational democracy?: How the joint pursuit of social and financial goals challenges traditional organizational designs"
"20","11","The role of resources in institutional entrepreneurship: Insights for an approach to strategic management that combines agency and institution"
"21","11","Initiating divergent organizational change: The enabling role of actors' social position"
"22","8","The dual-purpose playbook"
"23","6","Social entrepreneurs, socialization processes, and social change: The case of SEKEM"
"24","2","Power, social influence and organizational change: The role of network position in change implementation"
"25","1","Communicating change: When identity becomes a source of vulnerability for institutional challengers"
"26","0","New venture milestones and the first female board member"
"27","0","Interorganizational cooperation between not-for-profit organizations: A relational analysis"

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
