Scopus - 作者产出分析

"作者姓名:","Vargo, Stephen Louis"
"Scopus 作者 ID:","15822707600"

"h-Index:","52"

"起始年份:","1998"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","7729","Evolving to a New Dominant Logic for Marketing"
"2","3850","Service-dominant logic: Continuing the evolution"
"3","1721","On value and value co-creation: A service systems and service logic perspective"
"4","1478","Institutions and axioms: an extension and update of service-dominant logic"
"5","1028","Competing through service: Insights from service-dominant logic"
"6","1019","Service-dominant logic: Reactions, reflections and refinements"
"7","857","It's all B2B...and beyond: Toward a systems perspective of the market"
"8","722","The Four Service Marketing Myths: Remnants of a Goods-Based, Manufacturing Model"
"9","602","Health Care Customer Value Cocreation Practice Styles"
"10","596","Service, value networks and learning"
"11","587","Contextualization and value-in-context: How context frames exchange"
"12","556","From goods to service(s): Divergences and convergences of logics"
"13","537","Service-dominant logic: Premises, perspectives, possibilities"
"14","514","Service-dominant logic 2025"
"15","505","Service innovation in the digital age: Key contributions and future directions"
"16","454","The evolving brand logic: A service-dominant logic perspective"
"17","435","The service system is the basic abstraction of service science"
"18","385","Innovation through institutionalization: A service ecosystems perspective"
"19","372","Service-dominant logic: What it is, what it is not, what it might be"
"20","347","Why ""service""?"
"21","317","Toward a conceptual foundation for service science: Contributions from service-dominant logic"
"22","271","Toward a transcending conceptualization of relationship: A service-dominant logic perspective"
"23","254","Customer integration and value creation: Paradigmatic traps and perspectives"
"24","247","The complexity of context: A service ecosystems approach for international marketing"
"25","229","The service system is the basic abstraction of service science"
"26","154","Technology as an operant resource in service (eco)systems"
"27","140","Extending the context of service: from encounters to ecosystems"
"28","128","Converging on a new theoretical foundation for selling"
"29","126","Service-dominant logic as a foundation for a general theory"
"30","124","An exploration of networks in value cocreation: A service-ecosystems view"
"31","123","Fostering a trans-disciplinary perspectives of service ecosystems"
"32","123","The context of experience"
"33","112","Services in society and academic thought: An historical analysis"
"34","101","Transitioning from service management to service-dominant logic: Observations and recommendations"
"35","100","Service-dominant logic: A necessary step"
"36","96","Inversions of service-dominant logic"
"37","86","A systems perspective on markets – Toward a research agenda"
"38","84","A service lens on value creation: Marketing's role in achieving strategic advantage"
"39","84","Marketing as Service-Exchange:. Taking a Leadership Role in Global Marketing Management"
"40","83","Market systems, stakeholders and value propositions: Toward a service-dominant logic-based theory of the market"
"41","79","Extending actor participation in value creation: an institutional view"
"42","77","Conceptualizing Value: A Service-ecosystem View"
"43","77","Business models as service strategy"
"44","77","Institutions as resource context"
"45","77","The service-dominant logic of marketing: Dialog, debate, and directions"
"46","76","On A Theory of Markets and Marketing: From Positively Normative to Normatively Positive"
"47","75","Service-dominant logic"
"48","61","Reconfiguration of the conceptual landscape: A tribute to the service logic of Richard Normann"
"49","59","Emerging digital frontiers for service innovation"
"50","58","A service perspective. Key managerial insights from service-dominant (S-D) logic."
"51","56","The nature and understanding of value: A service-dominant logic perspective"
"52","55","Rethinking the process of diffusion in innovation: A service-ecosystems and institutional perspective"
"53","51","Institutional complexity as a driver for innovation in service ecosystems"
"54","47","The role of symbols in value cocreation"
"55","46","Preface"
"56","45","Evolving to a new dominant logic for marketing"
"57","36","Historical perspectives on service-dominant logic"
"58","34","Service-dominant (S-D) logic, service ecosystems and institutions: bridging theory and practice"
"59","33","The co-creation of value-incultural- context"
"60","24","On marketing theory and service-dominant logic: Connecting some dots"
"61","21","Triads: A review and analytical framework"
"62","19","Extending the context of innovation: The co-creation and institutionalization of technology and markets"
"63","19","The supply chain management of shopper marketing as viewed through a service ecosystem lens"
"64","19","The use of price and warranty cues in product evaluation: A comparison of U.S. and Hong Kong consumers"
"65","17","Paradigms, Pluralisms, and Peripheries: On the Assessment of the S-D Logic"
"66","15","Advancing conceptual-only articles in marketing"
