Scopus - 作者产出分析

"作者姓名:","Sufi, Amir"
"Scopus 作者 ID:","16048547000"

"h-Index:","25"

"起始年份:","2005"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","741","The consequences of mortgage credit expansion: Evidence from the U.S. mortgage default crisis"
"2","545","Information asymmetry and financing arrangements: Evidence from syndicated loans"
"3","438","House prices, home equity-based borrowing, and the US household leverage crisis"
"4","401","Household balance sheets, consumption, and the economic slump"
"5","342","Bank lines of credit in corporate finance: An empirical analysis"
"6","270","What Explains the 2007-2009 Drop in Employment?"
"7","261","Creditor control rights and firm investment policy"
"8","242","Creditor control rights, corporate governance, and firm value"
"9","237","Renegotiation of financial contracts: Evidence from private credit agreements"
"10","222","Control rights and capital structure: An empirical investigation"
"11","187","Capital structure and debt structure"
"12","168","Household debt and business cycles worldwide"
"13","155","The political economy of the US mortgage default crisis"
"14","151","The real effects of debt certification: Evidence from the introduction of bank loan ratings"
"15","132","Household leverage and the recession of 2007-09"
"16","117","The effects of fiscal stimulus: Evidence from the 2009 cash for clunkers program"
"17","103","Foreclosures, House Prices, and the Real Economy"
"18","90","The great recession: Lessons from microeconomic data"
"19","84","Dynamic risk management"
"20","62","Resolving debt overhang: Political constraints in the aftermath of financial crises"
"21","53","Explaining corporate capital structure: Product markets, leases, and asset similarity"
"22","47","Finance and business cycles: The credit-driven household demand channel"
"23","47","Dynamic inefficiencies in insurance markets: Evidence from long-term care insurance"
"24","36","The political economy of the subprime mortgage credit expansion"
"25","31","Fraudulent income overstatement on mortgage applications during the credit expansion of 2002 to 2005"
"26","16","Who Bears the Cost of Recessions? The Role of House Prices and Household Debt"
"27","14","How Does Credit Supply Expansion Affect the Real Economy? The Productive Capacity and Household Demand Channels"
"28","8","Prospects for inflation in a high pressure economy: Is the Phillips curve dead or is it just hibernating?"
"29","7","Language after liftoff: Fed communication away from the zero lower bound"
"30","5","Household debt and recession in Brazil"
"31","3","Low Interest Rates, Market Power, and Productivity Growth"
"32","3","Indebted Demand"
"33","1","Credit Supply and Housing Speculation"
"34","0","Lender Incentives, Credit Risk, and Securitization: Evidence from the Subprime Mortgage Crisis"
"35","0","Household balance sheets, aggregate demand and unemployment"

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
