Scopus - 作者产出分析

"作者姓名:","Gennaioli, Nicola"
"Scopus 作者 ID:","16063789100"

"h-Index:","26"

"起始年份:","2005"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","330","Salience theory of choice under risk"
"2","328","Human capital and regional development"
"3","267","Salience and consumer choice"
"4","247","Neglected risks, financial innovation, and financial fragility"
"5","200","The modern impact of precolonial centralization in Africa"
"6","194","Sovereign default, domestic banks, and financial institutions"
"7","148","Money doctors"
"8","147","A Model of shadow banking"
"9","133","Stereotypes"
"10","121","The evolution of common law"
"11","104","What comes to mind"
"12","97","Growth in regions"
"13","87","State Capacity and Military Conflict"
"14","84","Dynastic management"
"15","74","Diagnostic Expectations and Credit Cycles"
"16","73","Expectations and investment"
"17","61","Competition for Attention"
"18","58","Salience and asset prices"
"19","57","Beliefs about gender"
"20","53","Neglected risks: The psychology of financial crises"
"21","42","Salience in experimental tests of the endowment effect"
"22","40","Banks, government Bonds, and Default: What do the data Say?"
"23","36","Judicial fact discretion"
"24","35","Overruling and the instability of law"
"25","31","Overreaction in Macroeconomic Expectations"
"26","29","Memory, Attention, and Choice"
"27","26","Diagnostic Expectations and Stock Returns"
"28","26","Salience theory of judicial decisions"
"29","26","Judicial discretion in corporate bankruptcy"
"30","22","Economics and politics of alternative institutional reforms"
"31","19","Contractual resolutions of financial distress"
"32","18","Finance and the preservation of wealth"
"33","14","Credit constraints, competition, and meritocracy"
"34","12","Optimal contracts with enforcement risk"
"35","4","Diagnostic bubbles"
"36","3","Identity, Beliefs, and Political Conflict"
"37","2","Memory and representativeness."
"38","0","Institutions, Financial Integration, and Complementarity"

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
