Scopus - 作者产出分析

"作者姓名:","Hair, Joseph Franklin"
"Scopus 作者 ID:","16230161100"

"h-Index:","43"

"起始年份:","1975"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","8100","PLS-SEM: Indeed a silver bullet"
"2","3423","An assessment of the use of partial least squares structural equation modeling in marketing research"
"3","3279","Partial least squares structural equation modeling (PLS-SEM): An emerging tool in business research"
"4","2700","When to use and how to report the results of PLS-SEM"
"5","1683","Partial Least Squares Structural Equation Modeling: Rigorous Applications, Better Results and Higher Acceptance"
"6","1337","Common Beliefs and Reality About PLS: Comments on Rönkkö and Evermann (2013)"
"7","953","The Use of Partial Least Squares Structural Equation Modeling in Strategic Management Research: A Review of Past Practices and Recommendations for Future Applications"
"8","882","An updated and expanded assessment of PLS-SEM in information systems research"
"9","667","Partial least squares structural equation modeling (PLS-SEM): A useful tool for family business researchers"
"10","657","Estimation issues with PLS and CBSEM: Where the bias lies!"
"11","615","Mirror, mirror on the wall: a comparative evaluation of composite-based structural equation modeling methods"
"12","506","Assessing measurement model quality in PLS-SEM using confirmatory composite analysis"
"13","459","Predictive model assessment in PLS-SEM: guidelines for using PLSpredict"
"14","369","How to specify, estimate, and validate higher-order constructs in PLS-SEM"
"15","322","Rethinking some of the rethinking of partial least squares"
"16","290","Partial Least Squares: The Better Approach to Structural Equation Modeling?"
"17","263","Identifying and treating unobserved heterogeneity with FIMIX-PLS: part I – method"
"18","242","Role stress, work-family conflict and emotional exhaustion: Inter-relationships and effects on some work-related consequences"
"19","232","On the Emancipation of PLS-SEM: A Commentary on Rigdon (2012)"
"20","204","Covariance-Based Structural Equation Modeling in the Journal of Advertising: Review and Recommendations"
"21","185","Addressing endogeneity in international marketing applications of partial least squares structural equation modeling"
"22","167","Individual psychological ownership: Concepts, evidence, and implications for research in marketing"
"23","141","PLS-SEM: Looking Back and Moving Forward"
"24","122","Methodological research on partial least squares structural equation modeling (PLS-SEM): An analysis based on social network approaches"
"25","113","Heresies and sacred cows in scholarly marketing publications"
"26","110","Exploring the effect of distinct family firm reputation on consumers' preferences"
"27","104","Towards a unified theory of brand equity: Conceptualizations, taxonomy and avenues for future research"
"28","103","Beyond a tandem analysis of SEM and PROCESS: Use of PLS-SEM for mediation analyses!"
"29","97","Partial least squares structural equation modeling-based discrete choice modeling: an illustration in modeling retailer choice"
"30","94","Journal of Marketing Theory and Practice: From the special issue guest editors"
"31","94","Publishing research in marketing journals using structural equation modeling"
"32","93","The essentials of business research methods: Third Edition"
"33","82","Internet research using partial least squares structural equation modeling (PLS-SEM)"
"34","75","Salesforce automation systems: An exploratory examination of organizational factors associated with effective implementation and salesforce productivity"
"35","72","Business ethics, corporate social responsibility, and brand attitudes: An exploratory study"
"36","69","Identifying and treating unobserved heterogeneity with FIMIX-PLS: Part II – A case study"
"37","63","Treating unobserved heterogeneity in PLS-SEM: A multi-method approach"
"38","58","More than friendship is required: An empirical test of cooperative firm strategies"
"39","57","Factors versus Composites: Guidelines for Choosing the Right Structural Equation Modeling Method"
"40","56","Validating a model of cooperative procurement in the construction industry"
"41","50","Knowledge creation in marketing: The role of predictive analytics"
"42","50","Needs assessment and evaluation in sales-training programs"
"43","43","The older-worker-younger-supervisor dyad: A test of the reverse pygmalion effect"
"44","38","Ethics, Corporate Social Responsibility, and Sustainability Education in AACSB Undergraduate and Graduate Marketing Curricula: A Benchmark Study"
"45","36","The global family business: Challenges and drivers for cross-border growth"
"46","34","Method trends and method needs: Examining methods needed for accelerating the field"
"47","33","Trust and reciprocity in building inter-personal and inter-organizational commitment in small business co-operatives"
"48","31","Development and validation of attitudes measurement scales: fundamental and practical aspects"
"49","29","Executing and interpreting applications of PLS-SEM: Updates for family business researchers"
"50","26","Next-generation prediction metrics for composite-based PLS-SEM"
"51","26","A ""cross-cultural RELQUAL-scale"" in supplier-distributor relationships of Sweden and the USA"
"52","25","Cooperative strategies for improving the tourism industry in remote geographic regions: An addition to trust and commitment theory with one key mediating construct"
"53","24","Essential new PLS-SEM analysis methods for your entrepreneurship analytical toolbox"
"54","24","Essentials of business research methods"
"55","22","Prediction: Coveted, Yet Forsaken? Introducing a Cross-Validated Predictive Ability Test in Partial Least Squares Path Modeling"
"56","22","Marketing academicians' perceptions of ethical research and publishing behavior"
"57","21","Explanation Plus Prediction—The Logical Focus of Project Management Research"
"58","21","Multilevel modeling for longitudinal data: concepts and applications"
"59","21","The Basic Psychological Need Satisfaction and Frustration Scale in Exercise (BPNSFS-E): Validity, Reliability, and Gender Invariance in Portuguese Exercisers"
"60","21","A content analysis of animation in television advertising"
"61","19","Data, measurement, and causal inferences in machine learning: opportunities and challenges for marketing"
"62","19","Is stakeholder orientation relevant for European firms?"
"63","19","An Exploratory Examination of Teaching Styles Currently Employed in Marketing Education: Developing a Typology and its Implications for Marketing Students"
"64","18","Definition, conceptualization and measurement of consumer-based retailer brand equity"
"65","18","Halal endorsements: stirring controversy or gaining new customers?"
"66","17","Increased Engagement or Reduced Exhaustion: Which Accounts for the Effect of Job Resources on Salesperson Job Outcomes?"
"67","17","Correspondence analysis: A promising technique to interpret qualitative data in family business research"
"68","16","An investigation of the effect of family influence on Commitment-Trust in retailer-vendor strategic partnerships"
"69","16","Innovative and established research methods in family business: Description, illustration and application guidelines"
"70","16","Why do salespeople fail?"
"71","15","Examining the Role of Psychological Ownership and Feedback in Customer Empowerment Strategies"
"72","14","Traditional and high-tech sales training methods"
"73","13","Publishing quantitative papers with rigor and transparency"
"74","12","Corrigendum to ""Editorial Partial Least Squares Structural Equation Modeling: Rigorous Applications, Better Results and Higher Acceptance"" [LRP, 46, 1-2, (2013), 1-12], doi: 10.1016/j.lrp.2013.01.001"
"75","12","Developing a measure of perceived environmental risk"
"76","11","Praise or revenge: why do consumers post about organizations on social media"
"77","11","Marketing research in the 21st century: Opportunities and challenges"
"78","11","The Precursor Role of Cooperation, Coordination, and Relationship Assets in a Relationship Model"
"79","11","An exploratory investigation of reward and corrective responses to salesperson performance: An attributional approach"
"80","10","Secondary agency conflicts: A synthesis and proposed measurement model"
"81","9","Marketing and branding in family business: Assessing the landscape and charting a path forward"
"82","9","Why do salespeople fail?"
"83","9","Usage and perceived effectiveness of high-tech approaches to sales training"
"84","8","All autonomy is not created equal: the countervailing effects of salesperson autonomy on burnout"
"85","8","The Use of Technology in Direct-Selling Marketing Channels: Digital Avenues for Dynamic Growth"
"86","8","To protect and attract: Firms cooperating in nature-based tourism destinations"
"87","7","An examination of pro-stakeholder unethical behavior in the sales ethics subculture"
"88","7","Corporate social responsibility and business ethics: conceptualization, scale development and validation"
"89","7","Corrigendum to: Covariance-Based Structural Equation Modeling in the Journal of Advertising : Review and Recommendations (Journal of Advertising, (2017), 46, 1, (163-177), 10.1080/00913367.2017.1281777)"
"90","5","Social network marketing: A segmentation approach to understanding purchase intention"
"91","5","Motives, partner selection and establishing Trust Reciprocity and Interorganisational commitment"
"92","4","Progress in partial least squares structural equation modeling use in marketing research in the last decade"
"93","4","Advancing family business research through modeling nonlinear relationships: Comparing PLS-SEM and multiple regression"
"94","4","Toward a better understanding of the Australian Business Deans Council (ABDC) list and its rankings"
"95","4","Employee theft: Views from two sides"
"96","3","Customer-brand disidentification: Conceptualization, scale development and validation"
"97","3","PLS-SEM: Prediction-oriented solutions for HRD researchers"
"98","3","Product liability and safety: Perspectives from business versus public policy makers"
"99","3","Cognitive consistency theory and student evaluation of teacher effectiveness"
"100","2","The influence of organizational culture on how we define and pursue goals: The value of regulatory focus"
"101","2","From the Special Issue Guest Editors"
"102","1","Reflections on SEM"
