Scopus - 作者产出分析

"作者姓名:","Huffman, David B."
"Scopus 作者 ID:","16245412800"

"h-Index:","19"

"起始年份:","2004"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","1571","Individual risk attitudes: Measurement, determinants, and behavioral consequences"
"2","519","Are risk aversion and impatience related to cognitive ability?"
"3","338","The intergenerational transmission of risk and trust attitudes"
"4","324","Reference points and effort provision"
"5","310","Global evidence on economic preferences"
"6","305","The impact of group membership on cooperation and norm enforcement: Evidence using random assignment to real social groups"
"7","189","Cross-sectional earnings risk and occupational sorting: The role of risk attitudes"
"8","173","Direct evidence on risk attitudes and migration"
"9","130","Homo reciprocans: Survey evidence o behavioural outcomes"
"10","119","Representative trust and reciprocity: Prevalence and determinants"
"11","89","The impact of social ties on group interactions: Evidence from minimal groups and randomly assigned real groups"
"12","67","Risk Attitudes Across The Life Course"
"13","64","Competition between organizational groups: Its impact on altruistic and antisocial motivations"
"14","49","Validating an ultra-short survey measure of patience"
"15","46","Loss aversion and labor supply"
"16","43","On the relationship between cognitive ability and risk preference"
"17","34","Attention, intentions, and follow-through in preventive health behavior: Field experimental evidence on flu vaccination"
"18","28","Biased probability judgment: Evidence of incidence and relationship to economic outcomes from a representative sample"
"19","19","Studying labor market institutions in the lab: Minimum wages, employment protection, and workfare"
"20","13","Financial incentive strategies for maintenance of weight loss: Results from an internet-based randomized controlled trial"
"21","12","Time discounting and economic decision-making in the older population"
"22","9","The design and conduct of Keep It Off: An online randomized trial of financial incentives for weight-loss maintenance"
"23","8","Institutions and contract enforcement"
"24","8","Contractual incompleteness, unemployment, and labour market segmentation"
"25","4","The intergenerational transmission of attitudes"
"26","4","Affect and the Motivational Foundations of Social Capital"
"27","2","Trust and the law"
"28","2","Affect and cognition as a source of motivation: A new model and evidence from natural experiments"
"29","0","The impact of emotions on wage setting and unemployment"

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
