Scopus - 作者产出分析

"作者姓名:","Malmendier, Ulrike"
"Scopus 作者 ID:","17342742600"

"h-Index:","24"

"起始年份:","2004"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","1515","CEO overconfidence and corporate investment"
"2","1123","Who makes acquisitions? CEO overconfidence and the market's reaction"
"3","716","Depression Babies: Do Macroeconomic Experiences Affect Risk Taking?"
"4","571","Overconfidence and Early-Life Experiences: The Effect of Managerial Traits on Corporate Financial Policies"
"5","497","Paying not to go to the gym"
"6","380","Testing for altruism and social pressure in charitable giving"
"7","319","Contract design and self-control: Theory and evidence"
"8","306","Financial expertise of directors"
"9","242","Are small investors naive about incentives?"
"10","225","Learning from inflation experiences"
"11","208","Does overconfidence affect corporate investment? CEO overconfidence measures revisited"
"12","139","Sorting in experiments with application to social preferences"
"13","103","Behavioral CEOs: The role of managerial overconfidence"
"14","97","Voting to tell others"
"15","86","With a little help from my (random) friends: Success and failure in post-business school entrepreneurship"
"16","84","The bidder's curse"
"17","76","Do security analysts speak in two tongues?"
"18","75","Contractibility and the design of research agreements"
"19","60","Law and finance ""at the origin"""
"20","46","The role of theory in field experiments"
"21","43","Behavioral economics of organizations"
"22","35","Target revaluation after failed takeover attempts: Cash versus stock"
"23","33","The importance of being marginal: Gender differences in generosity"
"24","25","On the verges of overconfidence"
"25","20","Winning by losing: Evidence on the long-run effects of mergers"
"26","19","You owe me"
"27","18","Does a bank's history affect its risk taking?"
"28","17","Rethinking reciprocity"
"29","15","Exposure to grocery prices and inflation expectations"
"30","14","The making of hawks and doves"
"31","12","Investor experiences and financial market dynamics"
"32","8","Gender roles produce divergent economic expectations"
"33","4","Investor experiences and international capital flows"
"34","3","Experience Effects in Finance: Foundations, Applications, and Future Directions"
"35","3","The bidder's curse: Reply"
"36","1","FBBVA Lecture 2020 Exposure, Experience, and Expertise: Why Personal Histories Matter in Economics"
"37","0","Estimating Social Preferences and Gift Exchange at Work"
"38","0","Fishing for fools"

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
