Scopus - 作者产出分析

"作者姓名:","Allcott, Hunt"
"Scopus 作者 ID:","17433648600"

"h-Index:","27"

"起始年份:","2007"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","1989","Social media and fake news in the 2016 election"
"2","1182","Social norms and energy conservation"
"3","485","Behavior and energy policy"
"4","461","The short-run and long-run effects of behavioral interventions: Experimental evidence from energy conservation"
"5","438","Is there an energy efficiency gap?"
"6","241","Rethinking real-time electricity pricing"
"7","185","Gasoline prices, fuel economy, and the energy paradox"
"8","176","Polarization and public health: Partisan differences in social distancing during the coronavirus pandemic"
"9","152","Trends in the diffusion of misinformation on social media"
"10","147","Evaluating behaviorally motivated policy: Experimental evidence from the lightbulb market"
"11","133","Site selection bias in program evaluation"
"12","121","How do electricity shortages affect industry? Evidence from India"
"13","118","Dutch disease or agglomeration? The local economic effects of natural resource booms in modern America"
"14","110","Energy policy with externalities and internalities"
"15","110","Consumers' perceptions and misperceptions of energy costs"
"16","87","The welfare effects of nudges: A case study of energy use social comparisons"
"17","73","The welfare effects of social media†"
"18","72","Opportunities for advances in climate change economics"
"19","69","Food deserts and the causes of nutritional inequality"
"20","60","Should we tax sugar-sweetened beverages? An overview of theory and evidence"
"21","59","The welfare effects of misperceived product costs: Data and calibrations from the automobile market"
"22","35","Community size and network closure"
"23","34","Tagging and targeting of energy efficiency subsidies"
"24","32","Are consumers poorly informed about fuel economy? Evidence from two experiments"
"25","32","Regulating internalities"
"26","31","The role of sales agents in information disclosure: Evidence from a field experiment"
"27","30","Paternalism and Energy Efficiency: An Overview"
"28","22","Designing better sugary drink taxes"
"29","12","Is There an Energy Efficiency Gap?"
"30","3","Counterpoint to six potential arguments against ""Regulating Internalities"""
"31","0","Erratum to Gasoline prices, fuel economy, and the energy paradox [The Review of Economics and Statistics, 97, 2, (2015), 531]"

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
