Scopus - 作者产出分析

"作者姓名:","Rand, David G."
"Scopus 作者 ID:","23095594600"

"h-Index:","55"

"起始年份:","2008"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","1813","Using social and behavioural science to support COVID-19 pandemic response"
"2","859","The online laboratory: Conducting experiments in a real labor market"
"3","734","Statistical physics of human cooperation"
"4","714","Spontaneous giving and calculated greed"
"5","705","Human cooperation"
"6","611","Structural topic models for open-ended survey responses"
"7","470","Winners don't punish"
"8","447","Positive interactions promote public cooperation"
"9","434","Lazy, not biased: Susceptibility to partisan fake news is better explained by lack of reasoning than by motivated reasoning"
"10","422","Social heuristics shape intuitive cooperation"
"11","415","The promise of Mechanical Turk: How online labor markets can help theorists run behavioral experiments"
"12","408","Fighting COVID-19 Misinformation on Social Media: Experimental Evidence for a Scalable Accuracy-Nudge Intervention"
"13","397","Dynamic social networks promote cooperation in experiments with humans"
"14","313","Prior exposure increases perceived accuracy of fake news"
"15","296","Divine intuition: Cognitive style influences belief in God"
"16","216","The evolution of antisocial punishment in optional public goods games"
"17","209","Cooperation, Fast and Slow: Meta-Analytic Evidence for a Theory of Social Heuristics and Self-Interested Deliberation"
"18","200","Fighting misinformation on social media using crowdsourced judgments of news source quality"
"19","198","Humans display a 'cooperative phenotype' that is domain general and temporally stable"
"20","189","Economic games on the internet: The effect of $1 stakes"
"21","185","Third-party punishment as a costly signal of trustworthiness"
"22","179","Who falls for fake news? The roles of bullshit receptivity, overclaiming, familiarity, and analytic thinking"
"23","177","Cooperating with the future"
"24","167","Social heuristics and social roles: Intuition favors altruism for women but not for men"
"25","167","Emotions as infectious diseases in a large social network: The SISa model"
"26","165","Intuition, deliberation, and the evolution of cooperation"
"27","160","Currency value moderates equity preference among young children"
"28","152","Inequality and visibility of wealth in experimental social networks"
"29","147","Evolution of fairness in the one-shot anonymous Ultimatum Game"
"30","146","Belief in Fake News is Associated with Delusionality, Dogmatism, Religious Fundamentalism, and Reduced Analytic Thinking"
"31","145","Slow to anger and fast to forgive: Cooperation in an uncertain world"
"32","143","Anti-social punishment can prevent the co-evolution of punishment and cooperation"
"33","142","Evolution of in-group favoritism"
"34","137","Direct reciprocity in structured populations"
"35","135","Infectious disease modeling of social contagion in networks"
"36","124","Habits of virtue: Creating norms of cooperation and defection in the laboratory"
"37","114","Direct reciprocity with costly punishment: Generous tit-for-tat prevails"
"38","100","Fake news, fast and slow: Deliberation reduces belief in false (but not true) news headlines"
"39","94","Do people care about social context? Framing effects in dictator games"
"40","93","The implied truth effect: Attaching warnings to a subset of fake news headlines increases perceived accuracy of headlines without warnings"
"41","91","Heuristics guide the implementation of social preferences in one-shot Prisoner's Dilemma experiments"
"42","89","Fast but not intuitive, slow but not reflective: Decision conflict drives reaction times in social dilemmas"
"43","87","Political sectarianism in America: A poisonous cocktail of othering, aversion, and moralization poses a threat to democracy"
"44","84","Promoting cooperation in the field"
"45","84","Individual versus systemic risk and the Regulator's Dilemma"
"46","83","Shifting attention to accuracy can reduce misinformation online"
"47","81","Dynamic remodeling of in-group bias during the 2008 residential election"
"48","80","Do the right thing: Experimental evidence that preferences for moral behavior, rather than equity or efficiency per se, drive human prosociality"
"49","80","Uncalculating cooperation is used to signal trustworthiness"
"50","74","Risking your life without a second thought: Intuitive decision-making and extreme altruism"
"51","60","Reflection does not undermine self-interested prosociality"
"52","58","Information gerrymandering and undemocratic decisions"
"53","55","Why Do We Hate Hypocrites? Evidence for a Theory of False Signaling"
"54","55","Who cooperates in repeated games: The role of altruism, inequity aversion, and demographics"
"55","55","Contagion of Cooperation in Static and Fluid Social Networks"
"56","52","Reliance on emotion promotes belief in fake news"
"57","52","Social Context and the Dynamics of Cooperative Choice"
"58","50","The Psychology of Fake News"
"59","50","Signaling emotion and reason in cooperation"
"60","50","The value of reputation"
"61","49","Agent-Based Modeling: A Guide for Social Psychologists"
"62","47","Signaling when no one is watching: A reputation heuristics account of outrage and punishment in one-shot anonymous interactions"
"63","45","A field experiment on community policing and police legitimacy"
"64","45","Time pressure increases cooperation in competitively framed social dilemmas"
"65","44","Self-reported willingness to share political news articles in online surveys correlates with actual sharing on Twitter"
"66","44","Credibility-enhancing displays promote the provision of non-normative public goods"
"67","43","The effects of endowment size and strategy method on third party punishment"
"68","40","Cognitive Reflection and the 2016 U.S. Presidential Election"
"69","39","Thinking clearly about causal inferences of politically motivated reasoning: why paradigmatic study designs often undermine causal inference"
"70","39","Repetition increases perceived truth equally for plausible and implausible statements"
"71","38","Intuitive Honesty Versus Dishonesty: Meta-Analytic Evidence"
"72","38","Punishment does not promote cooperation under exploration dynamics when anti-social punishment is possible"
"73","38","Information, irrationality, and the evolution of trust"
"74","37","Social dilemma cooperation (unlike Dictator Game giving) is intuitive for men as well as women"
"75","36","Performance on the cognitive reflection test is stable across time"
"76","36","What does ""clean"" really mean? The implicit framing of decontextualized experiments"
"77","36","The Emergence of ""Us and Them"" in 80 Lines of Code: Modeling Group Genesis in Homogeneous Populations"
"78","35","It's the thought that counts: The role of intentions in noisy repeated games"
"79","34","The collective benefits of feeling good and letting go: Positive emotion and (dis) inhibition interact to predict cooperative behavior"
"80","32","Investigating the Robustness of the Illusory Truth Effect Across Individual Differences in Cognitive Ability, Need for Cognitive Closure, and Cognitive Style"
"81","32","Co-evolution of cooperation and cognition: The impact of imperfect deliberation and context-sensitive intuition"
"82","31","Opposing Oxytocin Effects on Intergroup Cooperative Behavior in Intuitive and Reflective Minds"
"83","30","Evolutionary dynamics in finite populations can explain the full range of cooperative behaviors observed in the centipede game"
"84","29","Time pressure and honesty in a deception game"
"85","27","An uncertainty management perspective on long-run impacts of adversity: The influence of childhood socioeconomic status on risk, time, and social preferences"
"86","26","The shadow of the future promotes cooperation in a repeated prisonerâ ™ s dilemma for children"
"87","25","Taxing the Brain to Uncover Lying? Meta-analyzing the Effect of Imposing Cognitive Load on the Reaction-Time Costs of Lying"
"88","25","Think global, act local: Preserving the global commons"
"89","25","Adaptive polling for information aggregation"
"90","25","Stochastic evolutionary dynamics resolve the Traveler's Dilemma"
"91","25","Dopamine and risk choices in different domains: Findings among serious tournament bridge players"
"92","24","Cross-cultural support for a link between analytic thinking and disbelief in god: Evidence from India and the United Kingdom"
"93","24","Religious motivations for cooperation: An experimental investigation using explicit primes"
"94","24","Third party reward and punishment: Group size, efficiency and public goods"
"95","23","Reflections on the Time-Pressure Cooperation Registered Replication Report"
"96","23","Harnessing Reciprocity to Promote Cooperation and the Provisioning of Public Goods"
"97","22","Retaliation and antisocial punishment are overlooked in many theoretical models as well as behavioral experiments"
"98","21","Cognitive reflection correlates with behavior on Twitter"
"99","21","Social Environment Shapes the Speed of Cooperation"
"100","20","Digital health support in treatment for tuberculosis"
"101","20","Cyclical population dynamics of automatic versus controlled processing: An evolutionary pendulum"
"102","20","From good institutions to generous citizens: Top-down incentives to cooperate promote subsequent prosociality but not norm enforcement"
"103","20","The relationship between intertemporal choice and following the path of least resistance across choices, preferences, and beliefs"
"104","19","The Evolution of Coercive Institutional Punishment"
"105","18","Elite party cues increase vaccination intentions among Republicans"
"106","18","Timing matters when correcting fake news"
"107","18","The evolution and devolution of cognitive control: The costs of deliberation in a competitive world"
"108","18","Rand et al. reply"
"109","17","Will the Crowd Game the Algorithm?: Using Layperson Judgments to Combat Misinformation on Social Media by Downranking Distrusted Sources"
"110","17","Cooperation and decision time"
"111","17","No unique effect of intergroup competition on cooperation: non-competitive thresholds are as effective as competitions between groups for increasing human cooperative behavior"
"112","17","How Good Is the Samaritan, and Why?: An Experimental Investigation of the Extent and Nature of Religious Prosociality Using Economic Games"
"113","17","Evolutionary game dynamics of controlled and automatic decision-making"
"114","16","Cooperation, decision time, and culture: Online experiments with American and Indian participants"
"115","15","Crosstalk in concurrent repeated games impedes direct reciprocity and requires stronger levels of forgiveness"
"116","15","Non-naïvety may reduce the effect of intuition manipulations"
"117","15","Evolutionary dynamics of a system with periodic coefficients"
"118","14","Turking in the time of COVID"
"119","14","Shared partisanship dramatically increases social tie formation in a Twitter field experiment"
"120","13","Rethinking the Link Between Cognitive Sophistication and Politically Motivated Reasoning"
"121","13","Hopf Bifurcations in Two-Strategy Delayed Replicator Dynamics"
"122","13","Delayed and Inconsistent Information and the Evolution of Trust"
"123","12","Beliefs About COVID-19 in Canada, the United Kingdom, and the United States: A Novel Test of Political Polarization and Motivated Reasoning"
"124","12","Don’t get it or don’t spread it: comparing self-interested versus prosocial motivations for COVID-19 prevention behaviors"
"125","12","Bayesian or biased? Analytic thinking and political belief updating"
"126","12","Indirect Reciprocity and the Evolution of Prejudicial Groups"
"127","12","Third-party punishment as a costly signal of high continuation probabilities in repeated games"
"128","11","Profit Versus Prejudice: Harnessing Self-Interest to Reduce In-Group Bias"
"129","11","Limit cycles sparked by mutation in the repeated Prisoner's Dilemma"
"130","11","Nonlinear parametric excitation of an evolutionary dynamical system"
"131","10","“I'm just a soul whose intentions are good”: The role of communication in noisy repeated games"
"132","9","Turkers of the World Unite: Multilevel In-Group Bias Among Crowdworkers on Amazon Mechanical Turk"
"133","9","Rare and costly prosocial behaviors are perceived as heroic"
