Scopus - 作者产出分析

"作者姓名:","DellaVigna, Stefano"
"Scopus 作者 ID:","23391949900"

"h-Index:","22"

"起始年份:","2001"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","992","Psychology and economics: Evidence from the field"
"2","593","The fox news effect: Media bias and voting"
"3","556","Investor inattention and friday earnings announcements"
"4","497","Paying not to go to the gym"
"5","380","Testing for altruism and social pressure in charitable giving"
"6","319","Contract design and self-control: Theory and evidence"
"7","177","Persuasion: Empirical evidence"
"8","158","Job search and impatience"
"9","145","Discrimination, social identity, and durable inequalities"
"10","137","Nine facts about top journals in economics"
"11","98","Demographics and industry returns"
"12","97","Voting to tell others"
"13","81","What motivates effort? Evidence and expert forecasts"
"14","80","Does movie violence increase violent crime?"
"15","72","Cross-border media and nationalism: Evidence from serbian radio in croatia"
"16","55","Uniform pricing in U.S. Retail chains"
"17","48","Reference-dependent job search: Evidence from Hungary"
"18","46","The role of theory in field experiments"
"19","35","Predicting experimental results: Who knows what?"
"20","33","The importance of being marginal: Gender differences in generosity"
"21","32","Are Referees and Editors in Economics Gender Neutral?"
"22","22","What do editors maximize? Evidence from four economics journals"
"23","16","Predict science to improve science: Systematic collection of predictions of research findings can provide many benefits"
"24","14","Page limits on economics articles: Evidence from two journals"
"25","11","Does conflict of interest lead to biased coverage? Evidence from movie reviews"
"26","10","Market-based lobbying: Evidence from advertising spending in Italy"
"27","8","Learning to make risk neutral choices in a symmetric world"
"28","7","Capital Budgeting versus Market Timing: An Evaluation Using Demographics"
"29","3","RCTs to Scale: Comprehensive Evidence From Two Nudge Units"
"30","3","Consumers who care"
"31","1","Evidence on Job Search Models from a Survey of Unemployed Workers in Germany"
"32","1","Psychology and economics: Evidence from the field. part i: Nonstandard preferences (introduction by s. pyastolov)"
"33","1","Psychology and economics: Evidence from the field. part iii. nonstandard decision making and market response"
"34","0","Estimating Social Preferences and Gift Exchange at Work"
"35","0","Letter from the Editors of JEEA"

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
