Scopus - 作者产出分析

"作者姓名:","Ringle, Christian M."
"Scopus 作者 ID:","23480356200"

"h-Index:","57"

"起始年份:","2008"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","8100","PLS-SEM: Indeed a silver bullet"
"2","7377","A new criterion for assessing discriminant validity in variance-based structural equation modeling"
"3","5772","The use of partial least squares path modeling in international marketing"
"4","3423","An assessment of the use of partial least squares structural equation modeling in marketing research"
"5","2700","When to use and how to report the results of PLS-SEM"
"6","1683","Partial Least Squares Structural Equation Modeling: Rigorous Applications, Better Results and Higher Acceptance"
"7","1337","Common Beliefs and Reality About PLS: Comments on Rönkkö and Evermann (2013)"
"8","1273","A critical look at the use of PLS-SEM in MIS quarterly"
"9","953","The Use of Partial Least Squares Structural Equation Modeling in Strategic Management Research: A Review of Past Practices and Recommendations for Future Applications"
"10","751","Testing measurement invariance of composites using partial least squares"
"11","685","Multigroup analysis in partial least squares (PLS) path modeling: Alternative methods and empirical results"
"12","667","Partial least squares structural equation modeling (PLS-SEM): A useful tool for family business researchers"
"13","657","Estimation issues with PLS and CBSEM: Where the bias lies!"
"14","615","Mirror, mirror on the wall: a comparative evaluation of composite-based structural equation modeling methods"
"15","459","Predictive model assessment in PLS-SEM: guidelines for using PLSpredict"
"16","426","An assessment of the use of partial least squares structural equation modeling (PLS-SEM) in hospitality research"
"17","406","Gain more insight from your PLS-SEM results the importance-performance map analysis"
"18","369","How to specify, estimate, and validate higher-order constructs in PLS-SEM"
"19","322","Rethinking some of the rethinking of partial least squares"
"20","291","Confirmatory tetrad analysis in PLS path modeling"
"21","290","Partial Least Squares: The Better Approach to Structural Equation Modeling?"
"22","288","Partial least squares structural equation modeling in HRM research"
"23","263","Identifying and treating unobserved heterogeneity with FIMIX-PLS: part I – method"
"24","243","Using partial least squares path modeling in advertising research: Basic concepts and recent issues"
"25","232","On the Emancipation of PLS-SEM: A Commentary on Rigdon (2012)"
"26","219","A critical look at the use of SEM in international business research"
"27","214","Discovering unobserved heterogeneity in structural equation models to avert validity threats"
"28","195","European management research using partial least squares structural equation modeling (PLS-SEM)"
"29","186","Urban vs. rural destinations: Residents’ perceptions, community participation and support for tourism development"
"30","185","Addressing endogeneity in international marketing applications of partial least squares structural equation modeling"
"31","148","Structural model robustness checks in PLS-SEM"
"32","146","Structural modeling of heterogeneous data with partial least squares"
"33","144","Prediction-oriented modeling in business research by means of PLS path modeling: Introduction to a JBR special section"
"34","141","PLS-SEM: Looking Back and Moving Forward"
"35","136","Treating unobserved heterogeneity in PLS path modeling: A comparison of FIMIX-PLS with different data analysis strategies"
"36","133","Management of multi-purpose stadiums: Importance and performance measurement of service interfaces"
"37","122","Methodological research on partial least squares structural equation modeling (PLS-SEM): An analysis based on social network approaches"
"38","120","The role of parent brand quality for service brand extension success"
"39","108","The impact of brand extension success drivers on brand extension price premiums"
"40","104","Convergent validity assessment of formatively measured constructs in PLS-SEM: On using single-item versus multi-item measures in redundancy analyses"
"41","103","Beyond a tandem analysis of SEM and PROCESS: Use of PLS-SEM for mediation analyses!"
"42","97","Partial least squares structural equation modeling-based discrete choice modeling: an illustration in modeling retailer choice"
"43","94","Journal of Marketing Theory and Practice: From the special issue guest editors"
"44","93","Disentangling the effects of team competences, team adaptability, and client communication on the performance of management consulting teams"
"45","89","How collinearity affects mixture regression results"
"46","86","Customer satisfaction with commercial airlines: The role of perceived safety and purpose of travel"
"47","80","Enhancing Service Loyalty: The Roles of Delight, Satisfaction, and Service Quality"
"48","78","The relevance of reputation in the nonprofit sector: The moderating effect of socio-demographic characteristics"
"49","70","Estimating moderating effects in pls-sem and plsc-sem: Interaction term generation*Data treatment"
"50","69","Identifying and treating unobserved heterogeneity with FIMIX-PLS: Part II – A case study"
"51","66","Assessing heterogeneity in customer satisfaction studies: Across industry similarities and within industry differences"
"52","65","Genetic algorithm segmentation in partial least squares structural equation modeling"
"53","64","European management research using Partial Least Squares Structural Equation Modeling (PLS-SEM)"
"54","63","Treating unobserved heterogeneity in PLS-SEM: A multi-method approach"
"55","63","PLS path modeling and evolutionary segmentation"
"56","62","Whistleblowing intentions among public accountants in indonesia: Testing for the moderation effects"
"57","58","Service quality and customer satisfaction: The moderating effects of hotel star rating"
"58","54","Segmentation of PLS path models by iterative reweighted regressions"
"59","53","A concept analysis of methodological research on composite-based structural equation modeling: bridging PLSPM and GSCA"
"60","48","Enhancing loyalty: When improving consumer satisfaction and delight matters"
"61","48","The link between customer satisfaction and loyalty: the moderating role of customer characteristics"
"62","41","When predictors of outcomes are necessary: guidelines for the combined use of PLS-SEM and NCA"
"63","38","This fast car can move faster: a review of PLS-SEM application in higher education research"
"64","36","Using Cultural Archetypes in Cross-cultural Management Studies"
"65","36","Guidelines for treating unobserved heterogeneity in tourism research: A comment on Marques and Reis (2015)"
"66","34","The PLS agent: Predictive modeling with PLS-SEM and agent-based simulation"
"67","34","Finite mixture and genetic algorithm segmentation in partial least squares path modeling: Identification of multiple segments in complex path models"
"68","33","Conflating antecedents and formative indicators: A comment on Aguirre-Urreta and Marakas"
"69","31","Local strategic networks in the software industry: An empirical analysis of the value continuum"
"70","29","Executing and interpreting applications of PLS-SEM: Updates for family business researchers"
"71","29","Cutoff criteria for overall model fit indexes in generalized structured component analysis"
"72","22","Prediction: Coveted, Yet Forsaken? Introducing a Cross-Validated Predictive Ability Test in Partial Least Squares Path Modeling"
"73","20","In pursuit of understanding what drives fan satisfaction"
"74","18","Sustainable consumption behavior of Europeans: The influence of environmental knowledge and risk perception on environmental concern and behavioral intention"
"75","16","The combined use of symmetric and asymmetric approaches: partial least squares-structural equation modeling and fuzzy-set qualitative comparative analysis"
"76","15","The agony of choice for medical tourists: a patient satisfaction index model"
"77","15","The impact of brand confusion on sustainable brand satisfaction and private label proneness: A subtle decay of brand equity"
"78","12","Corrigendum to ""Editorial Partial Least Squares Structural Equation Modeling: Rigorous Applications, Better Results and Higher Acceptance"" [LRP, 46, 1-2, (2013), 1-12], doi: 10.1016/j.lrp.2013.01.001"
"79","11","Community Members' Perception of Brand Community Character: Construction and Validation of a New Scale"
"80","9","Latent class analysis in PLS-SEM: A review and recommendations for future applications"
"81","9","Monitoring transmission of systemic risk: Application of partial least squares structural equation modeling in financial stress testing"
"82","9","The customer loyalty cascade and its impact on profitability in financial services"
"83","8","Exploring the microfoundations of end-user interests toward co-creating renewable energy technology innovations"
"84","7","Elderly customers’ reactions to service failures: the role of future time perspective, wisdom and emotional intelligence"
"85","6","Appreciation to and Behavior Intention Regarding Upscale Ethnic Restaurants"
"86","4","Progress in partial least squares structural equation modeling use in marketing research in the last decade"
"87","4","Advancing family business research through modeling nonlinear relationships: Comparing PLS-SEM and multiple regression"
"88","3","An empirical examination of the thickness profile formation of twin-roll-cast magnesium strips"
"89","2","A comparative study of the predictive power of component-based approaches to structural equation modeling"
"90","2","Revisiting Gaussian copulas to handle endogenous regressors"
"91","2","What Drives Customer Loyalty? Nonlinear Effects of Customer Delight and Satisfaction on Loyalty and the Moderating Role of Service Experience"
"92","1","Guest editorial"
"93","1","Guest editorial"
"94","1","Data generation for composite-based structural equation modeling methods"
"95","0","Guest editorial: Sports management research using partial least squares structural equation modeling (PLS-SEM)"
"96","0","What’s important for relationship management? The mediating roles of relational trust and satisfaction for loyalty of cooperative banks’ customers"
"97","0","A Prediction-Oriented Specification Search Algorithm for Generalized Structured Component Analysis"
"98","0","“PLS-SEM: indeed a silver bullet”–retrospective observations and recent advances"
"99","0","Guest Editorial"
"100","0","Wine Qualities and Consumer Satisfaction: An Abstract"
