Scopus - 作者产出分析

"作者姓名:","Nunn, Nathan"
"Scopus 作者 ID:","24071551100"

"h-Index:","25"

"起始年份:","2006"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","649","The slave trade and the origins of Mistrust in Africa"
"2","591","Relationship-specificity, incomplete contracts, and the pattern of trade"
"3","541","On the origins of gender roles: Women and the plough"
"4","466","The long-term effects of Africa's slave trades"
"5","348","Ruggedness: The blessing of bad geography in Africa"
"6","287","US food aid and civil conflict"
"7","215","The potato's contribution to population and urbanization: Evidence from a historical experiment"
"8","198","Health and democracy"
"9","122","Historical legacies: A model linking Africa's past to its current underdevelopment"
"10","111","Domestic institutions as a source of comparative advantage"
"11","103","The economics of fair trade"
"12","95","The Columbian exchange: A history of disease, food, and ideas"
"13","94","Commercial imperialism? Political influence and trade during the cold war"
"14","92","Culture and the Historical Process"
"15","79","Historical Development"
"16","78","Religious conversion in Colonial Africa"
"17","71","The Evolution of Culture and Institutions: Evidence From the Kuba Kingdom"
"18","61","Incomplete contracts and the boundaries of the multinational firm"
"19","42","Fertility and the plough"
"20","39","The transmission of democracy: From the village to the nation-state"
"21","37","Gender and missionary influence in Colonial Africa"
"22","30","The structure of tariffs and long-term growth"
"23","28","Immigrants and the making of america"
"24","28","Africa’s development in historical perspective"
"25","27","The historical roots of economic development"
"26","22","Understanding ethnic identity in Africa: Evidence from the Implicit Association Test (IAT)"
"27","21","Bride price and female education"
"28","19","Keeping it in the family: Lineage organization and the scope of trust in Sub-Saharan Africa"
"29","15","Ancestral Characteristics of Modern Populations"
"30","12","Why being wrong can be right: Magical warfare technologies and the persistence of false beliefs"
"31","9","Traditional agricultural practices and the sex ratio today"
"32","6","Segmentary Lineage Organization and Conflict in Sub-Saharan Africa"
"33","5","Genetic legacy of state centralization in the Kuba Kingdom of the Democratic Republic of the Congo"
"34","2","Rethinking economic development"
"35","2","Introduction: Africa – the historical roots of its underdevelopment"
"36","0","Migrants and the making of america: The shortand long-run effects of immigration during the age of mass migration"
"37","0","Editorial"

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
