Scopus - 作者产出分析

"作者姓名:","Mian, Atif R."
"Scopus 作者 ID:","24824916100"

"h-Index:","24"

"起始年份:","2005"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","1053","Do lenders favor politically connected firms? Rent provision in an emerging financial market"
"2","741","The consequences of mortgage credit expansion: Evidence from the U.S. mortgage default crisis"
"3","444","Tracing the impact of bank liquidity shocks: Evidence from an emerging market"
"4","438","House prices, home equity-based borrowing, and the US household leverage crisis"
"5","401","Household balance sheets, consumption, and the economic slump"
"6","315","Distance constraints: The limits of foreign lending in poor economies"
"7","270","What Explains the 2007-2009 Drop in Employment?"
"8","200","Estimating the effect of hierarchies on information use"
"9","168","Household debt and business cycles worldwide"
"10","155","The political economy of the US mortgage default crisis"
"11","132","Household leverage and the recession of 2007-09"
"12","125","Unchecked intermediaries: Price manipulation in an emerging stock market"
"13","117","The effects of fiscal stimulus: Evidence from the 2009 cash for clunkers program"
"14","103","Foreclosures, House Prices, and the Real Economy"
"15","90","The great recession: Lessons from microeconomic data"
"16","62","Resolving debt overhang: Political constraints in the aftermath of financial crises"
"17","58","Incentives in markets, firms, and governments"
"18","47","Finance and business cycles: The credit-driven household demand channel"
"19","39","Collateral spread and financial development"
"20","36","The political economy of the subprime mortgage credit expansion"
"21","32","Rent seeking and corruption in financial markets"
"22","31","Fraudulent income overstatement on mortgage applications during the credit expansion of 2002 to 2005"
"23","30","The big march: Migratory flows after the partition of India"
"24","27","Liquidity risk and maturity management over the credit cycle"
"25","18","The real effects of the bank lending channel"
"26","16","Who Bears the Cost of Recessions? The Role of House Prices and Household Debt"
"27","14","How Does Credit Supply Expansion Affect the Real Economy? The Productive Capacity and Household Demand Channels"
"28","6","Population exchange and its impact on literacy, occupation and gender - evidence from the partition of India"
"29","6","Dollars Dollars Everywhere, Nor Any Dime to Lend: Credit Limit Constraints on Financial Sector Absorptive Capacity"
"30","5","Household debt and recession in Brazil"
"31","3","Low Interest Rates, Market Power, and Productivity Growth"
"32","3","Indebted Demand"
"33","2","Introduction: Big data in political economy"
"34","1","Is a household debt overhang holding back consumption?: Comments and discussion"
"35","0","Comment"
"36","0","Monetary policy and macro-prudential regulation: The risk-sharing paradigm | Política monetaria y regulación macroprudencial: El paradigma del reparto del riesgo"
"37","0","Household balance sheets, aggregate demand and unemployment"
"38","0","Comment On: Reducing foreclosures by Christopher Foote, Kristopher Gerardi, Lorenz Goette and Paul Willen"

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
