Scopus - 作者产出分析

"作者姓名:","Sarstedt, Marko"
"Scopus 作者 ID:","35957036000"

"h-Index:","57"

"起始年份:","2001"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","8100","PLS-SEM: Indeed a silver bullet"
"2","7377","A new criterion for assessing discriminant validity in variance-based structural equation modeling"
"3","3423","An assessment of the use of partial least squares structural equation modeling in marketing research"
"4","3279","Partial least squares structural equation modeling (PLS-SEM): An emerging tool in business research"
"5","2700","When to use and how to report the results of PLS-SEM"
"6","1683","Partial Least Squares Structural Equation Modeling: Rigorous Applications, Better Results and Higher Acceptance"
"7","1337","Common Beliefs and Reality About PLS: Comments on Rönkkö and Evermann (2013)"
"8","1273","A critical look at the use of PLS-SEM in MIS quarterly"
"9","953","The Use of Partial Least Squares Structural Equation Modeling in Strategic Management Research: A Review of Past Practices and Recommendations for Future Applications"
"10","751","Testing measurement invariance of composites using partial least squares"
"11","685","Multigroup analysis in partial least squares (PLS) path modeling: Alternative methods and empirical results"
"12","667","Partial least squares structural equation modeling (PLS-SEM): A useful tool for family business researchers"
"13","657","Estimation issues with PLS and CBSEM: Where the bias lies!"
"14","643","Goodness-of-fit indices for partial least squares path modeling"
"15","615","Mirror, mirror on the wall: a comparative evaluation of composite-based structural equation modeling methods"
"16","605","Guidelines for choosing between multi-item and single-item scales for construct measurement: A predictive validity perspective"
"17","459","Predictive model assessment in PLS-SEM: guidelines for using PLSpredict"
"18","426","An assessment of the use of partial least squares structural equation modeling (PLS-SEM) in hospitality research"
"19","406","Gain more insight from your PLS-SEM results the importance-performance map analysis"
"20","369","How to specify, estimate, and validate higher-order constructs in PLS-SEM"
"21","322","Rethinking some of the rethinking of partial least squares"
"22","290","Partial Least Squares: The Better Approach to Structural Equation Modeling?"
"23","288","Partial least squares structural equation modeling in HRM research"
"24","280","Heuristics versus statistics in discriminant validity testing: a comparison of four procedures"
"25","263","Identifying and treating unobserved heterogeneity with FIMIX-PLS: part I – method"
"26","243","Using partial least squares path modeling in advertising research: Basic concepts and recent issues"
"27","232","On the Emancipation of PLS-SEM: A Commentary on Rigdon (2012)"
"28","185","Addressing endogeneity in international marketing applications of partial least squares structural equation modeling"
"29","167","Individual psychological ownership: Concepts, evidence, and implications for research in marketing"
"30","149","Partial least squares structural equation modeling using SmartPLS: a software review"
"31","148","Structural model robustness checks in PLS-SEM"
"32","146","Structural modeling of heterogeneous data with partial least squares"
"33","141","PLS-SEM: Looking Back and Moving Forward"
"34","136","Treating unobserved heterogeneity in PLS path modeling: A comparison of FIMIX-PLS with different data analysis strategies"
"35","133","Management of multi-purpose stadiums: Importance and performance measurement of service interfaces"
"36","129","Measuring reputation in global markets-A comparison of reputation measures' convergent and criterion validities"
"37","122","Methodological research on partial least squares structural equation modeling (PLS-SEM): An analysis based on social network approaches"
"38","113","Direct and configurational paths of absorptive capacity and organizational innovation to successful organizational performance"
"39","109","A review of recent approaches for capturing heterogeneity in partial least squares path modelling"
"40","104","Convergent validity assessment of formatively measured constructs in PLS-SEM: On using single-item versus multi-item measures in redundancy analyses"
"41","103","Beyond a tandem analysis of SEM and PROCESS: Use of PLS-SEM for mediation analyses!"
"42","94","Journal of Marketing Theory and Practice: From the special issue guest editors"
"43","93","Disentangling the effects of team competences, team adaptability, and client communication on the performance of management consulting teams"
"44","92","Framing the triple bottom line approach: Direct and mediation effects between economic, social and environmental elements"
"45","89","How collinearity affects mixture regression results"
"46","86","Customer satisfaction with commercial airlines: The role of perceived safety and purpose of travel"
"47","82","Internet research using partial least squares structural equation modeling (PLS-SEM)"
"48","78","The relevance of reputation in the nonprofit sector: The moderating effect of socio-demographic characteristics"
"49","76","Assessing the measurement invariance of the four-dimensional cultural intelligence scale across countries: A composite model approach"
"50","70","Estimating moderating effects in pls-sem and plsc-sem: Interaction term generation*Data treatment"
"51","69","Identifying and treating unobserved heterogeneity with FIMIX-PLS: Part II – A case study"
"52","66","Assessing heterogeneity in customer satisfaction studies: Across industry similarities and within industry differences"
"53","65","PLS-based model selection: The role of alternative explanations in information systems research"
"54","65","Genetic algorithm segmentation in partial least squares structural equation modeling"
"55","63","Treating unobserved heterogeneity in PLS-SEM: A multi-method approach"
"56","63","PLS path modeling and evolutionary segmentation"
"57","59","The use of sampling methods in advertising research: a gap between theory and practice"
"58","57","Factors versus Composites: Guidelines for Choosing the Right Structural Equation Modeling Method"
"59","54","Segmentation of PLS path models by iterative reweighted regressions"
"60","53","Prediction-Oriented Model Selection in Partial Least Squares Path Modeling"
"61","53","A concept analysis of methodological research on composite-based structural equation modeling: bridging PLSPM and GSCA"
"62","49","Selecting single items to measure doubly concrete constructs: A cautionary tale"
"63","48","On the value relevance of customer satisfaction. Multiple drivers and multiple markets"
"64","44","Influence of community design on user behaviors in online communities"
"65","41","When predictors of outcomes are necessary: guidelines for the combined use of PLS-SEM and NCA"
"66","39","Art for the sake of the corporation: Audi, BMW group, Daimlerchrysler, Montblanc, Siemens, and Volkswagen help explore the effect of sponsorship on corporate reputations"
"67","36","Guidelines for treating unobserved heterogeneity in tourism research: A comment on Marques and Reis (2015)"
"68","36","Applying the future time perspective scale to advertising research"
"69","36","Metrology method for the correlation of line edge roughness for different resists before and after etch"
"70","35","Factor Indeterminacy as Metrological Uncertainty: Implications for Advancing Psychological Measurement"
"71","34","Method trends and method needs: Examining methods needed for accelerating the field"
"72","34","Finite mixture and genetic algorithm segmentation in partial least squares path modeling: Identification of multiple segments in complex path models"
"73","31","Should we use single items? Better not"
"74","31","On the practical relevance of the attraction effect: A cautionary note and guidelines for context effect experiments"
"75","29","Executing and interpreting applications of PLS-SEM: Updates for family business researchers"
"76","29","Cutoff criteria for overall model fit indexes in generalized structured component analysis"
"77","29","Exploring the influence of customers' time horizon perspectives on the satisfaction-loyalty link"
"78","28","Model selection uncertainty and multimodel inference in partial least squares structural equation modeling (PLS-SEM)"
"79","27","The influence serotonin deficiency on choice deferral and the compromise"
"80","22","Prediction: Coveted, Yet Forsaken? Introducing a Cross-Validated Predictive Ability Test in Partial Least Squares Path Modeling"
"81","21","Explanation Plus Prediction—The Logical Focus of Project Management Research"
"82","21","Perceived software platform openness: The scale and its impact on developer satisfaction"
"83","20","In pursuit of understanding what drives fan satisfaction"
"84","19","Data, measurement, and causal inferences in machine learning: opportunities and challenges for marketing"
"85","19","What really matters in attraction effect research: when choices have economic consequences"
"86","17","Influence of community design on user behaviors in online communities"
"87","16","The combined use of symmetric and asymmetric approaches: partial least squares-structural equation modeling and fuzzy-set qualitative comparative analysis"
"88","16","Short- and Long-Term Effects of Nonconsciously Processed Ambient Scents in a Servicescape: Findings From Two Field Experiments"
"89","16","Innovative and established research methods in family business: Description, illustration and application guidelines"
"90","15","Quantify uncertainty in behavioral research"
"91","15","Examining the Role of Psychological Ownership and Feedback in Customer Empowerment Strategies"
"92","14","Is there a tacit acceptance of student samples in marketing and management research?"
"93","13","A cross-cultural comparison of brand extension success factors: A meta-study"
"94","12","Parceling Cannot Reduce Factor Indeterminacy in Factor Analysis: A Research Note"
"95","12","Corrigendum to ""Editorial Partial Least Squares Structural Equation Modeling: Rigorous Applications, Better Results and Higher Acceptance"" [LRP, 46, 1-2, (2013), 1-12], doi: 10.1016/j.lrp.2013.01.001"
"96","11","How durable are compromise effects?"
"97","11","Model selection in mixture regression analysis - A Monte Carlo simulation study"
"98","9","Latent class analysis in PLS-SEM: A review and recommendations for future applications"
"99","9","Measurement in the social sciences: where C-OAR-SE delivers and where it does not"
"100","8","Segmenting consumers based on sensory acceptance tests in sensory labs, immersive environments, and natural consumption settings"
