Scopus - 作者产出分析

"作者姓名:","Hsiang, Solomon"
"Scopus 作者 ID:","36518809500"

"h-Index:","16"

"起始年份:","2010"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","787","Quantifying the influence of climate on human conflict"
"2","686","Global non-linear effect of temperature on economic production"
"3","438","Civil conflicts are associated with the global climate"
"4","375","Social and economic impacts of climate"
"5","360","Temperatures and cyclones strongly associated with economic production in the Caribbean and Central America"
"6","219","Emergent risks and key vulnerabilities"
"7","199","Climate and Conflict"
"8","159","Nonlinear permanent migration response to climatic variations but minimal response to disasters"
"9","153","Climate, conflict, and social stability: What does the evidence say?"
"10","147","Climate econometrics"
"11","73","Adaptation to Cyclone Risk: Evidence from the Global Cross-Section"
"12","72","Opportunities for advances in climate change economics"
"13","52","Reconciling disagreement over climate-conflict results in Africa"
"14","28","Tropical economics"
"15","19","Potentially Extreme Population Displacement and Concentration in the Tropics under Non-Extreme Warming"
"16","16","Reconciling climate-conflict meta-analyses: reply to Buhaug et al."
"17","16","Temperature and violence"
"18","13","Conflict in a changing climate"
"19","8","Tropical Cyclones: From the Influence of Climate to Their Socioeconomic Impacts"
"20","7","Geography, depreciation, and growth"
"21","0","Are we well adapted to our climate? and what might that mean for future climate changes?"
"22","0","Climate change and civil conflict: New clues from el nino"
"23","0","Human at high temperatures: Reconsidering the economic implication of climate change"
"24","0","Voices: Humans at high temperatures"

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
