Scopus - 作者产出分析

"作者姓名:","Zhou, Peng"
"Scopus 作者 ID:","37006075700"

"h-Index:","56"

"起始年份:","2006"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","844","A survey of data envelopment analysis in energy and environmental studies"
"2","514","CO<inf>2</inf> emissions, energy consumption and economic growth in China: A panel data analysis"
"3","472","Energy and CO <inf>2</inf> emission performance in electricity generation: A non-radial directional distance function approach"
"4","451","Total factor carbon emission performance: A Malmquist index analysis"
"5","411","Efficiency and abatement costs of energy-related CO<inf>2</inf> emissions in China: A slacks-based efficiency measure"
"6","378","Measuring environmental performance under different environmental DEA technologies"
"7","363","Linear programming models for measuring economy-wide energy efficiency performance"
"8","352","A non-radial DEA approach to measuring environmental performance"
"9","333","Input-output analysis of CO<inf>2</inf> emissions embodied in trade: The effects of sector aggregation"
"10","322","Slacks-based efficiency measures for modeling environmental performance"
"11","258","Does environmental regulation affect energy efficiency in China's thermal power generationα Empirical evidence from a slacks-based DEA model"
"12","247","Energy efficiency, CO<inf>2</inf> emission performance and technology gaps in fossil fuel electricity generation in Korea: A meta-frontier non-radial directional distance functionanalysis"
"13","245","Industrial energy efficiency with CO <inf>2</inf> emissions in China: A nonparametric analysis"
"14","235","Measuring economy-wide energy efficiency performance: A parametric frontier approach"
"15","228","Energy efficiency and production technology heterogeneity in China: A meta-frontier DEA approach"
"16","218","Decomposition of aggregate CO<inf>2</inf> emissions: A production-theoretical approach"
"17","217","A mathematical programming approach to constructing composite indicators"
"18","198","A trigonometric grey prediction approach to forecasting electricity demand"
"19","190","Driving forces of residential CO<inf>2</inf> emissions in urban and rural China: An index decomposition analysis"
"20","182","Accounting frameworks for tracking energy efficiency trends"
"21","169","Comparing aggregating methods for constructing the composite environmental index: An objective measure"
"22","166","Measuring China's regional energy and carbon emission efficiency with DEA models: A survey"
"23","159","Modeling economic performance of interprovincial CO<inf>2</inf> emission reduction quota trading in China"
"24","157","Efficiency measurement with carbon dioxide emissions: The case of China"
"25","153","Total-factor carbon emission performance of the Chinese transportation industry: A bootstrapped non-radial Malmquist index analysis"
"26","145","A note on multi-criteria ABC inventory classification using weighted linear optimization"
"27","142","Carbon dioxide emissions allocation: A review"
"28","136","Measurement and decomposition of energy-saving and emissions reduction performance in Chinese cities"
"29","135","On estimating shadow prices of undesirable outputs with efficiency models: A literature review"
"30","134","The effect of size-control policy on unified energy and carbon efficiency for Chinese fossil fuel power plants"
"31","134","Weighting and aggregation in composite indicator construction: A multiplicative optimization approach"
"32","127","Scenario-based energy efficiency and productivity in China: A non-radial directional distance function analysis"
"33","123","Decision analysis in energy and environmental modeling: An update"
"34","119","Contributions to sector-level carbon intensity change: An integrated decomposition analysis"
"35","116","Optimal path for controlling CO<inf>2</inf> emissions in China: A perspective of efficiency analysis"
"36","111","Assessing oil supply security of South Asia"
"37","107","Do environmental management systems help improve corporate sustainable development? Evidence from manufacturing companies in Pakistan"
"38","107","An empirical study of direct rebound effect for passenger transport in urban China"
"39","106","Political connections, government subsidies and firm financial performance: Evidence from renewable energy manufacturing in China"
"40","102","Comparing MCDA aggregation methods in constructing composite indicators using the Shannon-Spearman measure"
"41","101","Does foreign direct investment drive environmental degradation in China? An empirical study based on air quality index from a spatial perspective"
"42","96","A real options model for renewable energy investment with application to solar photovoltaic power generation in China"
"43","93","Marginal CO<inf>2</inf> abatement costs: Findings from alternative shadow price estimates for Shanghai industrial sectors"
"44","83","Measuring total-factor CO<inf>2</inf> emission performance and technology gaps using a non-radial directional distance function: A modified approach"
"45","82","The driving forces of change in energy-related CO <inf>2</inf> emissions in Ireland: A multi-sectoral decomposition from 1990 to 2007"
"46","81","Measuring carbon dioxide emission performance in Chinese provinces: A parametric approach"
"47","78","Energy security and environmental sustainability index of South Asian countries: A composite index approach"
"48","69","Industrial energy conservation and emission reduction performance in China: A city-level nonparametric analysis"
"49","69","A real option model for renewable energy policy evaluation with application to solar PV power generation in China"
"50","68","Evaluating clean energy alternatives for Jiangsu, China: An improved multi-criteria decision making method"
"51","66","Optimal feed-in tariff for solar photovoltaic power generation in China: A real options analysis"
"52","66","Directional shadow price estimation of CO<inf>2</inf>, SO<inf>2</inf> and NO<inf>x</inf> in the United States coal power industry 1990-2010"
"53","65","Factors driving energy consumption in China: A joint decomposition approach"
"54","58","Revisiting cross-province energy intensity convergence in China: A spatial panel analysis"
"55","58","Measuring environmental performance with stochastic environmental DEA: The case of APEC economies"
"56","57","Decision analysis in energy and environmental modeling: An update"
"57","55","Cost Analysis of straw-based power generation in Jiangsu Province, China"
"58","54","Transnational transfer of carbon emissions embodied in trade: Characteristics and determinants from a spatial perspective"
"59","54","Measuring environmental performance in China's industrial sectors with non-radial DEA"
"60","53","Potential for reducing global carbon emissions from electricity production-A benchmarking analysis"
"61","52","Whole process decomposition of energy-related SO<inf>2</inf> in Jiangsu Province, China"
"62","52","Optimal design of subsidy to stimulate renewable energy investments: The case of China"
"63","52","Subsidy modes, waste cooking oil and biofuel: Policy effectiveness and sustainable supply chains in China"
"64","51","Data aggregation in constructing composite indicators: A perspective of information loss"
"65","50","Decoupling and attribution analysis of industrial carbon emissions in Taiwan"
"66","49","Reliability and economic evaluation of power system with renewables: A review"
"67","48","Macroeconomic effects of oil price shocks in China: An empirical study based on Hilbert-Huang transform and event study"
"68","46","Does energy efficiency affect financial performance? Evidence from Chinese energy-intensive firms"
