Scopus - 作者产出分析

"作者姓名:","Lu, Yi"
"Scopus 作者 ID:","54901610300"

"h-Index:","23"

"起始年份:","2006"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","255","Does environmental regulation drive away inbound foreign direct investment? Evidence from a quasi-natural experiment in China"
"2","215","Economic institutions and FDI location choice: Evidence from US multinationals in China"
"3","161","Does flattening government improve economic performance? Evidence from China"
"4","126","Identifying FDI spillovers"
"5","111","Career concerns and multitasking local bureaucrats: Evidence of a target-based performance evaluation system in China"
"6","99","Trade liberalization and markup dispersion: Evidence from China's WTO accession"
"7","84","Firm investment and exporting: Evidence from China's value-added tax reform"
"8","60","Exporting behavior of foreign affiliates: Theory and evidence"
"9","58","Place- based policies, creation, and agglomeration economies: Evidence from China's economic zone program"
"10","56","Institutions and FDI location choice: The role of cultural distances"
"11","55","How do exporters respond to antidumping investigations?"
"12","55","Union effects on performance and employment relations: Evidence from China"
"13","55","FDI location choice: Agglomeration vs institutions"
"14","40","Do institutions not matter in China? Evidence from manufacturing enterprises"
"15","40","Geographic concentration and vertical disintegration: Evidence from China"
"16","38","Government expropriation and Chinese-style firm diversification"
"17","32","Once an enemy, forever an enemy? The long-run impact of the Japanese invasion of China from 1937 to 1945 on trade and investment"
"18","32","The impact of income on democracy revisited"
"19","32","Do domestic and foreign exporters differ in learning by exporting? Evidence from China"
"20","32","Contract enforcement and family control of business: Evidence from China"
"21","30","The effect of teacher gender on students’ academic and noncognitive outcomes"
"22","30","Industrial agglomeration and firm size: Evidence from China"
"23","25","The effects of fuel standards on air pollution: Evidence from China"
"24","23","Political connections and trade expansion: Evidence from Chinese private firms Lu Political Connections and Trade Expansion"
"25","21","The impact of temperature on manufacturing worker productivity: Evidence from personnel data"
"26","20","Gender gap under pressure: Evidence from China's national college entrance examination"
"27","19","Contracting institutions and vertical integration: Evidence from China's manufacturing firms"
"28","18","Import competition and skill content in U.S. Manufacturing industries"
"29","17","Housing wealth and labor supply: Evidence from a regression discontinuity design"
"30","17","Why do firms conduct bi-sourcing?"
"31","14","Bank loans vs. Trade credit;Evidence from China"
"32","14","Bi-sourcing in the global economy"
"33","12","City-industry growth in China"
"34","11","Do Imports Spur Incremental Innovation in the South?"
"35","11","Outsourcing, Product Quality, and Contract Enforcement"
"36","10","Recover overnight? Work interruption and worker productivity"
"37","9","Gender Peer Effects on Students' Academic and Noncognitive Outcomes Evidence and Mechanisms"
"38","9","Institutional quality and new firm survival"
"39","9","Does trade credit boost firm performance?"
"40","9","Pure exporter: Theory and evidence from China"
"41","7","Competitive experience and gender difference in risk preference, trust preference and academic performance: Evidence from Gaokao in China"
"42","7","Intermediaries, Firm Heterogeneity and Exporting Behaviour"
"43","7","The role of the state in resolving business disputes in China"
"44","6","Exposure to Chinese imports and media slant: Evidence from 147 U.S. local newspapers over 1998–2012"
"45","6","Does competition lead to customization?"
"46","5","How do exporters adjust export product scope and product mix to react to antidumping?"
"47","5","The Great Opening up and the Roadmap for the Future: The Story of China's International Trade"
"48","5","Vertical Integration and Firm Productivity"
"49","4","Import competition and firm innovation: Evidence from China"
"50","4","The average and distributional effects of teenage adversity on long-term health"
"51","4","Competition, markups, and gains from trade: A quantitative analysis of China between 1995 and 2004"
"52","3","Education and mental health: Evidence and mechanisms"
"53","3","Long-term impact of trade liberalization on human capital formation"
"54","3","Expenditure response to health insurance policies: Evidence from kinks in rural China"
"55","3","Telecommunication externality on migration: Evidence from Chinese villages"
"56","2","Did the communists contribute to China's rural growth?"
"57","1","The effect of educational technology on college students’ labor market performance"
"58","1","Excludable public goods: Pricing and social welfare maximization"
"59","0","Environmental regulations and international trade: A quantitative economic analysis of world pollution emissions"
"60","0","Property rights, finance, and reinvestment: Evidence from china’s private enterprises"
"61","0","Product cycle, contractibility, and global sourcing"
"62","0","Economic institutions and firm behavior and performance in China: Did institutions matter and how did they come into being?"
"63","0","Corrigendum to Contract enforcement and family control of business: Evidence from China [J. Comp. Econ. 37 (2009) 597-609]"

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
