Scopus - 作者产出分析

"作者姓名:","Bloom, Nicholas"
"Scopus 作者 ID:","55147487400"

"h-Index:","40"

"起始年份:","1998"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","2555","Measuring economic policy uncertainty"
"2","1866","The impact of uncertainty shocks"
"3","1705","Competition and innovation: An inverted-u relationship"
"4","1191","Measuring and explaining management practices across firms and countries"
"5","631","Uncertainty and investment dynamics"
"6","589","Fluctuations in uncertainty"
"7","557","Why do management practices differ across firms and countries?"
"8","466","Identifying technology spillovers and product market rivalry"
"9","427","Does management matter? Evidence from india"
"10","361","Trade induced technical change? The impact of chinese imports on innovation, IT and productivity"
"11","310","The unprecedented stock market reaction to COVID-19"
"12","306","Does working from home work? Evidence from a chinese experiment"
"13","300","Do R &amp; D tax credits work? Evidence from a panel of countries 1979-1997"
"14","296","Patents, real options and firm performance"
"15","293","Americans do IT better: US multinationals and the productivity miracle"
"16","276","Management practices across firms and countries"
"17","244","Really Uncertain Business Cycles"
"18","214","The organization of firms across countries"
"19","183","Economic uncertainty before and during the COVID-19 pandemic"
"20","166","Human resource management and productivity"
"21","164","The impact of competition on management quality: Evidence from public hospitals"
"22","146","The distinct effects of information technology and communication technology on firm Organization"
"23","129","Are family-friendly workplace practices a valuable firm resource?"
"24","110","Innovation, reallocation, and growth"
"25","104","Firming up inequality"
"26","103","Why do firms in developing countries have low productivity?"
"27","94","Hospital board and management practices are strongly related to hospital performance on clinical quality metrics"
"28","89","Jeea-FBBVA lecture 2013: The new empirical economics of management"
"29","87","Uncertainty and the dynamics of R&amp;D"
"30","85","Modern Management: Good for the Environment or Just Hot Air?"
"31","84","Does Management Matter in schools?"
"32","80","Are ideas getting harder to find?†"
"33","74","What drives differences in management practices?"
"34","74","Management practices, work - Life balance, and productivity: A review of some recent evidence"
"35","71","Why has US policy uncertainty risen since 1960?"
"36","68","Management practices and the quality of care in cardiac units"
"37","59","A toolkit of policies to promote innovation"
"38","52","Does product market competition lead firms to decentralize?"
"39","49","Management practices, workforce selection, and productivity"
"40","48","Merchant of illusion: James Rouse, America’s salesman of the businessman’s Utopia"
"41","40","Do private equity owned firms have better management practices?"
"42","39","New approaches to surveying organizations"
"43","37","Incomplete contracts and the internal organization of firms"
"44","34","Recent advances in the empirics of organizational economics"
"45","31","The Internationalisation of UK R&amp;D"
"46","30","A trapped-factors model of innovation"
"47","30","The land that lean manufacturing forgot?: Management practices in transition countries bloom et al. The land that lean manufacturing forgot?"
"48","29","To raise productivity, let more employees work from home"
"49","28","Observations on Uncertainty"
"50","27","COVID-19 is also a reallocation shock"
"51","20","Modern Management Practices and Hospital Admissions"
"52","18","Does management really work?"
"53","16","Regulating drug prices: Where do we go from here?"
"54","15","In defence of our research on competition in England's National Health Service"
"55","14","International data on measuring management practices"
"56","14","Held back by uncertainty"
"57","13","Firm performance and macro forecast accuracy"
"58","13","Do management interventions last? Evidence from India"
"59","12","Surveying business uncertainty"
"60","9","Brexit and Uncertainty: Insights from the Decision Maker Panel"
"61","9","Why do we undervalue competent management?: Neither great leadership nor brilliant strategy matters without operational excellence"
"62","9","Learning from New York: America's alternative high-rise public housing model"
"63","8","Healthy business? Managerial education and management in health care"
"64","5","The World Management Survey at 18: Lessons and the way forward"
"65","5","Have R&amp;D Spillovers Declined in the 21<sup>st</sup> Century?"
"66","3","60 Years of Uncertainty: Our new Index provides novel insights into an amorphous concept"
"67","3","A toolkit of policies to promote innovation"
"68","2","Uncertainty and the economy"
"69","1","Trade and management"
"70","1","Trapped Factors and China's Impact on Global Growth"
"71","1","Fluctuations in uncertainty"
"72","0","A reply to campbell and mau"
"73","0","Comment on ‘‘Trade shocks and the shifting landscape of U.S. manufacturing”"
"74","0","Medical disputes and patient satisfaction in China: How does hospital management matter?"
"75","0","Short introduction"
"76","0","Short Introduction"
"77","0","Chinese manufacturing exporters are capturing low-skill production but driving high-skill innovation in the West"
"78","0","Public life as consumerism: American businessmen revolutionize suburban commerce"

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
