Scopus - 作者产出分析

"作者姓名:","Lee, David S."
"Scopus 作者 ID:","55698907900"

"h-Index:","15"

"起始年份:","1999"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","1720","Regression Discontinuity designs in economics"
"2","675","Randomized experiments from non-random selection in U.S. House elections"
"3","439","Training, wages, and sample selection: Estimating sharp bounds on treatment effects"
"4","413","Regression discontinuity inference with specification error"
"5","325","Wage inequality in the United States during the 1980s: Rising dispersion or falling minimum wage?"
"6","316","Do voters affect or elect policies? Evidence from the U. S. house"
"7","310","The costs of low birth weight"
"8","189","Economic impacts of new unionization on private sector employers: 1984-2001"
"9","104","Inference on Causal Effects in a Generalized Regression Kink Design"
"10","103","Long-run impacts of unions on firms: New evidence from financial markets, 1961-1999"
"11","68","Program Evaluation and Research Designs"
"12","40","Optimal minimum wage policy in competitive labor markets"
"13","29","Changes in relative wages in the 1980s: Returns to observed and unobserved skills and black-white wage differentials"
"14","23","The deterrence effect of prison: Dynamic theory and evidence"
"15","16","Regression kink design: Theory and practice"
"16","8","Bayesian learning and the pricing of new information: Evidence from prediction markets"
"17","7","Growing income inequality in the United States and other advanced economies"
"18","3","Local Polynomial Order in Regression Discontinuity Designs"
"19","0","Are sufficient statistics necessary? Nonparametric measurement of deadweight loss from unemployment insurance"
"20","0","Introduction: Essays in honor of John E. Dinardo"

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
