Scopus - 作者产出分析

"作者姓名:","Gabaix, Xavier"
"Scopus 作者 ID:","55897948300"

"h-Index:","38"

"起始年份:","1999"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","1009","Zipf's law for cities: An explanation"
"2","824","A theory of power-law distributions in financial market fluctuations"
"3","761","Why has CEO pay increased so much?"
"4","649","Shrouded attributes, consumer myopia, and information suppression in competitive markets"
"5","424","The granular origins of aggregate fluctuations"
"6","357","The age of reason: Financial decisions over the life cycle and implications for Regulation"
"7","278","Chapter 53 The evolution of city size distributions"
"8","263","Variable rare disasters: An exactly solved framework for ten puzzles in macro-finance"
"9","254","Institutional investors and stock market volatility"
"10","239","Rank- 1/2: A simple way to improve the ols estimation of tail exponents"
"11","230","Costly information acquisition: Experimental analysis of a boundedly rational model"
"12","224","Statistical properties of share volume traded in financial markets"
"13","212","The area and population of cities: New insights from a different perspective on cities"
"14","199","A multiplicative model of optimal CEO incentives in market equilibrium"
"15","191","Economic fluctuations and anomalous diffusion"
"16","170","Zipf's law and the growth of cities"
"17","158","International liquidity and exchange rate dynamics"
"18","152","A sparsity-based model of bounded rationality"
"19","145","Quantifying stock-price response to demand fluctuations"
"20","121","Power laws in economics: An introduction"
"21","120","Rare disasters and exchange rates"
"22","116","Scaling and correlation in financial time series"
"23","103","The Dynamics of Inequality"
"24","102","Is CEO pay really inefficient? A survey of new optimal contracting theories"
"25","98","The great diversification and its undoing"
"26","91","Limits of arbitrage: Theory and evidence from the mortgage-backed securities market"
"27","89","Price fluctuations, market activity and trading volume"
"28","86","The 6D Bias and the Equity-Premium Puzzle"
"29","74","Dynamic CEO Compensation"
"30","74","A statistical physics view of financial fluctuations: Evidence for scaling and universality"
"31","72","Executive compensation: A modern primer"
"32","69","The effect of risk on the CEO market"
"33","61","On the origin of power-law fluctuations in stock prices"
"34","59","Similarities and differences between physics and economics"
"35","45","Variable rare disasters: A tractable theory of ten puzzles in macro-finance"
"36","41","CEO pay and firm size: An update after the crisis"
"37","41","Tractability in incentive contracting"
"38","38","Understanding the cubic and half-cubic laws of financial fluctuations"
"39","35","A behavioral new Keynesian model"
"40","33","A unified econophysics explanation for the power-law exponents of stock market activity"
"41","32","A boundedly rational decision algorithm"
"42","31","Economic fluctuations and statistical physics: The puzzle of large fluctuations"
"43","31","Price fluctuations and market activity"
"44","29","Optimal taxation with behavioral agents"
"45","25","The impact of competition on prices with numerous firms"
"46","20","Disasterization: A simple way to fix the asset pricing properties of macroeconomic models"
"47","20","Economic fluctuations and statistical physics: Quantifying extremely rare and less rare events in finance"
"48","15","Quantifying and understanding the economics of large financial movements"
"49","13","A theory of limited liquidity and large investors causing spikes in stock market volatility and trading volume"
"50","11","Quantifying economic fluctuations"
"51","4","The Seven Properties of Good Models"
"52","2","Corporate Governance in the Modern Financial Sector"
"53","2","Discussion: The Loss Aversion/Narrow Framing Approach to the Equity Premium Puzzle"
"54","1","Shrouded attributes, consumer myopia and information suppression in competitive markets"
"55","1","Comment"
"56","1","Consumer Finance Protection"
"57","0","Corporate governance in the modern financial sector: Chapter 7: Executive summary"
"58","0","Statistical Physics and Economic Fluctuations"

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
