Scopus - 作者产出分析

"作者姓名:","Ireland, R. D."
"Scopus 作者 ID:","56111740200"

"h-Index:","59"

"起始年份:","1982"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","1966","Signaling theory: A review and assessment"
"2","1790","International expansion by new venture firms: International diversity, mode of market entry, technological learning, and performance"
"3","1768","Managing firm resources in dynamic environments to create value: Looking inside the black box"
"4","1054","A model of strategic enterpreneurship: The construct and its dimensions"
"5","862","Alliance management as a source of competitive advantage"
"6","791","Resource orchestration to create competitive advantage: Breadth, depth, and life cycle effects"
"7","625","You say illegal, i say legitimate: Entrepreneurship in the informal economy"
"8","506","Conceptualizing corporate entrepreneurship strategy"
"9","455","The concept of ""Opportunity"" in entrepreneurship research: Past accomplishments and future challenges"
"10","455","Emerging issues in corporate entrepreneurship"
"11","447","Resource complementarity in business combinations: Extending the logic to organizational alliances"
"12","400","Integrating entrepreneurship and strategic management actions to create firm wealth"
"13","398","A multi-theoretic perspective on trust and power in strategic supply chains"
"14","379","Industry Effects and Strategic Management Research"
"15","371","Strategic entrepreneurship: Creating value for individuals, organizations, and society"
"16","360","A Mid-Range Theory of the Interactive Effects of International and Product Diversification on Innovation and Performance"
"17","347","A model of middle-level managers' entrepreneurial behavior"
"18","322","Corporate distinctive competence, strategy, industry and performance"
"19","317","Achieving and maintaining strategic competitiveness in the 21st century"
"20","291","Research on entrepreneurship in the informal economy: Framing a research agenda"
"21","287","What makes management research interesting, and why does it matter?"
"22","276","Friends, acquaintances, or strangers? Partner selection in R&amp;D alliances"
"23","268","Strategic entrepreneurship: Creating competitive advantage through streams of innovation"
"24","255","The entrepreneurship process in base of the pyramid markets: The case of multinational enterprise/nongovernment organization alliances"
"25","244","Entrepreneurship as a solution to poverty"
"26","222","Privatization and entrepreneurial transformation: Emerging issues and a future research agenda"
"27","214","Attributes of Successful and Unsuccessful Acquisitions of US Firms"
"28","210","Architecture of entrepreneurial learning: Exploring the link among heuristics, knowledge, and action"
"29","199","Intuition in strategic decision making: Friend or foe in the fast-paced 21<sup>st</sup> century?"
"30","186","A cross-disciplinary exploration of entrepreneurship research"
"31","181","Technological learning, knowledge management, firm growth and performance: An introductory essay"
"32","164","Research on Crowdfunding: Reviewing the (Very Recent) Past and Celebrating the Present"
"33","146","Toward a greater understanding of entrepreneurship and strategy in the informal economy"
"34","143","Stimulating Dynamic Value: Social Capital and Business Incubation as a Pathway to Competitive Success"
"35","143","Strategy formulation processes: Differences in perceptions of strength and weaknesses indicators and environmental uncertainty by managerial level"
"36","132","Mission statements: Importance, challenge, and recommendations for development"
"37","127","All Things Great and Small: Organizational Size, Boundaries of the Firm, and a Changing Environment"
"38","127","Where is the opportunity without the customer? An integration of marketing activities, the entrepreneurship process, and institutional theory"
"39","126","Entrepreneurship research in AMJ: What has been published, and what might the future hold?"
"40","125","Familiness and innovation: Resource bundling as the missing link"
"41","121","Achieving and maintaining strategic competitiveness in the 21<sup>st</sup> century: The role of trategic leadership"
"42","120","RELATIONSHIPS AMONG CORPORATE LEVEL DISTINCTIVE COMPETENCIES, DIVERSIFICATION STRATEGY, CORPORATE STRUCTURE AND PERFORMANCE"
"43","103","How Should Crowdfunding Research Evolve? A Survey of the Entrepreneurship Theory and Practice Editorial Board"
"44","95","Microfranchising in Base-of-the-Pyramid Markets: Institutional Challenges and Adaptations to the Franchise Model"
"45","95","Strategic entrepreneurship within family-controlled firms: Opportunities and challenges"
"46","91","A health audit for corporate entrepreneurship: Innovation at all levels: Part I"
"47","86","Toward a research agenda on the informal economy"
"48","84","The Intersection of Entrepreneurship and Strategic Management Research"
"49","82","Social capital and learning advantages: A problem of absorptive capacity"
"50","76","The value of human resource management for organizational performance"
