Scopus - 作者产出分析

"作者姓名:","Fehr, Ernst"
"Scopus 作者 ID:","56211794400"

"h-Index:","87"

"起始年份:","1989"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","5545","A theory of fairness, competition, and cooperation"
"2","3111","Altruistic punishment in humans"
"3","2410","Oxytocin increases trust in humans"
"4","2157","Cooperation and punishment in public goods experiments"
"5","1987","The nature of human altruism"
"6","1643","Fairness and retaliation: The economics of reciprocity"
"7","1393","In search of Homo economicus: Behavioral experiments in 15 small-scale societies"
"8","1380","Are people conditionally cooperative? Evidence from a public goods experiment"
"9","1137","Third-party punishment and social norms"
"10","1123","Redefine statistical significance"
"11","1076","The neural basis of altruistic punishment"
"12","975","""Economic man"" in cross-cultural perspective: Behavioral experiments in 15 small-scale societies"
"13","836","Oxytocin Shapes the Neural Circuitry of Trust and Trust Adaptation in Humans"
"14","800","Social norms and human cooperation"
"15","785","Egalitarianism in young children"
"16","709","Strong reciprocity, human cooperation, and the enforcement of social norms"
"17","698","Does fairness prevent market clearing? an experimental investigation"
"18","681","Diminishing reciprocal fairness by disrupting the right prefrontal cortex"
"19","647","Foundations of Human Sociality: Economic Experiments and Ethnographic Evidence from Fifteen Small-Scale Societies"
"20","595","Explaining altruistic behavior in humans"
"21","584","Psychological foundations of incentives"
"22","582","Reciprocity as a contract enforcement device: Experimental evidence"
"23","550","On the psychology of poverty"
"24","541","Chapter 8 The Economics of Fairness, Reciprocity and Altruism - Experimental Evidence and New Theories"
"25","530","Why social preferences matter - The impact of non-selfish motives on competition, cooperation and incentives"
"26","477","Detrimental effects of sanctions on human altruism"
"27","448","Parochial altruism in humans"
"28","441","Social neuroeconomics: the neural circuitry of social preferences"
"29","431","When does ""economic man"" dominate social behavior?"
"30","423","Lateral prefrontal cortex and self-control in intertemporal choice"
"31","398","On the nature of fair behavior"
"32","397","The role of testosterone in social interaction"
"33","364","The Neural Signature of Social Norm Compliance"
"34","360","The neurobiology of rewards and values in social decision making"
"35","339","Testing theories of fairness-Intentions matter"
"36","322","Human motivation and social cooperation: Experimental and analytical foundations"
"37","318","On the economics and biology of trust"
"38","292","Business culture and dishonesty in the banking industry"
"39","273","Prejudice and truth about the effect of testosterone on human bargaining behaviour"
"40","264","Driving forces behind informal sanctions"
"41","250","Wage rigidity in a competitive incomplete contract market"
"42","249","Reciprocity and economics: The economic implications of Homo Reciprocans"
"43","247","Theories of fairness and reciprocity: Evidence and economic applications"
"44","240","Other-regarding preferences in a non-human primate: Common marmosets provision food altruistically"
"45","240","Do workers work more if wages are high? Evidence from a randomized field experiment"
"46","236","The hidden costs and returns of incentives-trust and trustworthiness among CEOs"
"47","233","Relational contracts and the nature of market interactions"
"48","228","Collective action as a social exchange"
"49","227","The Social Dimension of Stress Reactivity: Acute Stress Increases Prosocial Behavior in Humans"
"50","222","Fairness and contract design"
"51","207","The coevolution of cultural groups and ingroup favoritism"
"52","206","When social norms overpower competition: Gift exchange in experimental labor markets"
"53","196","Dorsolateral and ventromedial prefrontal cortex orchestrate normative choice"
"54","196","Group affiliation and altruistic norm enforcement"
"55","190","Genome-wide association analyses of risk tolerance and risky behaviors in over 1 million individuals identify hundreds of loci and shared genetic influences"
"56","178","Evidence for countercyclical risk aversion: An experiment with financial professionals"
"57","178","Changing social norm compliance with noninvasive brain stimulation"
"58","173","Gift exchange and reciprocity in competitive experimental markets"
"59","167","Linking brain structure and activation in temporoparietal junction to explain the neurobiology of human altruism"
"60","166","Rethinking fast and slow based on a critique of reaction-time reverse inference"
"61","166","Studying the neurobiology of social interaction with transcranial direct current stimulation - The example of punishing unfairness"
"62","161","Does money illusion matter?"
"63","149","Neuroeconomic foundations of economic choice-recent advances"
"64","148","A field study on cooperativeness and impatience in the Tragedy of the Commons"
"65","147","Resisting the power of temptations: The right prefrontal cortex and self-control"
"66","146","Human altruism: Economic, neural, and evolutionary perspectives"
"67","146","Don't lose your reputation"
"68","140","A simple mechanism for the efficient provision of public goods: Experimental evidence"
"69","130","Inequality aversion, efficiency, and maximin preferences in simple distribution experiments: Comment"
"70","128","The Neural Circuitry of a Broken Promise"
"71","123","The neuroeconomics of mind reading and empathy"
"72","121","The lure of authority: Motivation and incentive effects of power"
"73","116","Fairness perceptions and reservation wages -The behavioral effects of minimum wage laws"
"74","114","Tonic activity level in the right prefrontal cortex predicts individuals' risk taking"
"75","111","Neuroeconomic foundations of trust and social preferences: Initial evidence"
"76","104","Individual irrationality and aggregate outcomes"
"77","101","The mentalizing network orchestrates the impact of parochial altruism on social norm enforcement"
"78","100","The development of egalitarianism, altruism, spite and parochialism in childhood and adolescence"
"79","100","Contracts as reference points - Experimental evidence"
"80","99","Eyes are on us, but nobody cares: Are eye cues relevant for strong reciprocity?"
"81","99","Disrupting the prefrontal cortex diminishes the human ability to build a good reputation"
"82","99","Fairness and incentives in a multi-task principal-agent model"
"83","98","Inferring on the Intentions of Others by Hierarchical Bayesian Learning"
"84","96","Egalitarianism and competitiveness"
"85","95","Strong reciprocity and the roots of human morality"
"86","95","Why labour market experiments?"
"87","89","Normative foundations of human cooperation review-article"
"88","86","Social comparison and effort provision: Evidence from a field experiment"
"89","86","Wrath of God: Religious primes and punishment"
