Scopus - 作者产出分析

"作者姓名:","Chetty, Raj A.J."
"Scopus 作者 ID:","56240427600"

"h-Index:","36"

"起始年份:","2005"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","1012","The association between income and life expectancy in the United States, 2001-2014"
"2","842","Salience and taxation: Theory and evidence"
"3","834","Where is the land of opportunity? The geography of intergenerational mobility in the United States"
"4","648","The effects of exposure to better neighborhoods on children: New evidence from the moving to opportunity experiment"
"5","537","Measuring the impacts of teachers II: Teacher value-added and student outcomes in adulthood"
"6","486","How does your kindergarten classroom affect your earnings? Evidence from project star"
"7","399","Measuring the impacts of teachers I: Evaluating bias in teacher value-added estimates"
"8","278","Is the United States still a land of opportunity? Recent trends in intergenerational mobility"
"9","267","Moral hazard versus liquidity and optimal unemployment insurance"
"10","254","Dividend taxes and corporate behavior: Evidence from the 2003 dividend tax cut"
"11","253","The fading American dream: Trends in absolute income mobility since 1940"
"12","239","A new method of estimating risk aversion"
"13","234","The impacts of neighborhoods on intergenerational mobility I: Childhood exposure effects"
"14","230","Bounds on Elasticities With Optimization Frictions: A Synthesis of Micro and Macro Evidence on Labor Supply"
"15","228","Adjustment costs, firmresponses, and micro vs. macro laborsupply elasticities: Evidence fromdanish tax records"
"16","221","Are micro and macro labor supply elasticities consistent? A review of evidence on the intensive and extensive margins"
"17","183","Behavioral economics and public policy: A pragmatic perspective"
"18","167","Active vs. Passive decisions and crowd-out in retirement savings accounts: Evidence from Denmark"
"19","163","Using differences in knowledge across neighborhoods to uncover the impacts of the EITC on earnings"
"20","156","Consumption commitments and risk preferences"
"21","144","Is the taxable income elasticity sufficient to calculate deadweight loss? The implications of evasion and avoidance"
"22","141","The impacts of neighborhoods on intergenerational mobility II: County-level estimates"
"23","140","Cash-on-hand and competing models of intertemporal behavior: New evidence from the labor market"
"24","132","Race and economic opportunity in the United States: An intergenerational perspective"
"25","119","A general formula for the optimal level of social insurance"
"26","116","Does indivisible labor explain the difference between micro and macro elasticities? A meta-analysis of extensive margin elasticities"
"27","110","Teaching the tax code: Earnings responses to an experiment with EITC recipients"
"28","98","The spike at benefit exhaustion: Leaving the unemployment system or starting a new job?"
"29","82","Consumption smoothing and the welfare consequences of social insurance in developing economies"
"30","68","Who becomes an inventor in America? The importance of exposure to innovation"
"31","63","The Effect of Housing on Portfolio Choice"
"32","52","Dividend and corporate taxation in an agency model of the firm"
"33","49","Social insurance: Connecting theory to data"
"34","44","The effects of the 2003 dividend tax cut on corporate behavior: Interpreting the evidence"
"35","42","Identification and Inference With Many Invalid Instruments"
"36","40","Optimal taxation and social insurance with endogenous private insurance"
"37","36","Consumption Commitments and Habit Formation"
"38","35","What policies increase prosocial behavior? An experiment with referees at the Journal of Public Economics"
"39","34","Childhood environment and gender gaps in adulthood"
"40","26","Income Segregation and Intergenerational Mobility across Colleges in the United States"
"41","20","Measuring the impacts of teachers: Reply"
"42","13","Interest rates, irreversibility, and backward-bending investment"
"43","11","Using lagged outcomes to evaluate bias in value-added models"
"44","9","Great teaching: Measuring its effects on students' future earnings"
"45","8","The effects of taxes on market responses to dividend announcements and payments: What can we learn from the 2003 dividend tax cut?"
"46","6","Expanding and diversifying the pool of undergraduates who study economics: Insights from a new introductory course at Harvard"
"47","6","Joseph Schumpeter Lecture, EEA Annual Congress 2017: Do tax cuts produce more Einsteins? The impacts of financial incentives versus exposure to innovation on the supply of inventors"
"48","4","IMPROVING EQUALITY OF OPPORTUNITY: NEW INSIGHTS FROM BIG DATA"
"49","4","Effects of local health interventions on inequality in life expectancy: New publicly available data"
"50","3","Discussion of the American Statistical Association's Statement (2014) on Using Value-Added Models for Educational Assessment"
"51","2","Relationships between income, health behaviors, and life expectancy: In Reply"
"52","2","$320,000 kindergarten teachers"
"53","1","Socioeconomic mobility in the United States: New evidence and policy lessons"
"54","1","Erratum: Moral hazard versus liquidity and optimal unemployment insurance (Journal of Political, Economy (April 2008) (211))"
"55","0","Response to “the moving to opportunity experiment: What do heterogeneous estimates of the effect of moving imply about causes?”"
"56","0","The SOI Databank: A case study in leveraging administrative data in support of evidence-based policymaking"

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
