Scopus - 作者产出分析

"作者姓名:","Falk, Armin"
"Scopus 作者 ID:","56257581700"

"h-Index:","43"

"起始年份:","1999"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","1571","Individual risk attitudes: Measurement, determinants, and behavioral consequences"
"2","1154","A theory of reciprocity"
"3","584","Psychological foundations of incentives"
"4","520","Lab experiments are a major source of knowledge in the social sciences"
"5","519","Are risk aversion and impatience related to cognitive ability?"
"6","468","The hidden costs of control"
"7","398","On the nature of fair behavior"
"8","384","Social comparison affects reward-related brain activity in the human ventral striatum"
"9","339","Testing theories of fairness-Intentions matter"
"10","338","The intergenerational transmission of risk and trust attitudes"
"11","324","Reference points and effort provision"
"12","322","Performance pay and multidimensional sorting: Productivity, preferences, and gender"
"13","316","Clean evidence on peer effects"
"14","310","Global evidence on economic preferences"
"15","264","Driving forces behind informal sanctions"
"16","250","Wage rigidity in a competitive incomplete contract market"
"17","233","Relational contracts and the nature of market interactions"
"18","191","Gift exchange in the field"
"19","189","Cross-sectional earnings risk and occupational sorting: The role of risk attitudes"
"20","177","Reputation and reciprocity: Consequences for the labour relation"
"21","173","Direct evidence on risk attitudes and migration"
"22","167","The relationship between economic preferences and psychological personality measures"
"23","165","Morals and markets"
"24","157","Representative evidence on lying costs"
"25","130","Homo reciprocans: Survey evidence o behavioural outcomes"
"26","120","Do lab experiments misrepresent social preferences? The case of self-selected student samples"
"27","119","Representative trust and reciprocity: Prevalence and determinants"
"28","118","Ten considerations for effectively managing the COVID-19 transition"
"29","116","Fairness perceptions and reservation wages -The behavioral effects of minimum wage laws"
"30","112","Choosing the Joneses: Endogenous goals and reference standards"
"31","95","Why labour market experiments?"
"32","86","Relationship of gender differences in preferences to economic development and gender equality"
"33","69","Relative versus absolute income, joy of winning, and gender: Brain imaging evidence"
"34","67","Risk Attitudes Across The Life Course"
"35","63","A city-wide experiment on trust discrimination"
"36","61","Intrinsic motivation and extrinsic incentives in a repeated game with incomplete contracts"
"37","54","""Crime"" in the lab-detecting social interaction"
"38","49","Validating an ultra-short survey measure of patience"
"39","48","Testosterone Administration Reduces Lying in Men"
"40","48","You get what you pay for: Incentives and selection in the education system"
"41","46","Living in two neighborhoods-social interaction effects in the laboratory"
"42","46","Unemployment and Right-wing Extremist Crime"
"43","44","The medial prefrontal cortex exhibits money illusion"
"44","43","The formation of prosociality: Causal evidence on the role of social environment"
"45","43","On the relationship between cognitive ability and risk preference"
"46","40","Effort increases sensitivity to reward and loss magnitude in the human brain"
"47","37","Neural responses to advantageous and disadvantageous inequity"
"48","35","Promotions and incentives: The case of multistage elimination tournaments"
"49","34","Reasons for conflict: Lessons from bargaining experiments"
"50","28","Biased probability judgment: Evidence of incidence and relationship to economic outcomes from a representative sample"
"51","26","Competition and relational contracts: The role of unemployment as a disciplinary device"
"52","25","Neural correlates of receiving an apology and active forgiveness: An fMRI study"
"53","25","A reward prediction error for charitable donations reveals outcome orientation of donators"
"54","25","It's all about connections: Evidence on network formation"
"55","22","The brain correlates of the effects of monetary and verbal rewards on intrinsic motivation"
"56","20","Learning about job search: A field experiment with job seekers in Germany"
"57","20","Neural patterns underlying social comparisons of personal performance"
"58","19","Studying labor market institutions in the lab: Minimum wages, employment protection, and workfare"
"59","18","No evidence for an effect of testosterone administration on delay discounting in male university students"
"60","18","The IZA Evaluation Dataset: Towards evidence-based labor policy making"
"61","17","Collecting genetic samples in population wide (Panel) surveys: Feasibility, nonresponse and selectivity"
"62","16","Consistency as a signal of skills"
"63","16","Neuronal correlates of social decision making are influenced by social value orientation—an fMRI study"
"64","16","A taste for consistency and survey response behavior"
"65","14","Unfair pay and health"
"66","14","An analysis for a new economic policy ideal | Homo Oeconomicus versus Homo Reciprocans: Ansätze für ein neues Wirtschaftspolitisches Leitbild?"
"67","11","Defaults and donations: Evidence from a field experiment"
"68","11","Reciprocal fairness, cooperation and limits to competition"
"69","10","Re-Revisiting the Marshmallow Test: A Direct Comparison of Studies by Shoda, Mischel, and Peake (1990) and Watts, Duncan, and Quan (2018)"
"70","9","Diffusion of being pivotal and immoral outcomes"
"71","8","Institutions and contract enforcement"
"72","8","Contractual incompleteness, unemployment, and labour market segmentation"
"73","7","Socioeconomic status and inequalities in children’s iq and economic preferences"
"74","6","Delayed negative effects of prosocial spending on happiness"
"75","6","Information Processing and Commitment"
"76","5","Chapter 38 Reciprocity in Experimental Markets"
"77","5","The success of job applications: A new approach to program evaluation"
"78","4","The intergenerational transmission of attitudes"
"79","3","Facing yourself – A note on self-image"
"80","1","Nominal or real? The impact of regional price levels on satisfaction with life"
"81","1","How to do empirical economics"
"82","0","Bargaining and market behavior in Jerusalem, Ljubljana, Pittsburgh, and Tokyo: An experimental study (by Alvin E. Roth, Vesna Prasnikar, Masahiro Okuno-Fujiwara, and Shmuel Zamir)"
"83","0","The development of egalitarian norm enforcement in childhood and adolescence"
"84","0","Institutions and morals: A reply"
"85","0","The systematic place of morals in markets - Response"
"86","0","Kontrolliert und Repräsentativ: Beispiele zur Komplementarität von Labor- und Felddaten"

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
