Scopus - 作者产出分析

"作者姓名:","Miguel, Edward"
"Scopus 作者 ID:","57203082736"

"h-Index:","45"

"起始年份:","2000"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","1132","Promoting an open research culture"
"2","1029","Economic shocks and civil conflict: An instrumental variables approach"
"3","931","Worms: Identifying impacts on education and health in the presence of treatment externalities"
"4","839","Civil war"
"5","787","Quantifying the influence of climate on human conflict"
"6","686","Global non-linear effect of temperature on economic production"
"7","514","Warming increases the risk of civil war in Africa"
"8","487","Ethnic diversity, social sanctions, and public goods in Kenya"
"9","451","Corruption, norms, and legal enforcement: evidence from diplomatic parking tickets"
"10","400","War and local collective action in Sierra Leone"
"11","282","Tribe or nation? Nation building and public goods in Kenya versus Tanzania"
"12","277","Political competition and ethnic identification in Africa"
"13","240","The illusion of sustainability"
"14","228","Promoting transparency in social science research"
"15","201","Can war foster cooperation?"
"16","199","Climate and Conflict"
"17","195","The long-run impact of bombing Vietnam"
"18","189","The value of democracy: Evidence from road building in Kenya"
"19","176","Orphans and schooling in Africa: A longitudinal analysis"
"20","174","Poverty and witch killing"
"21","169","Reshaping institutions: Evidence on aid impacts using a preanalysis plan"
"22","159","Incentives to learn"
"23","146","Being surveyed can change later behavior and related parameter estimates"
"24","144","Incentivising safe sex: A randomised trial of conditional cash transfers for HIV and sexually transmitted infection prevention in rural Tanzania"
"25","135","Chapter 56 The Impact of Child Health and Nutrition on Education in Less Developed Countries"
"26","133","Spring cleaning: Rural water impacts, valuation, and property rights institutions"
"27","133","The electoral cost of war: Iraq casualties and the 2004 U.S. presidential election"
"28","116","Transparency, reproducibility, and the credibility of economics research"
"29","116","Government transfers and political support"
"30","113","Who are Russia's entrepreneurs?"
"31","103","War and institutions: New evidence from Sierra Leone"
"32","100","Anemia and school participation"
"33","90","Worms at work: Long-run impacts of a child health investment"
"34","88","Investment in child and adolescent health and development: key messages from Disease Control Priorities, 3rd Edition"
"35","88","Incorporating climate uncertainty into estimates of climate change impacts"
"36","77","Epidemiology of single and multiple species of helminth infections among school children in Busia District, Kenya"
"37","76","Falling living standards during the COVID-19 crisis: Quantitative evidence from nine developing countries"
"38","76","Electrification for ""under Grid"" households in Rural Kenya"
"39","66","Re-examining economic shocks and civil conflict"
"40","52","Poverty and crime in 19th century Germany"
"41","51","Deworming and development: Asking the right questions, asking the questions right"
"42","50","Economic gangsters: Corruption, violence, and the poverty of nations"
"43","49","Does social capital promote industrialization? Evidence from a rapid industrializer"
"44","47","Climate robustly linked to African civil war"
"45","46","Collective Action in Diverse Sierra Leone Communities"
"46","38","The price of political opposition: Evidence from Venezuela's Maisanta"
"47","37","Sell low and buy high: Arbitrage and local price effects in Kenyan markets"
"48","37","Education as Liberation?"
"49","37","Does industrialization build or destroy social networks?"
"50","36","Appliance ownership and aspirations among electric grid and home solar households in rural Kenya"
"51","35","Do cash transfers improve birth outcomes? Evidence from matched vital statistics, and program and social security data"
"52","34","War and local collective action in sierra leone: A comment on the use of coefficient stability approaches"
"53","32","Civil war exposure and violence"
"54","32","The potential of rapid screening methods for Schistosoma mansoni in western Kenya"
"55","29","Transparent and reproducible social science research: How to do open science"
"56","28","Experimental evidence on the economics of rural electrification"
"57","28","War and deforestation in Sierra Leone"
"58","25","Does household electrification supercharge economic development?"
"59","25","Spillover effects on health outcomes in low-and middle-income countries: A systematic review"
"60","23","Spillover effects in epidemiology: Parameters, study designs and methodological considerations"
"61","22","Invited papers: When should governments subsidize health? The case of mass deworming"
"62","20","The Case for Mass Treatment of Intestinal Helminths in Endemic Areas"
"63","20","Commentary: Deworming externalities and schooling impacts in Kenya: A comment on Aiken et al. (2015) and Davey et al. (2015)"
"64","19","Risky transportation choices and the value of a statistical life"
"65","18","A study of the impact of data sharing on article citations using journal policies as a natural experiment"
"66","16","You’ve earned it: estimating the impact of human capital on social preferences"
"67","16","Reconciling climate-conflict meta-analyses: reply to Buhaug et al."
"68","16","Temperature and violence"
"69","15","Requiring a math skills unit: Results of a randomized experiment"
"70","14","Ethnically Biased? Experimental Evidence from Kenya"
"71","11","Using Randomized Controlled Trials to Estimate Long-Run Impacts in Development Economics"
"72","11","Ethnic diversity and poverty reduction"
"73","10","Reply to Sutton et al.: Relationship between temperature and conflict is robust"
"74","10","Comment on: Social capital and growth"
"75","6","Reevaluating Agricultural Productivity Gaps with Longitudinal Microdata"
"76","6","Should the WHO withdraw support for mass deworming?"
"77","4","Evidence on research transparency in economics"
"78","3","Twenty-year economic impacts of deworming"
"79","3","Non-economic factors in violence: Evidence from organized crime, suicides and climate in Mexico"
"80","3","How economics can defeat corruption"
"81","2","Self-reported vs Directly Observed Face Mask Use in Kenya"
"82","2","Corrigendum: Spillover effects on health outcomes in low- and middle-income countries: A systematic review (International Journal of Epidemiology (2017) 46 (1251-1276) DOI: 10.1093/ije/dyx039)"
"83","2","Incentives to learn"
"84","1","Deepening or Diminishing Ethnic Divides? The Impact of Urban Migration in Kenya"
"85","1","A framework for open policy analysis"
"86","1","Using survey questions to measure preferences: Lessons from an experimental validation in Kenya"
