Scopus - 作者产出分析

"作者姓名:","Greenstone, Michael A."
"Scopus 作者 ID:","57212692527"

"h-Index:","32"

"起始年份:","1981"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","496","How well do we care for patients with end stage chronic obstructive pulmonary disease (COPD)? A comparison of palliative care and quality of life in COPD and lung cancer"
"2","170","BTS statement on malignant mesothelioma in the UK, 2007"
"3","142","Hospital at home for patients with acute exacerbations of chronic obstructive pulmonary disease: Systematic review of evidence"
"4","120","Efficacy of a saccharin test for screening to detect abnormal mucociliary clearance"
"5","114","Effect of cigarette smoking on nasal mucociliary clearance and ciliary beat frequency"
"6","102","Fertility in men with primary ciliary dyskinesia presenting with respiratory infection"
"7","89","Hydrocephalus and primary ciliary dyskinesia"
"8","86","Primary ciliary dyskinesia: Cytological and clinical features"
"9","81","Hospital at home for acute exacerbations of chronic obstructive pulmonary disease."
"10","74","Survey of non-invasive ventilation (NIPPV) in patients with acute exacerbations of chronic obstructive pulmonary disease (COPD) in the UK"
"11","73","Prolonged antibiotics for purulent bronchiectasis in children and adults"
"12","73","Physical training for bronchiectasis"
"13","72","Patients' and carers' preferences in two models of care for acute exacerbations of COPD: Results of a randomised controlled trial"
"14","69","Hospital at home for acute exacerbations of chronic obstructive pulmonary disease"
"15","61","Ciliary disorientation alone as a cause of primary ciliary dyskinesia syndrome"
"16","60","Health-Related Quality of Life in End-Stage COPD and Lung Cancer Patients"
"17","56","Obstructive sleep apnoea"
"18","55","Inhaled hyperosmolar agents for bronchiectasis."
"19","52","Long-acting beta-2-agonists for bronchiectasis."
"20","51","An English Kindred with a Novel Recessive Tauopathy and Respiratory Failure"
"21","48","Misinterpretation of the chest x ray as a factor in the delayed diagnosis of lung cancer"
"22","46","Ciliary dyskinesia with normal ultrastructure"
"23","45","Prolonged antibiotics for non-cystic fibrosis bronchiectasis in children and adults"
"24","44","Short acting beta-2 agonists for bronchiectasis."
"25","42","Effect of betamethasone and betamethasone with neomycin nasal drops on human nasal mucociliary clearance and ciliary beat frequency"
"26","41","Inhaled hyperosmolar agents for bronchiectasis."
"27","40","Anticholinergic therapy for bronchiectasis"
"28","39","Ciliary function in health and disease"
"29","37","Oral corticosteroids for bronchiectasis (stable and acute exacerbations)"
"30","34","Abnormal nasal mucociliary clearance in patients with rhinitis and its relationship to concomitant chest disease"
"31","32","Long-term antibiotics in the management of non-CF bronchiectasis - Do they improve outcome?"
"32","32","Deleterious effects of purulent sputum sol on human ciliary function in vitro: At least two factors identified"
"33","30","Carbonic anhydrase inhibitors for hypercapnic ventilatory failure in chronic obstructive pulmonary disease"
"34","30","Oral methyl-xanthines for bronchiectasis."
"35","25","Myocardial infarction - A rare complication in Henoch-Schonlein purpura"
"36","24","Normal axonemal structure and function in Kartagener's syndrome: An explicable paradox"
"37","23","How long should atrovent be given in acute asthma?"
"38","22","Does home oxygen therapy (HOT) in addition to standard care reduce disease severity and improve symptoms in people with chronic heart failure? A randomised trial of home oxygen therapy for patients with chronic heart failure"
"39","21","Upper airway manifestations of primary ciliary dyskinesia"
"40","20","Fatal pulmonary hypertension and rheumatoid vasculitis"
"41","20","Alternate day corticosteroid causes alternate day hyperglycaemia"
"42","15","Ciliary function in Young's syndrome"
"43","15","An automated method of recording ciliary beat frequency"
"44","14","Use of a screening tool for detection of sleep-disordered breathing"
"45","14","Cryptogenic organising pneumonia [13]"
"46","14","Difficulties in the interpretation of lung function tests in the diagnosis of asthma and chronic obstructive pulmonary disease"
"47","11","Spontaneous pneumomediastinum: A rare complication of bronchial asthma"
"48","11","Doxapram for ventilatory failure due to exacerbations of chronic obstructive pulmonary disease."
"49","11","Primary ciliary dyskinesia"
"50","10","Doxapram for ventilatory failure due to exacerbations of chronic obstructive pulmonary disease."
"51","10","Delayed diagnosis of systemic lupus erythematosus associated pulmonary hypertension"
"52","8","Pergolide-induced lung disease in patients with Parkinson's disease"
"53","8","An unusual case of lobar collapse"
"54","8","A tuberculous anal fistula"
"55","8","Assessment and provision of home nebulizers for chronic obstructive pulmonary disease (COPD) in the Yorkshire region of the U.K."
"56","6","Efficacy of 'mucoregulatory' agents in Young's syndrome"
"57","5","Management of acute exacerbations of chronic obstructive pulmonary disease: The first 24 hours"
"58","5","Quality of life measurements and bronchodilator responsiveness in prescribing nebulizer therapy in COPD"
