Scopus - 作者产出分析

"作者姓名:","Shahbaz, Muhammad"
"Scopus 作者 ID:","57218886081"

"h-Index:","79"

"起始年份:","2007"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","693","Economic growth, energy consumption, financial development, international trade and CO<inf>2</inf> emissions in Indonesia"
"2","475","How economic growth, renewable electricity and natural resources contribute to CO<inf>2</inf> emissions?"
"3","457","Does financial development increase energy consumption? The role of industrialization and urbanization in Tunisia"
"4","421","The dynamic links between energy consumption, economic growth, financial development and trade in China: Fresh evidence from multivariate framework analysis"
"5","397","The effects of financial development, economic growth, coal consumption and trade openness on CO<inf>2</inf> emissions in South Africa"
"6","383","Environmental Kuznets Curve hypothesis in Pakistan: Cointegration and Granger causality"
"7","365","Environmental degradation in France: The effects of FDI, financial development, and energy innovations"
"8","364","Financial development and energy consumption nexus in Malaysia: A multivariate time series analysis"
"9","342","A contribution of foreign direct investment, clean energy, trade openness, carbon emissions and economic growth to energy demand in UAE"
"10","336","Does financial development reduce CO<inf>2</inf> emissions in Malaysian economy? A time series analysis"
"11","318","How urbanization affects CO<inf>2</inf> emissions in Malaysia? the application of STIRPAT model"
"12","290","Energy consumption, financial development and economic growth in India: New evidence from a nonlinear and asymmetric analysis"
"13","287","Does foreign direct investment impede environmental quality in high-, middle-, and low-income countries?"
"14","280","The environmental Kuznets curve and the role of coal consumption in India: Cointegration and causality analysis in an open economy"
"15","274","Economic growth, electricity consumption, urbanization and environmental degradation relationship in United Arab Emirates"
"16","266","Estimation of Environmental Kuznets Curve for CO<inf>2</inf> emission: Role of renewable energy generation in India"
"17","244","Dynamic linkages between globalization, financial development and carbon emissions: Evidence from Asia Pacific Economic Cooperation countries"
"18","240","Foreign direct Investment–CO <inf>2</inf> emissions nexus in Middle East and North African countries: Importance of biomass energy consumption"
"19","238","Environmental Kuznets curve for CO<inf>2</inf> emissions: a literature survey"
"20","231","Energy innovation and renewable energy consumption in the correction of air pollution levels"
"21","229","Environmental Kuznets curve in Romania and the role of energy consumption"
"22","226","Tourism development, energy consumption and Environmental Kuznets Curve: Trivariate analysis in the panel of developed and developing countries"
"23","220","From nonrenewable to renewable energy and its impact on economic growth: The role of research &amp; development expenditures in Asia-Pacific Economic Cooperation countries"
"24","215","Does renewable energy consumption add in economic growth? An application of auto-regressive distributed lag model in Pakistan"
"25","209","Environmental Kuznets curve in an open economy: A bounds testing and causality analysis for Tunisia"
"26","208","The energy consumption and economic growth nexus in top ten energy-consuming countries: Fresh evidence from using the quantile-on-quantile approach"
"27","208","Revisiting the environmental Kuznets curve in a global economy"
"28","207","Carbon emissions, energy consumption and economic growth: An aggregate and disaggregate analysis of the Indian economy"
"29","201","Is energy consumption effective to spur economic growth in Pakistan? New evidence from bounds test to level relationships and Granger causality tests"
"30","198","Trade openness–carbon emissions nexus: The importance of turning points of trade openness for country panels"
"31","196","Does globalization impede environmental quality in India?"
"32","189","Financial development and environmental quality: The way forward"
"33","188","The dynamics of electricity consumption and economic growth: A revisit study of their causality in Pakistan"
"34","187","What role of renewable and non-renewable electricity consumption and output is needed to initially mitigate CO<inf>2</inf> emissions in MENA region?"
"35","184","Electricity consumption and economic growth nexus in Portugal using cointegration and causality approaches"
"36","181","Asymmetric impact of gold, oil prices and their volatilities on stock prices of emerging markets"
"37","171","The role of globalization on the recent evolution of energy demand in India: Implications for sustainable development"
"38","168","Exploring the relationship between energy usage segregation and environmental degradation in N-11 countries"
"39","163","The Impact of Globalization On Co<inf>2</inf> Emissions in China"
"40","161","Energy Innovations-GHG Emissions Nexus: Fresh Empirical Evidence from OECD Countries"
"41","160","Does trade openness affect long run growth? Cointegration, causality and forecast error variance decomposition tests for Pakistan"
"42","159","Industrialization, electricity consumption and CO<inf>2</inf> emissions in Bangladesh"
"43","156","Public-private partnerships investment in energy as new determinant of CO<inf>2</inf> emissions: The role of technological innovations in China"
"44","155","Modeling systemic risk and dependence structure between oil and stock markets using a variational mode decomposition-based copula method"
"45","151","Trivariate causality between economic growth, urbanisation and electricity consumption in Angola: Cointegration and causality analysis"
"46","148","Renewable energy, oil prices, and economic activity: A Granger-causality in quantiles analysis"
"47","146","Economic growth, CO<inf>2</inf> emissions, renewable waste and FDI relation in Pakistan: New evidences from 3SLS"
"48","145","Effects of environmental strategy, environmental uncertainty and top management's commitment on corporate environmental performance: The role of environmental management accounting"
"49","141","Tourism-led growth hypothesis in the top ten tourist destinations: New evidence using the quantile-on-quantile approach"
"50","139","Does energy intensity contribute to CO<inf>2</inf> emissions? A trivariate analysis in selected African countries"
"51","138","Environmental Kuznets Curve hypothesis and the role of globalization in selected African countries"
"52","133","The linkages between deforestation, energy and growth for environmental degradation in Pakistan"
"53","132","Does urbanization cause increasing energy demand in Pakistan? Empirical evidence from STIRPAT model"
"54","128","Causal links between renewable energy, environmental degradation and economic growth in selected SAARC countries: Progress towards green economy"
"55","124","Natural gas consumption and economic growth in Pakistan"
"56","123","The nexus between electricity consumption and economic growth in Bahrain"
"57","122","Does tourism degrade environmental quality? A comparative study of Eastern and Western European Union"
"58","122","Time-varying analysis of CO<inf>2</inf> emissions, energy consumption, and economic growth nexus: Statistical experience in next 11 countries"
"59","120","The effect of renewable energy consumption on economic growth: Evidence from the renewable energy country attractive index"
"60","116","Electricity consumption and economic growth empirical evidence from Pakistan"
"61","114","Dynamics of electricity consumption, oil price and economic growth: Global perspective"
"62","113","Does financial development intensify energy consumption in Saudi Arabia?"
