Scopus - 作者产出分析

"作者姓名:","Zott, Christoph"
"Scopus 作者 ID:","6508196211"

"h-Index:","16"

"起始年份:","1998"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","2846","Value creation in e-business"
"2","2216","The business model: Recent developments and future research"
"3","1396","Business model design: An activity system perspective"
"4","851","The fit between product market strategy and business model: Implications for firm performance"
"5","804","Business model design and the performance of entrepreneurial firms"
"6","695","Creating value through business model innovation"
"7","679","Dynamic capabilities and the emergence of intraindustry differential firm performance: Insights from a simulation study"
"8","560","How entrepreneurs use symbolic management to acquire resources"
"9","379","Why do venture capital firms exist? theory and canadian evidence"
"10","204","The business model: A theoretically anchored robust construct for strategic analysis"
"11","174","Crafting Business Architecture: the Antecedents of Business Model Design"
"12","168","Introduction to the SEJ special issue on business models: Business models within the domain of strategic entrepreneurship"
"13","162","Strategies for Value Creation in E-Commerce: Best Practice in Europe"
"14","50","The genesis and metamorphosis of novelty imprints: How business model innovation emerges in young ventures"
"15","40","Exploring the affective underpinnings of dynamic managerial capabilities: How managers' emotion regulation behaviors mobilize resources for their firms"
"16","20","Business model innovation: Creating value in times of change | Innovación del modelo de negocio: Creación de valor en tiempos de cambio"
"17","16","The Evolving Entrepreneurial Finance Landscape"
"18","10","When adaptation fails: An agent-based explanation of inefficient bargaining under private information"
"19","7","Managing the value appropriation dilemma in business model innovation"
"20","5","Business Models"
"21","5","Venture Capital Financing of Entrepreneurship: Theory, Empirical Evidence and a Research Agenda"
"22","4","Strategic Entrepreneurship Journal at 10: Retrospect and Prospect"
"23","3","Entrepreneurial responses to crisis"
"24","2","How entrepreneurs manage stakeholders' emotions to build new organizations"
"25","1","The business model: A growing domain of scholarly inquiry"
"26","1","Global equity capital markets for emerging growth firms: Patterns, drivers, and implications for the globalizing entrepreneur"
"27","0","The fit between product market strategy and business model: Implications for firm performance"

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
