Scopus - 作者产出分析

"作者姓名:","Duflo, Esther"
"Scopus 作者 ID:","6602205596"

"h-Index:","52"

"起始年份:","1997"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","4490","How much should we trust differences-in-differences estimates?"
"2","776","Women as policy makers: Evidence from a randomized policy experiment in India"
"3","747","Women empowerment and economic development"
"4","733","The economic lives of the poor"
"5","668","Grandmothers and granddaughters: Old-age pensions and intrahousehold allocation in South Africa"
"6","643","Schooling and labor market consequences of school construction in Indonesia: Evidence from an unusual policy experiment"
"7","539","The role of information and social interactions in retirement plan decisions: Evidence from a randomized experiment"
"8","476","Chapter 61 Using Randomization in Development Economics Research: A Toolkit"
"9","475","The diffusion of microfinance"
"10","432","The miracle of microfinance? Evidence from a randomized evaluation"
"11","431","Remedying education: Evidence from two randomized experiments in India"
"12","415","Nudging farmers to use fertilizer: Theory and experimental evidence from Kenya"
"13","397","Powerful women: Does exposure reduce bias?"
"14","392","Inequality and growth: What can the data Say?"
"15","358","Female leadership raises aspirations and educational attainment for girls: A policy experiment in India"
"16","345","Peer effects, teacher incentives, and the impact of tracking: Evidence from a randomized evaluation in Kenya"
"17","328","Chapter 7 Growth Theory through the Lens of Development Economics"
"18","299","A multifaceted program causes lasting progress for the very poor: Evidence from six countries"
"19","288","Participation and investment decisions in a retirement plan: The influence of colleagues' choices"
"20","287","Incentives work: Getting teachers to come to school"
"21","286","Double/debiased machine learning for treatment and structural parameters"
"22","277","What is middle class about the middle classes around the world?"
"23","250","Dams"
"24","249","Reputation effects and the limits of contracting: A study of the Indian software industry"
"25","217","How high are rates of return to fertilizer? Evidence from field experiments in Kenya"
"26","215","Improving immunisation coverage in rural India: Clustered randomised controlled evaluation of immunisation campaigns with and without incentives"
"27","177","Pitfalls of participatory programs: Evidence from a randomized evaluation in education in India"
"28","163","Do labor market policies have displacement effects? Evidence from a clustered randomized experiment"
"29","158","Estimating the impact of microcredit on those who take it up: Evidence from a randomized experiment in Morocco"
"30","152","Child outcomes in Africa: Child health and household resources in South Africa: Evidence from the old age pension program"
"31","146","Being surveyed can change later behavior and related parameter estimates"
"32","143","Wealth, health, and health services in rural Rajasthan"
"33","139","Happiness on tap: Piped water adoption in urban Morocco"
"34","135","Do firmswant to borrow more? Testing credit constraints using a directed lending program"
