Scopus - 作者产出分析

"作者姓名:","Lusch, Robert Frank"
"Scopus 作者 ID:","6602566503"

"h-Index:","51"

"起始年份:","1976"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","7729","Evolving to a New Dominant Logic for Marketing"
"2","3850","Service-dominant logic: Continuing the evolution"
"3","1478","Institutions and axioms: an extension and update of service-dominant logic"
"4","1028","Competing through service: Insights from service-dominant logic"
"5","1019","Service-dominant logic: Reactions, reflections and refinements"
"6","1006","Interdependency, contracting, and relational behavior in marketing channels"
"7","996","Service innovation: A service-dominant logic perspective"
"8","857","It's all B2B...and beyond: Toward a systems perspective of the market"
"9","722","The Four Service Marketing Myths: Remnants of a Goods-Based, Manufacturing Model"
"10","596","Service, value networks and learning"
"11","556","From goods to service(s): Divergences and convergences of logics"
"12","537","Service-dominant logic: Premises, perspectives, possibilities"
"13","514","Service-dominant logic 2025"
"14","372","Service-dominant logic: What it is, what it is not, what it might be"
"15","352","Power and relationship commitment: their impact on marketing channel member performance"
"16","347","Why ""service""?"
"17","341","Social media analytics and intelligence"
"18","332","Social exchange in supply chain relationships: The resulting benefits of procedural and distributive justice"
"19","317","Toward a conceptual foundation for service science: Contributions from service-dominant logic"
"20","300","Service Systems: A Broadened Framework and Research Agenda on Value Propositions, Engagement, and Service Experience"
"21","247","The complexity of context: A service ecosystems approach for international marketing"
"22","194","Capabilities that enhance outcomes of an episodic supply chain collaboration"
"23","166","AN ANALYSIS OF SUPPLY CHAIN COLLABORATIONS AND THEIR EFFECT ON PERFORMANCE OUTCOMES"
"24","161","Reframing supply chain management: A service-dominant logic perspective"
"25","128","The evolving marketing concept, competitive intensity and organizational performance"
"26","126","Service-dominant logic as a foundation for a general theory"
"27","125","Systems, networks, and ecosystems in service research"
"28","124","An exploration of networks in value cocreation: A service-ecosystems view"
"29","123","Fostering a trans-disciplinary perspectives of service ecosystems"
"30","122","MAXIMIZING THE HUMAN CAPITAL EQUATION IN LOGISTICS: EDUCATION, EXPERIENCE, AND SKILLS"
"31","117","A Stakeholder-Unifying, cocreation philosophy for marketing"
"32","109","A general framework for explaining internal vs. external exchange"
"33","106","Elevating marketing: Marketing is dead! Long live marketing!"
"34","104","The roles played by interorganizational contracts and justice in marketing channel relationships"
"35","101","Transitioning from service management to service-dominant logic: Observations and recommendations"
"36","100","Service-dominant logic: A necessary step"
"37","96","Inversions of service-dominant logic"
"38","96","The value of a metaphor: Organizations and ecosystems"
"39","91","Marketing's evolving identity: Defining our future"
"40","84","A service lens on value creation: Marketing's role in achieving strategic advantage"
"41","84","Getting marketers to invest in firm-specific capital"
"42","84","Marketing as Service-Exchange:. Taking a Leadership Role in Global Marketing Management"
"43","77","The service-dominant logic of marketing: Dialog, debate, and directions"
"44","77","Balancing the intellectual capital books: Intangible liabilities"
"45","75","Service-dominant logic"
"46","74","Too much theory, not enough understanding"
"47","72","The Role of Professionalism in Determining Job Satisfaction in Professional Services: A Study of Marketing Researchers"
"48","66","Conflict and satisfaction in an industrial channel of distribution"
"49","61","Reconfiguration of the conceptual landscape: A tribute to the service logic of Richard Normann"
"50","58","A service perspective. Key managerial insights from service-dominant (S-D) logic."
"51","56","The nature and understanding of value: A service-dominant logic perspective"
"52","47","The role of symbols in value cocreation"
"53","46","Preface"
"54","46","Outcome effect, controllability and performance evaluation of managers: Some field evidence from multi-outlet businesses"
"55","45","Evolving to a new dominant logic for marketing"
"56","43","Expanding the nature and scope of due diligence"
"57","42","Macroenvironmental forces, marketing strategy and business performance: A futures research approach"
"58","40","The critical role of trust in obtaining retailer support for a supplier's strategic organizational change"
"59","39","Ethical Marketing: Perceptions of Economic Goods and Social Problems"
"60","36","Historical perspectives on service-dominant logic"
"61","36","A systematic assessment of potential international strategic alliance partners"
