Scopus - 作者产出分析

"作者姓名:","Autor, David H."
"Scopus 作者 ID:","6602634280"

"h-Index:","42"

"起始年份:","1998"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","2124","The skill content of recent technological change: An empirical exploration"
"2","1216","Skills, tasks and technologies: Implications for employment and earnings"
"3","1144","The China syndrome: Local labor market effects of import competition in the United States"
"4","1038","The growth of low-skill service jobs and the polarization of the US Labor Market"
"5","1037","Computing inequality: Have computers changed the labor market?"
"6","977","Trends in U.S. wage inequality: Revising the revisionists"
"7","928","Chapter 26 Changes in the wage structure and earnings inequality"
"8","864","Why are there still so many jobs? the history and future of workplace automation"
"9","668","The polarization of the U.S. labor market"
"10","652","Outsourcing at Will: The Contribution of Unjust Dismissal Doctrine to the Growth of Employment Outsourcing"
"11","405","The rise in the disability rolls and the decline in unemployment"
"12","376","Skills, education, and the rise of earnings inequality among the ""other 99 percent"""
"13","288","The China Shock: Learning from Labor-Market Adjustment to Large Changes in Trade"
"14","276","Import competition and the great US employment sag of the 2000s"
"15","248","Does employment protection reduce productivity? Evidence from US states"
"16","211","Women, war and wages: The effect of female labor supply on the wage structure at midcentury"
"17","205","Trade adjustment: Worker-level evidence"
"18","199","Wiring the labor market"
"19","198","Why do temporary help firms provide free general skills training?"
"20","195","The growth in the social security disability rolls: A fiscal crisis unfolding"
"21","190","Untangling Trade and Technology: Evidence from Local Labour Markets"
"22","181","The fall of the labor share and the rise of superstar firms"
"23","169","The costs of wrongful-discharge laws"
"24","152","Putting tasks to the test: Human capital, job tasks, and wages"
"25","147","Concentrating on the fall of the labor share"
"26","145","The contribution of the minimum wage to US wage inequality over three decades: A reassessment"
"27","139","What does human capital do? A review of Goldin and Katz's The Race between Education and Technology"
"28","129","The “task approach” to labor markets: an overview | Der „TASKS-Ansatz“ für Arbeitsmärkte: ein Überblick"
"29","123","Upstairs, downstairs: Computers and skills on two floors of a large bank"
"30","117","Do temporary-help jobs improve labor market outcomes for low-skilled workers? Evidence from ""work first"""
"31","101","Toward understanding the impact of artificial intelligence on labor"
"32","94","This job is ""Getting Old"": Measuring changes in job opportunities using occupational age structure"
"33","84","Return of the solow paradox? It, productivity, and employment in US manufacturing"
"34","80","Importing political polarization? The electoral consequences of rising trade exposure"
"35","78","Is automation labor share–displacing? Productivity growth, employment, and the labor share"
"36","65","The geography of trade and technology shocks in the United States"
"37","55","Housing market spillovers: Evidence from the end of rent control in Cambridge, Massachusetts"
"38","55","Does job testing harm minority workers? Evidence from retail establishments"
"39","53","The employment consequences of wrongful-discharge laws: Large, small, or none at all?"
"40","45","Family disadvantage and the gender gap in behavioral and educational outcomes"
"41","43","Distinguishing income from substitution effects in disability insurance"
"42","42","Battle scars? The puzzling decline in employment and rise in disability receipt among Vietnam era veterans"
"43","37","School quality and the gender gap in educational achievement"
"44","25","The impact of disability benefits on labor supply: Evidence from the VA's disability compensation program"
"45","23","Disability benefits, consumption insurance, and household labor supply"
"46","18","Moral hazard and claims deterrence in private disability insurance"
"47","16","The effect of work first job placements on the distribution of earnings: An instrumental variable quantile regression approach"
"48","13","The unsustainable rise of the disability rolls in the United States: Causes, consequences and policy options"
"49","13","Temporary agency employment: A way out of poverty?"
"50","11","Letter to Professor Bruno Frey"
"51","10","Why personal ties cannot be bought"
"52","9","The journal of economic perspectives at 100 (issues)"
"53","7","Evaluating econometric evaluations of post secondary aid"
"54","3","Computer-based technological change and skill demands: Reconciling the perspectives of economists and sociologists"
"55","2","Understanding regional export growth in China"
"56","2","Disability policy, program enrollment, work, and well-being among people with disabilities"
"57","1","Past trends and projections in wages, work, and occupations in the United States"
"58","1","Note from the editor: Online comments for american economic association journals"
"59","0","Marginal Effects of Merit Aid for Low-Income Students"
"60","0","Artificial Intelligence and Jobs: Evidence from Online Vacancies"
"61","0","As you like it: Work, life, and satisfaction"
"62","0","Journal of economic perspectives"
"63","0","Report of the editor: Journal of economic perspectives"
"64","0","Report of the editor: Journal of Economic Perspectives"
"65","0","Discussion: A quantitative analysis of the evolution of the U.S. Wage distribution: 1970-2000 by fatih guvenen and burhanettin kuruscu"

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
