Scopus - 作者产出分析

"作者姓名:","Tushman, Michael L."
"Scopus 作者 ID:","6602681606"

"h-Index:","43"

"起始年份:","1979"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","2507","Ambidextrous organizations: Managing evolutionary and revolutionary change"
"2","2459","Exploitation, exploration, and process management: The productivity dilemma revisited"
"3","1303","The Ambidextrous Organization"
"4","1224","Organizational ambidexterity: Balancing exploitation and exploration for sustained performance"
"5","1213","Managing strategic contradictions: A top management model for managing innovation streams"
"6","1146","Ambidexterity as a dynamic capability: Resolving the innovator's dilemma"
"7","986","Organizational ambidexterity: Past, present, and future"
"8","852","Exploration and exploitation within and across organizations"
"9","852","Process management and technological innovation: A longitudinal study of the photography and paint industries"
"10","597","Organizing for Innovation"
"11","580","A structural approach to assessing innovation: Construct development of innovation locus, type, and characteristics"
"12","532","Time: A new research lens"
"13","369","Meta-organization design: Rethinking design in interorganizational and community contexts"
"14","355","Competing by Design: The Power of Organizational Architecture"
"15","326","Convergence and Upheaval: Managing the Unsteady Pace of Organizational Evolution"
"16","314","Organizational ambidexterity in action: How managers explore and exploit"
"17","308","A model for diagnosing organizational behavior"
"18","295","Complex business models: Managing strategic paradoxes simultaneously"
"19","268","Beyond the Charismatic Leader: Leadership and Organizational Change"
"20","198","Communication patterns, project performance, and task characteristics: An empirical evaluation and integration in an R&amp;D setting"
"21","192","The coevolution of community networks and technology: Lessons from the flight simulation industry"
"22","181","An investigation into the managerial roles and career paths of gatekeepers and project supervisors in a major R &amp; D facility"
"23","179","Dynamic capabilities at IBM: Driving strategy into action"
"24","169","Organizational designs and innovation streams"
"25","167","2013 Decade Award invited article reflections on the 2013 Decade Award - ""Exploitation, Exploration, and Process Management: The Productivity Dilemma Revisited"" ten years later"
"26","165","Executive succession, strategic reorientation and performance growth: A longitudinal study in the U.S. cement industry"
"27","164","Discretion within constraint: Homophily and structure in a formal organization"
"28","159","Organizational environments and industry exit: The effects of uncertainty, munificence and complexity"
"29","153","Research and relevance: Implications of pasteur's quadrant for doctoral programs and faculty development"
"30","147","INERTIA, ENVIRONMENTS, AND STRATEGIC CHOICE: A QUASI-EXPERIMENTAL DESIGN FOR COMPARATIVE-LONGITUDINAL RESEARCH."
"31","119","Organizational ambidexterity: IBM and emerging business opportunities"
"32","107","Open innovation and organizational boundaries: Task decomposition, knowledge distribution and the locus of innovation"
"33","105","Relevance and rigor: Executive education as a lever in shaping practice and research"
"34","95","Executive succession, strategic reorientations, and organization evolution. The minicomputer industry as a case in point"
"35","78","Winning through innovation"
"36","69","UNCERTAINTY, SOCIAL LOCATION AND INFLUENCE IN DECISION MAKING: A SOCIOMETRIC ANALYSIS."
"37","69","MANAGING COMMUNICATION NETWORKS IN R&amp;D LABORATORIES."
"38","64","""Both/and"" leadership"
"39","64","The ambidextrous CEO"
"40","57","On the relationship between research and practice: Debate and reflections"
"41","55","Frame flexibility: The role of cognitive and emotional framing in innovation adoption by incumbent firms"
"42","54","The role of executive team actions in shaping dominant designs: Towards the strategic shaping of technological progress"
"43","43","Top management teams and corporate success in an emerging industry"
"44","40","Erratum: Convergence and Upheaval: Managing the Unsteady Pace of Organizational Evolution"
"45","39","Growing new corporate businesses: From initiation to graduation"
"46","38","Ambidextrous leadership. Emerging challenges for business and HR leaders"
"47","38","Building ambidextrous organizations. Forming your own ""skunk works""."
"48","32","Firms, crowds, and innovation"
"49","29","Crossing boundaries to increase relevance in organizational research"
"50","24","Platforms, open/user innovation, and ecosystems: A strategic leadership perspective"
"51","24","From engineering management/R and D management, to the management of innovation, to exploiting and exploring over value nets: 50 years of research initiated by the IEEE-TEM"
"52","21","M@n@gement in times of economic crisis: Insights into organizational ambidexterity"
"53","14","Managing corporate social networks"
"54","13","The art of strategic renewal"
"55","10","The challenges of ambidextrous leadership: An interview with Michael Tushman"
"56","9","Organization of the future: Strategic imperatives and core competencies for the 21st century"
"57","5","Organizational Sustainability: Organization Design and Senior Leadership to Enable Strategic Paradox"
"58","4","THE TRANSLUCENT HAND OF MANAGED ECOSYSTEMS: ENGAGING COMMUNITIES FOR VALUE CREATION AND CAPTURE"
"59","4","Operational Efficiency and Effective Management in the Catheterization Laboratory: JACC Review Topic of the Week"
"60","2","Innovation Streams and Executive Leadership: R&amp;D leadership plays a central role in shaping a firm’s ability to both exploit existing capabilities and explore new technological domains"
"61","2","Getting started with ambidexterity"
"62","2","Managing Communication Networks in R&amp;D Laboratories"
"63","1","Overcoming cultural resistance to open source innovation"
"64","1","Discretion within the constraints of opportunity: Gender homophily and structure in a formal organization"
"65","0","Paul R. Lawrence: A career of rigor, relevance, and passion"
"66","0","Managing strategic contradictions: A top management team model for simultaneously exploring and exploiting"
"67","0","CONTROL IN ORGANIZATIONS: AN EXPANDED VIEW."

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
