Scopus - 作者产出分析

"作者姓名:","Sadorsky, Perry"
"Scopus 作者 ID:","6603166747"

"h-Index:","41"

"起始年份:","1989"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","1046","The relationship between environmental commitment and managerial perceptions of stakeholder importance"
"2","1018","Oil price shocks and stock market activity"
"3","652","The determinants of an environmentally responsive firm: An empirical approach"
"4","598","The impact of financial development on energy consumption in emerging economies"
"5","542","Renewable energy consumption and income in emerging economies"
"6","493","Adopting proactive environmental strategy: The influence of stakeholders and firm size"
"7","451","Oil price risk and emerging stock markets"
"8","424","Renewable energy consumption, CO<inf>2</inf> emissions and oil prices in the G7 countries"
"9","404","The effect of urbanization on CO<inf>2</inf> emissions in emerging economies"
"10","380","Oil prices, exchange rates and emerging stock markets"
"11","370","Risk factors in stock returns of Canadian oil and gas companies"
"12","360","Oil prices and the stock prices of alternative energy companies"
"13","358","Financial development and energy consumption in Central and Eastern European frontier economies"
"14","357","Correlations and volatility spillovers between oil prices and the stock prices of clean energy and technology companies"
"15","319","Modeling and forecasting petroleum futures volatility"
"16","314","Do urbanization and industrialization affect energy intensity in developing countries?"
"17","311","Do environmental management systems improve business performance in an international setting?"
"18","238","Hedging emerging market stock prices with oil, gold, VIX, and bonds: A comparison between DCC, ADCC and GO-GARCH"
"19","221","Energy consumption, output and trade in South America"
"20","202","Trade and energy consumption in the Middle East"
"21","187","Modeling volatility and correlations between emerging market stock prices and the prices of copper, oil and wheat"
"22","171","The role of globalization on the recent evolution of energy demand in India: Implications for sustainable development"
"23","126","The impact of oil shocks on exchange rates: A Markov-switching approach"
"24","119","Information communication technology and electricity consumption in emerging economies"
"25","114","The empirical relationship between energy futures prices and exchange rates"
"26","102","The effect of oil price volatility on strategic investment"
"27","85","The macroeconomic determinants of technology stock price volatility"
"28","82","Assessing the impact of oil prices on firms of different sizes: Its tough being in the middle"
"29","80","The impact of oil-market shocks on stock returns in major oil-exporting countries"
"30","80","How strong is the causal relationship between globalization and energy consumption in developed economies? A country-specific time-series and panel analysis"
"31","75","Modeling renewable energy company risk"
"32","70","Day-of-the-week effects in emerging stock markets"
"33","70","Export-led growth or growth-driven exports? The Canadian case"
"34","64","The effect of urbanization and industrialization on energy use in emerging economies: Implications for sustainable development"
"35","63","Optimal hedge ratios for clean energy equities"
"36","58","How much does increasing non-fossil fuels in electricity generation reduce carbon dioxide emissions?"
"37","51","Modeling volatility and conditional correlations between socially responsible investments, gold and oil"
"38","47","Time-varying risk premiums in petroleum futures prices"
"39","45","Consumption-based and territory-based carbon emissions intensity: Determinants and forecasting using club convergence across countries"
"40","42","Environmental technical and administrative innovations in the Canadian manufacturing industry"
"41","41","'Cleantech' venture capital around the world"
"42","38","Some future scenarios for renewable energy"
"43","35","Investor implications of divesting from fossil fuels"
"44","33","Wind energy for sustainable development: Driving factors and future outlook"
"45","33","Stochastic volatility forecasting and risk management"
"46","28","Can environmental sustainability be used to manage energy price risk?"
"47","26","Convergence of energy productivity across Indian states and territories"
"48","22","Voluntary environmental programs: A Canadian perspective"
"49","21","Multifactor risk and the stock returns of Canadian paper and forest products companies"
"50","20","Convergence of energy productivity in Australian states and territories: Determinants and forecasts"
"51","19","The oil price exposure of global oil companies"
"52","19","Environmental management systems and practices: An international perspective"
"53","15","Energy related CO<inf>2</inf> emissions before and after the financial crisis"
"54","13","Power transformation models and volatility forecasting"
"55","12","Duopoly in exhaustible resource exploration and extraction"
"56","11","How much do asymmetric changes in income and energy prices affect energy demand?"
"57","11","Environmental management practices and performance in Canada"
"58","9","Frequency spillovers, connectedness, and the hedging effectiveness of oil and gold for US sector ETFs"
"59","7","Economics of Agroforestry Production in Irrigated Agriculture"
"60","6","Shifts in energy consumption driven by urbanization"
"61","5","Carbon price volatility and financial risk management"
"62","5","An international comparison of the factors affecting environmental strategy and performance"
"63","5","Measuring resource scarcity in non-renewable resources with an application to oil and natural gas in Alberta"
"64","4","Are the interdependence characteristics of the US and Canadian energy equity sectors nonlinear and asymmetric?"
"65","3","Industry size and 'destructive competition' in cournot oligopoly models of exhaustible resource exploration and extraction"
"66","2","Energy efficiency in OECD and non-OECD countries: estimates and convergence"
"67","2","A comparison of some alternative volatility forecasting models for risk management"
"68","2","Broken trend output in a model of stock returns and economic activity"
"69","1","Forecasting Canadian mortgage rates"
"70","1","Investment in IT and the business performance of financial companies"
"71","0","Regime specific spillovers across US sectors and the role of oil price volatility"
"72","0","Eco-efficiency for the g18: Trends and future outlook"
"73","0","Modelling dependence and systemic risk between oil prices and BSE sectoral indices using stochastic copula and CoVar, ΔCoVar and MES approaches"
"74","0","Oil and stock prices"
"75","0","Asset Return and Volatility Spillovers Between Big Commodity Producing Countries"
"76","0","Volatility forecasting and value at risk"
"77","0","Sectoral fluctuations in Mexico and the 1993 recession"
"78","0","A specification test for models estimated by the Cragg estimator"
"79","0","Testing for cointegration in canadian labour supply data"

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
