Scopus - 作者产出分析

"作者姓名:","Laeven, Luc"
"Scopus 作者 ID:","6603399214"

"h-Index:","46"

"起始年份:","2001"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","1378","Bank governance, regulation and risk taking"
"2","705","Political connections and preferential access to finance: The role of campaign contributions"
"3","660","Entry regulation as a barrier to entrepreneurship"
"4","655","What drives bank competition? Some international evidence"
"5","544","Systemic banking crises database"
"6","482","Is there a diversification discount in financial conglomerates?"
"7","439","Financial Development, Property Rights, and Growth"
"8","364","The determinants of financing obstacles"
"9","358","Regulations, market structure, institutions, and the cost of financial intermediation"
"10","340","Loan loss provisioning and economic slowdowns: Too much, too late?"
"11","297","Banking crises, financial dependence, and growth"
"12","268","Governance and bank valuation"
"13","264","Finance, firm size, and growth"
"14","257","Complex ownership structures and corporate valuations"
"15","248","The use and effectiveness of macroprudential policies: New evidence"
"16","244","International profit shifting within multinationals: A multi-country perspective"
"17","226","Credit Booms and Lending Standards: Evidence from the Subprime Mortgage Market"
"18","193","Does financial liberalization reduce financing constraints?"
"19","184","The flight home effect: Evidence from the syndicated loan market during financial crises"
"20","176","Bank size, capital, and systemic risk: Some international evidence"
"21","176","Cross-country experiences and policy implications from the global financial crisis"
"22","169","Capital structure and international debt shifting"
"23","162","Financial dependence, banking sector competition, and economic growth"
"24","153","Real interest rates, leverage, and bank risk-taking"
"25","150","Trade credit contracts"
"26","142","International portfolio diversification benefits: Cross-country evidence from a local perspective"
"27","132","Bank valuation and accounting discretion during a financial crisis"
"28","127","Bank Leverage and Monetary Policy's Risk-Taking Channel: Evidence from the United States"
"29","126","Financial innovation and endogenous growth"
"30","102","The quality of the legal system, firm ownership, and firm size"
"31","101","Institution building and growth in transition economies"
"32","91","Identifying the valuation effects and agency costs of corporate diversification: Evidence from the geographic diversification of U.S. banks"
"33","90","Determinants of deposit-insurance adoption and design"
"34","89","Does the geographic expansion of banks reduce risk?"
"35","88","How Country and Safety-Net Characteristics Affect Bank Risk-Shifting"
"36","80","How good is the market at assessing bank fragility? A horse race between different indicators"
"37","78","Does judicial efficiency lower the cost of credit?"
"38","73","Systemic financial crises: Containment and resolution"
"39","67","International taxation and multinational firm location decisions"
"40","66","Insider Lending and Bank Ownership: The Case of Russia"
"41","64","The Real Effects of Financial Sector Interventions during Crises"
"42","62","Deposit insurance around the world: A comprehensive analysis and database"
"43","62","Bank risk and deposit insurance"
"44","59","Corporate governance: What's special about banks?"
"45","59","Corporate governance norms and practices"
"46","48","Systemic Banking Crises Database II"
"47","46","Credit booms and macrofinancial stability"
"48","46","The impact of organizational structure and lending technology on banking competition"
"49","41","Cross-Country Experiences and Policy Implications from the Global Financial Crisis"
"50","41","Pension reform, ownership structure, and corporate governance: Evidence from a natural experiment"
"51","41","Corporate governance quality: Trends and real effects"
"52","39","Flight home, flight abroad, and international credit cycles"
"53","39","Banking crises: A review"
"54","31","The political economy of deposit insurance"
"55","28","Crisis resolution, policies, and institutions: Empirical evidence"
"56","27","International evidence on the value of deposit insurance"
"57","26","The use of blanket guarantees in banking crises"
"58","25","Financial crisis policies and resolution mechanisms: A taxonomy from cross-country experience"
"59","25","Financial constraints on investments and credit policy in Korea"
"60","23","US monetary shocks and global stock prices"
"61","17","Political foundations of the lender of last resort: A global historical narrative"
"62","16","Corporate governance provisions and firm ownership: Firm-level evidence from Eastern Europe"
"63","12","Local Ownership, Crises, and Asset Prices: Evidence from US Mutual Funds"
"64","9","Fintech: what's old, what's new?"
"65","6","A lost generation? Education decisions and employment outcomes during the US housing boom-bust cycle of the 2000s"
"66","5","The regulatory response to the sovereign-bank nexus"
"67","4","The Procyclicality of Banking: Evidence from the Euro Area"
"68","4","Nonconsolidated affiliates, bank capitalization, and risk taking"
"69","4","Waking Up from the American Dream: On the Experience of Young Americans during the Housing Boom of the 2000s"
"70","3","Bank capital: A seawall approach"
"71","3","Special issue: Banking and bank regulation: Challenges for the future"
"72","3","Introduction and overview"
"73","2","Safe-Asset Shortages: Evidence from the European Government Bond Lending Market"
"74","1","Pandemics, intermediate goods, and corporate valuation"
"75","1","The effect of personal bankruptcy exemptions on investment in home equity"
"76","1","Lessons and Policy Implications from the Global Financial Crisis"
"77","1","A Cross-Country Perspective on the Causes of the Global Financial Crisis"
"78","1","Resolution of Banking Crises"
"79","1","Speed Kills? Mortgage Credit Boom and the Crisis"
"80","0","Collateral Booms and Information Depletion"
"81","0","Erratum: Collateral Booms and Information Depletion (Review of Economic Studies 1: 39 DOI: 10.1093/restud/rdab046)"
"82","0","Loan types and the bank lending channel"
"83","0","Editors’ Introduction to the Special Issue"
"84","0","Governance of banks"
"85","0","Comments on ""The regulation of the banking sector in developing and emerging countries"" | Commentaires sur la régulation du secteur bancaire dans les pays en développement et les pays émergents"
"86","0","Comments on ""the regulation of the banking sector in developing and emerging countries"""

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
