Scopus - 作者产出分析

"作者姓名:","Kostova, Tatiana"
"Scopus 作者 ID:","6603774111"

"h-Index:","29"

"起始年份:","1995"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","1810","Organizational legitimacy under conditions of complexity: The case of the multinational enterprise"
"2","1617","Adoption of an organizational practice by subsidiaries of multinational corporations: Institutional and relational effects"
"3","1371","Transnational transfer of strategic organizational practices: A contextual perspective"
"4","1078","Toward a theory of psychological ownership in organizations"
"5","894","Institutional theory in the study of multinational corporations: A critique and new directions"
"6","829","The State of Psychological Ownership: Integrating and Extending a Century of Research"
"7","489","Social capital in multinational corporations and a micro-macro model of its formation"
"8","205","Psychological Ownership: An empirical examination of its consequences"
"9","201","Escaping the iron cage: Liabilities of origin and CSR reporting of emerging market multinational enterprises"
"10","189","Collectivism, propensity to trust and self-esteem as predictors of organizational citizenship in a non-work setting"
"11","175","An overview of Hofstede-inspired country-level culture research in international business since 2006"
"12","166","Unpacking the Institutional Complexity in Adoption of CSR Practices in Multinational Enterprises"
"13","162","Cultural Distance and Firm Internationalization: A Meta-Analytical Review and Theoretical Implications"
"14","133","The use of the multinational corporation as a research context"
"15","126","Headquarters-subsidiary relationships in MNCs: Fifty years of evolving research"
"16","122","A model of dual organizational identification in the context of the multinational enterprise"
"17","118","Organizational coping with institutional upheaval in transition economies"
"18","97","Utilizing the broader agency perspective for studying headquarters-subsidiary relations in multinational companies"
"19","93","Walking the walk or talking the talk? Corporate social responsibility decoupling in emerging market multinationals"
"20","86","Roles of subsidiary managers in multinational corporations: The effect of dual organizational identification"
"21","74","The construct of institutional distance through the lens of different institutional perspectives: Review, analysis, and recommendations"
"22","70","Understanding Agency Problems in Headquarters-Subsidiary Relationships in Multinational Corporations: A Contextualized Model"
"23","67","Multiculturalism from a cognitive perspective: Patterns and implications"
"24","58","Widening the lens: Rethinking distance, diversity, and foreignness in international business research through positive organizational scholarship"
"25","35","Meyer and Peng's 2005 article as a foundation for an expanded and refined international business research agenda: Context, organizations, and theories"
"26","34","An experimental study of the acceptance of a foreign newcomer into a workgroup"
"27","33","From the Editors: Conducting high impact international business research: The role of theory"
"28","32","Theorizing on MNCs: A promise for institutional theory"
"29","30","Political ideologies and the internationalization of family-controlled firms"
"30","27","The impact of institutions on the competitive advantage of publicly listed family firms in emerging markets"
"31","18","The impact of market based institutional reforms on firm strategy and performance: Review and extension"
"32","18","Impact of informal institutions on the prevalence, strategy, and performance of family firms: A meta-analysis"
"33","13","Exploring cultural misfit: Causes and consequences"
"34","11","Expanding international business research on foreignness a viewpoint"
"35","4","Antecedents of psychological attachment in multinational enterprises"
"36","2","Integrating Diversity into Distance Research for Added Rigor, Parsimony, and Relevance"
"37","1","Talking the talk and walking the walk: Csr reporting and csp of emerging market multinationals"
"38","1","Antecedents of dual organizational identification among MNC subsidiary managers: An empirical test"
"39","1","Limitations of the culture perspective in teaching international management: The case of transition economies"
"40","0","Utilizing the Chinese Diaspora by Russian Firms: Capabilities and Legitimacy Implications"

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
