Scopus - 作者产出分析

"作者姓名:","Bruton, Garry D."
"Scopus 作者 ID:","6603867202"

"h-Index:","50"

"起始年份:","1993"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","1017","Corporate governance in emerging economies: A review of the principal-principal perspective: Review paper"
"2","823","Institutional theory and entrepreneurship: Where are we now and where do we need to move in the future?"
"3","629","Entrepreneurship in emerging economies: Where are we today and where should the research go in the future"
"4","497","International venturing by emerging economy firms: The effects of firm capabilities, home country networks, and corporate entrepreneurship"
"5","369","New financial alternatives in seeding entrepreneurship: Microfinance, crowdfunding, and peer-to-peer innovations"
"6","360","An institutional view of China's venture capital industry: Explaining the differences between China and the West"
"7","306","State-owned enterprises around the world as hybrid organizations"
"8","295","Capabilities as a mediator linking resources and the international performance of entrepreneurial firms in an emerging economy"
"9","291","Research on entrepreneurship in the informal economy: Framing a research agenda"
"10","281","Venture capital in emerging economies: Networks and institutional change"
"11","259","Understanding business group performance in an emerging economy: Acquiring resources and capabilities in order to prosper"
"12","246","Governance, ownership structure, and performance of IPO firms: The impact of different types of private equity investors and institutional environments"
"13","244","Entrepreneurship as a solution to poverty"
"14","211","Informal family business in Africa"
"15","188","Turnaround in East Asian firms: Evidence from ethnic Overseas Chinese communities"
"16","176","Institutional influences on the worldwide expansion of venture capital"
"17","169","Private firms in China: Building legitimacy in an emerging economy"
"18","164","Entrepreneurship through a qualitative lens: Insights on the construction and/or discovery of entrepreneurial opportunity"
"19","161","Business groups: An integrated model to focus future research: Review paper"
"20","157","Strategy and the board of directors in venture capital-backed firms"
"21","153","Entrepreneurship as a solution to extreme poverty: A review and future research directions"
"22","149","Institutional differences and the development of entrepreneurial ventures: A comparison of the venture capital industries in Latin America and Asia"
"23","149","Asian management research: Status today and future outlook"
"24","146","Rapid institutional shifts and the co-evolution of entrepreneurial firms in transition economies"
"25","142","Shades of grey: How do informal firms navigate between macro and meso institutional environments?"
"26","136","Venture capital in China: Past, present, and future"
"27","135","Microlending in emerging economies: Building a new line of inquiry from the ground up"
"28","133","Resources of the firm, Russian high-technology startups, and firm growth"
"29","115","Harnessing Innovation for Change: Sustainability and Poverty in Developing Countries"
"30","113","Entrepreneurship and strategy in emerging economies"
"31","112","Facing constraints to growth? Overseas Chinese entrepreneurs and traditional business practices in East Asia"
"32","106","When institutional change outruns the change agent: The contested terrain of entrepreneurial microfinance for those in poverty"
"33","105","Theories of the (state-owned) firm"
"34","103","Founders, private equity investors, and underpricing in entrepreneurial IPOs"
"35","103","Knowledge management in technology-focused firms in emerging economies: Caveats on capabilities, networks, and real options"
"36","97","Informal Entrepreneurship and Industry Conditions"
"37","87","Entrepreneurship, poverty, and Asia: Moving beyond subsistence entrepreneurship"
"38","86","Toward a research agenda on the informal economy"
"39","85","Slack and the performance of state-owned enterprises"
"40","77","Navigating China's changing economy: Strategies for private firms"
"41","73","Knowledge transfer in international joint ventures in transitional economies: The China experience"
"42","73","Downsizing the firm: Answering the strategic questions"
"43","72","The resource dependence, service and control functions of boards of directors in Hong Kong and Taiwanese firms"
"44","70","Business and the worlds poorest billion the need for an expanded examination by management scholars"
"45","65","The impact of the institutional environment on the venture capital industry in Singapore"
"46","61","Understanding venture capital in East Asia: The impact of institutions on the industry today and tomorrow"
"47","59","FDI in China: What we know and what we need to study next"
"48","59","Signaling value to business angels: The proportion of the entrepreneur’s net worth invested in a new venture as a decision signal"
"49","55","Business turnaround processes following acquisitions: Reconsidering the role of retrenchment"
"50","54","Strategic orientations and strategies of high technology ventures in two transition economies"
"51","49","Founder/chief executive officer exit: A social capital perspective of new ventures"
"52","44","What do firms from transition economies want from their strategic alliance partners?"
"53","44","Knowledge acquisition, cost savings, and strategic positioning: Effects on Sino-American IJV performance"
"54","43","High-technology entrepreneurship in emerging economies: Firm informality and contextualization of resource-based theory"
"55","42","When in Rome, look like caesar? investigating the link between demand-side cultural power distance and CEO power"
"56","40","Employment and market innovation in Chinese business group affiliated firms: The role of group control systems"
"57","39","Examining entrepreneurship through indigenous lenses"
"58","38","Turnaround success of large and midsize Chinese owned firms: Evidence from Hong Kong and Thailand"
