Scopus - 作者产出分析

"作者姓名:","Fama, Eugene F."
"Scopus 作者 ID:","6603950815"

"h-Index:","54"

"起始年份:","1971"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","10737","Common risk factors in the returns on stocks and bonds"
"2","7033","The Cross‐Section of Expected Stock Returns"
"3","2777","Multifactor explanations of asset pricing anomalies"
"4","2703","Industry costs of equity"
"5","2054","Market efficiency, long-term returns, and behavioral finance"
"6","1981","A five-factor asset pricing model"
"7","1729","Business conditions and expected returns on stocks and bonds"
"8","1463","Dividend yields and expected stock returns"
"9","1442","Size and Book‐to‐Market Factors in Earnings and Returns"
"10","1338","Testing Trade-Off and Pecking Order Predictions About Dividends and Debt"
"11","1253","Disappearing dividends: Changing firm characteristics or lower propensity to pay?"
"12","1166","Asset returns and inflation"
"13","953","What's different about banks?"
"14","952","Value versus growth: The international evidence"
"15","901","Forward and spot exchange rates"
"16","768","Size, value, and momentum in international stock returns"
"17","745","Dissecting anomalies"
"18","689","Stock Returns, Expected Returns, and Real Activity"
"19","652","The Capital Asset Pricing Model: Theory and evidence"
"20","633","Luck versus Skill in the cross-section of mutual fund returns"
"21","486","The equity premium"
"22","437","Characteristics, covariances, and average returns: 1929 to 1997"
"23","372","Taxes, financing decisions, and firm value"
"24","358","Forecasting profitability and earnings"
"25","350","Parameter estimates for symmetric stable distributions"
"26","335","Profitability, investment and average returns"
"27","328","Financing decisions: Who issues stock?"
"28","319","The information in the term structure"
"29","318","Dissecting Anomalies with a Five-Factor Model"
"30","290","Banking in the theory of finance"
"31","279","Organizational forms and investment decisions"
"32","276","New lists: Fundamentals and survival rates"
"33","261","International tests of a five-factor asset pricing model"
"34","240","Inflation, real returns and capital investment"
"35","225","The value premium and the CAPM"
"36","223","Business Cycles and the Behavior of Metals Prices"
"37","214","Risk-adjusted discount rates and capital budgeting under uncertainty"
"38","206","Term-structure forecasts of interest rates, inflation and real returns"
"39","201","Choosing factors"
"40","194","A comparison of inflation forecasts"
"41","194","COMPONENTS OF INVESTMENT PERFORMANCE"
"42","175","Disagreement, tastes, and asset prices"
"43","158","The CAPM is wanted, dead or alive"
"44","129","The effects of a firm's investment and financing decisions on the welfare of its security holders"
"45","127","Multifactor portfolio efficiency and multifactor asset pricing"
"46","127","Forward rates as predictors of future spot rates"
"47","118","Term premiums in bond returns"
"48","105","Human capital and capital market equilibrium"
"49","98","Term premiums and default premiums in money markets"
"50","88","Average returns, B/M, and share issues"
"51","85","The corporate cost of capital and the return on corporate investment"
"52","82","Money, bonds, and foreign exchange"
"53","72","Two pillars of asset pricing"
"54","58","Tests of the multiperiod two-parameter model"
"55","50","A NOTE ON THE MARKET MODEL AND THE TWO‐PARAMETER MODEL"
"56","49","The anatomy of value and growth stock returns"
"57","48","REPLY"
"58","45","Discounting under uncertainty"
"59","43","Migration"
"60","41","Determining the number of priced state variables in the ICAPM"
"61","37","The behavior of interest rates"
"62","36","Financial intermediation and price level control"
"63","32","Incremental variables and the investment opportunity set"
"64","25","My life in finance"
"65","24","PERFECT COMPETITION AND OPTIMAL PRODUCTION DECISIONS UNDER UNCERTAINTY."
"66","23","Does the fed control interest rates?"
"67","21","LONG‐TERM GROWTH IN A SHORT‐TERM MARKET"
"68","19","Comparing Cross-Section and Time-Series Factor Models"
"69","18","Transitory variation in investment and output"
"70","17","Long-horizon returns"
"71","16","Clinical papers and their role in the development of financial economics"
"72","14","An experienced view on markets and investing"
"73","11","Volatility lessons"
"74","5","Contract costs, stakeholder capitalism, and ESG"
"75","4","Was there ever a lending channel?"
"76","4","Agency problems and the theory of the firm"
"77","3","The Value Premium"
"78","3","Separation of ownership and control"
"79","2","Separation of ownership and control"
"80","1","Editorial"
"81","0","Taxes"
"82","0","Interest Rates and Inflation Revisited"
"83","0","Finance at the University of Chicago"
"84","0","Financial intermediation and price level control"
"85","0","Organizational forms and investment decisions"
"86","0","Gene Fama's comments"
"87","0","Risk aversion over time implies static risk aversion: Multiperiod consumption-investment decisions"

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
