Scopus - 作者产出分析

"作者姓名:","Imbens, Guido W."
"Scopus 作者 ID:","6603956309"

"h-Index:","56"

"起始年份:","1994"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","2888","Identification of Causal Effects Using Instrumental Variables"
"2","2072","Recent developments in the econometrics of program evaluation"
"3","1549","Regression discontinuity designs: A guide to practice"
"4","1459","Nonparametric estimation of average treatment effects under exogeneity: A review"
"5","1407","Causal inference: For statistics, social, and biomedical sciences an introduction"
"6","1237","Large sample properties of matching estimators for average treatment effects"
"7","1123","Redefine statistical significance"
"8","1061","Efficient estimation of average treatment effects using the estimated propensity score"
"9","891","The role of the propensity score in estimating dose-response functions"
"10","792","Optimal bandwidth choice for the regression discontinuity estimator"
"11","610","Estimation of causal effects using propensity score weighting: An application to data on right heart catheterization"
"12","534","Bias-corrected matching estimators for average treatment effects"
"13","510","Two-stage least squares estimation of average causal effects in models with variable treatment intensity"
"14","424","Identification and inference in nonlinear difference-in-differences models"
"15","398","The Propensity Score with Continuous Treatments"
"16","395","Dealing with limited overlap in estimation of average treatment effects"
"17","390","On the failure of the bootstrap for matching estimators"
"18","328","Bayesian inference for causal effects in randomized experiments with noncompliance"
"19","317","The state of applied econometrics: Causality and policy evaluation"
"20","315","Recursive partitioning for heterogeneous causal effects"
"21","309","Confidence intervals for partially identified parameters"
"22","290","Instrumental variables estimates of the effect of subsidized training on the quantiles of trainee earnings"
"23","269","Matching on the Estimated Propensity Score"
"24","244","Why High-Order Polynomials Should Not Be Used in Regression Discontinuity Designs"
"25","234","Identification and estimation of triangular simultaneous equations models without additivity"
"26","228","Promoting transparency in social science research"
"27","221","Sensitivity to exogeneity assumptions in program evaluation"
"28","220","Information theoretic approaches to inference in moment condition models"
"29","204","Matching methods in practice: Three examples"
"30","203","Estimating the effect of unearned income on labor earnings, savings, and consumption: Evidence from a survey of lottery players"
"31","198","Estimating Outcome Distributions for Compliers in Instrumental Variables Models"
"32","187","Better LATE than nothing: Some comments on Deaton (2009) and Heckman and Urzua (2009)"
"33","136","The interpretation of instrumental variables estimators in simultaneous equations models with an application to the demand for fish"
"34","128","Social Networks and the Identification of Peer Effects"
"35","128","One-Step Estimators for Over-Identified Generalized Method of Moments Models"
"36","127","Jackknife instrumental variables estimation"
"37","119","Combining micro and macro data in microeconometric models"
"38","115","Machine Learning Methods That Economists Should Know about"
"39","104","Empirical likelihood estimation and consistent tests with conditional moment restrictions"
"40","99","Bias from classical and other forms of measurement error"
"41","98","Nonparametric tests for treatment effect heterogeneity"
"42","93","Robust standard errors in small samples: Some practical advice"
"43","86","Instrumental variable estimation of nonseparable models"
