Scopus - 作者产出分析

"作者姓名:","La Porta, Rafael"
"Scopus 作者 ID:","6701383903"

"h-Index:","32"

"起始年份:","1996"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","8969","Law and finance"
"2","5437","Corporate ownership around the world"
"3","4682","Legal determinants of external finance"
"4","3077","The quality of government"
"5","2953","Investor protection and corporate governance"
"6","1927","Investor protection and corporate valuation"
"7","1789","The regulation of entry"
"8","1650","The economic consequences of legal origins"
"9","1636","The law and economics of self-dealing"
"10","1481","Do institutions cause growth?"
"11","1405","Tunneling"
"12","1400","Agency problems and dividend policies around the world"
"13","1305","What works in securities laws?"
"14","1275","Trust in Large Organizations"
"15","1059","Government ownership of banks"
"16","1041","The regulation of labor"
"17","773","Courts"
"18","583","The new comparative economics"
"19","383","Judicial checks and balances"
"20","374","Informality and development"
"21","368","Expectations and the cross-section of stock returns"
"22","332","Good news for value stocks: Further evidence on market efficiency"
"23","328","Human capital and regional development"
"24","267","The unofficial economy and economic development"
"25","258","The benefits of privatization: Evidence from Mexico"
"26","248","Related lending"
"27","97","Growth in regions"
"28","81","Disclosure by politicians"
"29","37","Letter grading government efficiency"
"30","35","Law and Finance After a Decade of Research"
"31","33","The Divergence of Legal Procedures"
"32","33","Judicial reform"
"33","32","A new bankruptcy procedure that uses multiple auctions"
"34","2","Investor protection and corporate governance"
"35","0","La protección del inversionista y la administración corporativa"

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
