Scopus - 作者产出分析

"作者姓名:","Gneezy, Uri"
"Scopus 作者 ID:","6701455596"

"h-Index:","46"

"起始年份:","1996"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","2303","Gender differences in preferences"
"2","1066","Pay enough or don't pay at all"
"3","1033","A fine is a price"
"4","858","Performance in competitive environments: Gender differences"
"5","843","Deception: The role of consequences"
"6","740","When and why incentives (don't) work to modify behavior"
"7","638","Strong Evidence for Gender Differences in Risk Taking"
"8","527","Experimental methods: Between-subject and within-subject design"
"9","513","An experiment on risk taking and evaluation periods"
"10","461","Gender differences in competition: Evidence from a matrilineal and a patriarchal society"
"11","453","Discrimination in a segmented society: An experimental approach"
"12","379","Large stakes and big mistakes"
"13","348","White lies"
"14","336","Gender and competition at a young age"
"15","318","Incentives to Exercise"
"16","312","Experimental methods: Eliciting risk preferences"
"17","300","Putting behavioral economics to work: Testing for gift exchange in labor markets using field experiments"
"18","278","What's in a name? Anonymity and social distance in dictator and ultimatum games"
"19","233","Measuring Beliefs in an Experimental Lost Wallet Game"
"20","172","Price competition and market concentration: An experimental study"
"21","169","Shared social responsibility: A field experiment in pay-what-you-want pricing and charitable giving"
"22","155","The uncertainty effect: When a risky prospect is valued less than its worst possible outcome"
"23","151","Pay-what-you-want, identity, and self-signaling in markets"
"24","143","The effect of intergroup competition on group coordination: An experimental study"
"25","134","Lying Aversion and the Size of the Lie"
"26","134","Avoiding overhead aversion in charity"
"27","130","Measuring lying aversion"
"28","130","The power of focal points is limited: Even minute payoff asymmetry may yield large coordination failures"
"29","124","Stakes matter in ultimatum games"
"30","120","Portfolio choice and risk attitudes: An experiment"
"31","119","Gender, competitiveness, and socialization at a young age: Evidence from a matrilineal and a patriarchal society"
"32","111","Evaluation Periods and Asset Prices in a Market Experiment"
"33","107","Experimental methods: Pay one or pay all"
"34","103","On the interaction of risk and time preferences: An experimental study"
"35","86","Incentives and cheating"
"36","76","Experimental methods: Extra-laboratory experiments-extending the reach of experimental economics"
"37","71","All-pay auctions-an experimental study"
"38","63","Strategic delegation: An experiment"
"39","62","Conscience accounting: Emotion dynamics and social behavior"
"40","61","Discrimination and nepotism: The efficiency of the anonymity rule"
"41","57","Experimental methods: When and why contextual instructions are important"
"42","56","A reference-dependent model of the price-quality heuristic"
"43","56","Information disclosure in auctions: An experiment"
"44","52","Nurture affects gender differences in spatial abilities"
"45","51","Psychology, behavioral economics, and public policy"
"46","47","Do women supply more public goods than men? Preliminary experimental evidence from matrilineal and patriarchal societies"
"47","45","Rise and fall of competitiveness in individualistic and collectivistic societies"
"48","43","Ode to the Sea: Workplace Organizations and Norms of Cooperation"
"49","40","Experience and insight in the Race game"
"50","39","Paying more when paying for others"
"51","37","Incentives for creativity"
"52","37","Equity aversion: Social Norms and the Desire to be Ahead"
"53","36","Experimental methods: Measuring effort in economics experiments"
"54","35","Giving behavior of millionaires"
"55","35","The inefficiency of splitting the bill"
"56","34","How Werner Güth's ultimatum game shaped our understanding of social behavior"
"57","34","Bargaining under a deadline: Evidence from the reverse ultimatum game"
"58","30","Presents or investments? An experimental analysis"
"59","29","Price floors and competition"
"60","27","Materazzi effect and the strategic use of anger in competitive interactions"
"61","27","Taboos and identity: Considering the unthinkable"
"62","26","Nonreplicable publications are cited more than replicable ones"
"63","26","On the size of the gender difference in competitiveness"
"64","25","The tradeoff between performance and quitting in high power tournaments"
"65","24","Cognitive forward induction and coordination without common knowledge: An experimental study"
"66","24","Step-level reasoning and bidding in auctions"
"67","24","An Experimental Investigation of Optimal Learning in Coordination Games"
"68","22","On the relative efficiency of performance pay and noncontingent incentives"
"69","21","Relative pay and labor supply"
"70","19","The limits of expectations-based reference dependence"
"71","19","Signaling virtue: Charitable behavior under consumer elective pricing"
"72","19","Carrots That Look Like Sticks: Toward an Understanding of Multitasking Incentive Schemes"
"73","17","Bribery: Behavioral drivers of distorted decisions"
"74","17","Incentives, punishment, and behavior"
"75","15","Gender, age, and competition: A disappearing gap?"
"76","14","Complexity in risk elicitation may affect the conclusions: A demonstration using gender differences"
"77","14","An experimental investigation of evolutionary dynamics in the Rock-Paper-Scissors game"
"78","10","Bribing the Self"
"79","10","Allowing for reflection time does not change behavior in dictator and cheating games"
"80","9","‘Everybody’s doing it’: on the persistence of bad social norms"
"81","9","On the cultural basis of gender differences in negotiation"
"82","9","Probability judgments in multi-stage problems: Experimental evidence of systematic biases"
"83","8","Social Norms and the Price of Zero"
"84","7","On competing rewards standards - An experimental study of ultimatum bargaining"
"85","6","Experimental methods: Eliciting beliefs"
"86","5","Can Short Psychological Interventions Affect Educational Performance? Revisiting the Effect of Self-Affirmation Interventions"
"87","3","Observability and lying"
"88","3","A must lie situation – avoiding giving negative feedback"
"89","3","Erratum to: Incentives for creativity (Exp Econ, (2016), 19, (269-280), 10.1007/s10683-015-9440-5)"
"90","3","Erratum: Nurture affects gender differences in spatial abilities (Proceedings of the National Academy of Sciences of the United States of America (2011) 108, 36 (14786-14788) DOI: 10.1073/pnas.1015182108)"
"91","3","Towards an understanding of the relative strengths of positive and negative reciprocity"
"92","2","The Endowment Effect: Loss Aversion or a Buy-Sell Discrepancy?"
"93","2","A tale of two food stands: Observational learning in the field"
"94","1","Mistakes, Overconfidence, and the Effect of Sharing on Detecting Lies"
"95","1","Teams do not outperform individuals in a simple creative task"
"96","1","Editorial"
"97","0","Competitiveness, gender and handedness"
"98","0","Lies in disguise - An experimental study on cheating (by Urs Fischbacher and Franziska Föllmi-Heusi)"
"99","0","On the value(s) of time: Workers’ value of their time depends on mode of valuation"
"100","0","Creative solutions: Expertise versus Crowd Sourcing"
"101","0","Externalities, stakes, and lying"
"102","0","Erratum to: Incentives for creativity (Exp Econ, DOI 10.1007/s10683-015-9440-5)"
"103","0","Reply to Bailey et al. and Daly: Indigenous societies enable identification of nurture but require nonstandard measures"
"104","0","Editorial statement: Behavioral economics"
"105","0","Response"
"106","0","Price competition: The role of gender and education"

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
