Scopus - 作者产出分析

"作者姓名:","Teece, David J."
"Scopus 作者 ID:","6701775408"

"h-Index:","58"

"起始年份:","1971"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","16084","Dynamic capabilities and strategic management"
"2","5649","Explicating dynamic capabilities: The nature and microfoundations of (sustainable) enterprise performance"
"3","5562","Profiting from technological innovation: Implications for integration, collaboration, licensing and public policy"
"4","3525","Business models, business strategy and innovation"
"5","1937","The dynamic capabilities of firms: An introduction"
"6","1684","Capturing value from knowledge assets: The new economy, markets for know-how, and intangible assets"
"7","1121","Towards an economic theory of the multiproduct firm"
"8","1013","Economies of scope and the scope of the enterprise"
"9","912","Competition, cooperation, and innovation. Organizational arrangements for regimes of rapid technological progress"
"10","725","Understanding corporate coherence. Theory and evidence"
"11","668","Strategies for Managing Knowledge Assets: The Role of Firm Structure and Industrial Context"
"12","665","Dynamic Capabilities: Routines versus Entrepreneurial Action"
"13","616","Firm organization, industrial structure, and technological innovation"
"14","611","Business models and dynamic capabilities"
"15","580","The foundations of enterprise performance: Dynamic and ordinary capabilities in an (economic) theory of firms"
"16","562","Dynamic capabilities and organizational agility: Risk, uncertainty, and strategy in the innovation economy"
"17","539","A dynamic capabilities-based entrepreneurial theory of the multinational enterprise"
"18","524","Managing intellectual capital: Licensing and cross-licensing in semiconductors and electronics"
"19","475","Strategic management and economics"
"20","438","Dynamic capabilities and the role of managers in business strategy and economic performance"
"21","400","Transactions cost economics and the multinational enterprise An Assessment"
"22","378","Reflections on ""Profiting from Innovation"""
"23","363","The Market for Know-How and the Efficient International Transfer of Technology"
"24","303","Profiting from innovation in the digital economy: Enabling technologies, standards, and licensing models in the wireless world"
"25","240","Shaping intellectual property and industry architecture"
"26","226","Economic Reform in New Zealand 1984-95: The Pursuit of Efficiency"
"27","211","Economic Analysis and Strategic Management"
"28","198","MULTINATIONAL ENTERPRISE: MARKET FAILURE AND MARKET POWER CONSIDERATIONS."
"29","186","Cross-border market co-creation, dynamic capabilities and the entrepreneurial theory of the multinational enterprise"
"30","182","Dynamic capabilities and entrepreneurial management in large organizations: Toward a theory of the (entrepreneurial) firm"
"31","179","DIFFUSION OF AN ADMINISTRATIVE INNOVATION."
"32","168","Expert talent and the design of (professional services) firms"
"33","154","Research directions for knowledge management"
"34","149","Introduction: On the nature and scope of dynamic capabilities"
"35","145","Innovation, dynamic capabilities, and leadership"
"36","140","Competition and Cooperation: Striking the Right Balance"
"37","139","Multinational enterprise, internal governance, and industrial organization"
"38","133","Strategy as evolution with design: The foundations of dynamic capabilities and the role of managers in the economic system"
"39","132","Technological innovation and the theory of the firm: The role of enterprise-level knowledge, complementarities, and (dynamic) capabilities"
"40","131","Dynamic capabilities and multinational enterprise: Penrosean insights and omissions"
"41","112","The (new) nature and essence of the firm"
"42","110","Dynamic capabilities as (workable) management systems theory"
"43","109","Organizing for innovation: When is virtual virtuous?"
"44","105","Business models, value capture, and the digital enterprise"
"45","101","Uncertainty, innovation, and dynamic capabilities: An introduction"
"46","101","Royalties, evolving patent rights, and the value of innovation"
"47","96","Towards a capability theory of (innovating) firms: Implications for management and policy"
"48","89","Strategic Management of Open Innovation: A Dynamic Capabilities Perspective"
"49","84","International Entrepreneurship and the Theory of the (Long-Lived) International Firm: A Capabilities Perspective"
"50","78","The structural reshaping of globalization: Implications for strategic sectors, profiting from innovation, and the multinational enterprise"
"51","78","Dynamic competition in antitrust law"
"52","76","A capability theory of the firm: an economics and (Strategic) management perspective"
"53","71","Vertical integration and risk reduction"
"54","70","Foreign Investment and Technological Development in Silicon Valley"
"55","68","Unpacking strategic alliances: The structure and purpose of alliance versus supplier relationships"
"56","64","Dynamic capabilities and (digital) platform lifecycles"
"57","64","Campus leadership and the entrepreneurial university: A dynamic capabilities perspective"
"58","58","OPEC behavior: An alternative view"
"59","57","Dynamic capabilities in the upstream oil and gas sector: Managing next generation competition"
"60","47","The analysis of market definition and market power in the context of rapid innovation"
"61","46","Reflections on the Hymer thesis and the multinational enterprise"
"62","44","Innovation in multi-invention contexts: Mapping solutions to technological and intellectual property complexity"
"63","44","Understanding complex organization: The role of know-how, internal structure, and human behavior in the evolution of capabilities"
"64","43","Standards setting and antitrust"
"65","43","Preface: Dynamic capabilities"
