Scopus - 作者产出分析

"作者姓名:","Helfat, Constance E."
"Scopus 作者 ID:","6701800744"

"h-Index:","34"

"起始年份:","1987"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","2183","The dynamic resource-based view: Capability lifecycles"
"2","781","Corporate effects and dynamic managerial capabilities"
"3","707","Know-how and asset complementarity and dynamic capability accumulation: The case of R&amp;D"
"4","701","Innovation objectives, knowledge sources, and the benefits of breadth"
"5","650","Managerial cognitive capabilities and the microfoundations of dynamic capabilities"
"6","619","Untangling dynamic and operational capabilities: Strategy for the (N)ever-changing world"
"7","610","The birth of capabilities: Market entry and the importance of pre-history"
"8","551","Product sequencing: Co-evolution of knowledge, capabilities and products"
"9","446","Understanding dynamic capabilities: Progress along a developmental path"
"10","397","The managerial rents model: Theory and empirical analysis"
"11","376","Dynamic Managerial Capabilities: Review and Assessment of Managerial Impact on Strategic Change"
"12","315","Strategic renewal of organizations"
"13","310","Quo vadis, dynamic capabilities? A content-analytic review of the current state of knowledge and recommendations for future research"
"14","307","Inter-temporal economies of scope, organizational modularity, and the dynamics of diversification"
"15","274","Specificity of CEO human capital and compensation"
"16","249","Organizational linkages for surviving technological change: Complementary assets, middle management, and ambidexterity"
"17","247","Does corporate strategy matter?"
"18","223","Dynamic and integrative capabilities for profiting from innovation in digital platform-based ecosystems"
"19","151","Location, decentralization, and knowledge sources for innovation"
"20","143","The pipeline to the top: Women and men in the top executive ranks of U.S. corporations"
"21","138","Stylized facts, empirical research and theory development in management"
"22","124","Creating repeatable cumulative knowledge in strategic management: A call for a broad and deep conversation among authors, referees, and editors"
"23","108","External management succession, human capital, and firm performance: An integrative analysis"
"24","104","Quantitative empirical analysis in strategic management"
"25","92","The necessity, logic, and forms of replication"
"26","71","Vertical integration and risk reduction"
"27","66","CEO duality, succession, capabilities and agency theory: Commentary and research agenda"
"28","61","Integrative capabilities, vertical integration, and innovation over successive technology lifecycles"
"29","58","The impact of dynamic capabilities on resource access and development"
"30","57","Modern Evolutionary Economics: An Overview"
"31","52","Managerial and windfall rents in the market for corporate control"
"32","48","Searching, shaping, and the quest for superior performance"
"33","38","Replication in strategic management"
"34","36","Qualitative empirical research in strategic management"
"35","34","External succession and disruptive change: Heirs-apparent, forced turnover and firm performance"
"36","29","The board of directors as a social network: A new perspective"
"37","20","Vertical firm structure and industry evolution"
"38","18","Disentangling the microfoundations of acquisition behavior and performance"
"39","15","Examining resource redeployment in multi-business firms"
"40","9","Simple indicators of adaptation versus rigidity in history-dependent firm activities and decision rules"
"41","8","The Behavior and Capabilities of Firms"
"42","7","Improving Data Availability: A New SMJ Initiative"
"43","4","The dynamics of capability search and creation"
"44","4","Reviews of strategic management research"
"45","4","Work-Life Issues in Academia and Business: The Current State of Affairs"
"46","3","Transferring Knowledge by Transferring Individuals: Innovative Technology Use and Organizational Performance in Multiunit Firms"
"47","3","What Does Firm Shaping of Markets Really Mean?"
"48","2","Articles on datasets"
"49","2","Investment in offshore oil by diversified petroleum companies"
"50","1","Theory in strategic management"
"51","1","Investment choices in the petroleum industry"
"52","0","Economists respond [1]"
"53","0","Untangling dynamic and operational capabilities: Strategy for the (n)ever-changing world"
"54","0","Journal of Management Inquiry: Editor's introduction"

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
