Scopus - 作者产出分析

"作者姓名:","Apergis, Nicholas"
"Scopus 作者 ID:","6701803017"

"h-Index:","49"

"起始年份:","1992"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","710","Renewable energy consumption and economic growth: Evidence from a panel of OECD countries"
"2","551","Testing environmental Kuznets curve hypothesis in Asian countries"
"3","525","CO<inf>2</inf> emissions, energy usage, and output in Central America"
"4","516","On the causal dynamics between emissions, nuclear energy, renewable energy, and economic growth"
"5","490","Energy consumption and economic growth in Central America: Evidence from a panel cointegration and error correction model"
"6","455","Renewable and non-renewable energy consumption-growth nexus: Evidence from a panel error correction model"
"7","393","Do structural oil-market shocks affect stock prices?"
"8","363","Renewable energy consumption and growth in Eurasia"
"9","354","The renewable energy consumption-growth nexus in Central America"
"10","317","The emissions, energy consumption, and growth nexus: Evidence from the commonwealth of independent states"
"11","258","Energy consumption and economic growth: Evidence from the Commonwealth of Independent States"
"12","257","Renewable energy, output, CO<inf>2</inf> emissions, and fossil fuel prices in Central America: Evidence from a nonlinear panel smooth transition vector error correction model"
"13","221","Environmental Kuznets curves: New evidence on both panel and country-level CO<inf>2</inf> emissions"
"14","185","Energy consumption and growth in South America: Evidence from a panel error correction model"
"15","179","The effect of foreign direct investment and stock market growth on clean energy use across a panel of emerging market economies"
"16","140","A dynamic panel study of economic development and the electricity consumption-growth nexus"
"17","129","Renewable and non-renewable electricity consumption-growth nexus: Evidence from emerging market economies"
"18","127","Does renewable energy consumption and health expenditures decrease carbon dioxide emissions? Evidence for sub-Saharan Africa countries"
"19","112","Renewable energy and economic growth: Evidence from the sign of panel long-run causality"
"20","107","Does convergence really matter for the environment? An application based on club convergence and on the ecological footprint concept for the EU countries"
"21","105","Consumption asymmetry and the stock market: Empirical evidence"
"22","103","Financing clean energy projects through domestic and foreign capital: The role of political cooperation among the EU, the G20 and OECD countries"
"23","102","Natural gas consumption and economic growth: A panel investigation of 67 countries"
"24","102","Financial deepening and economic growth linkages: A panel data analysis"
"25","101","Renewable energy, output, carbon dioxide emissions, and oil prices: Evidence from South America"
"26","98","Energy efficiency of selected OECD countries: A slacks based model with undesirable outputs"
"27","97","Is the energy-led growth hypothesis valid? New evidence from a sample of 85 countries"
"28","93","Coal consumption and economic growth: Evidence from a panel of OECD countries"
"29","91","The dynamic linkage between renewable energy, tourism, CO <inf>2</inf> emissions, economic growth, foreign direct investment, and trade"
"30","91","The impact of internet use on air pollution: Evidence from emerging countries"
"31","85","Per capita carbon dioxide emissions across U.S. states by sector and fossil fuel source: Evidence from club convergence tests"
"32","83","A panel study of nuclear energy consumption and economic growth"
"33","83","A survey of the Feldstein-Horioka puzzle: What has been done and where we stand"
"34","81","The oil curse, institutional quality, and growth in MENA countries: Evidence from time-varying cointegration"
"35","78","Are there Environmental Kuznets Curves for US state-level CO<inf>2</inf> emissions?"
"36","76","A revisit of the environmental Kuznets curve hypothesis for Turkey: new evidence from bootstrap rolling window causality"
"37","73","The causal dynamics between coal consumption and growth: Evidence from emerging market economies"
"38","67","Are fluctuations in coal consumption transitory or permanent? Evidence from a panel of US states"
"39","64","The electricity consumption-growth nexus: Renewable versus non-renewable electricity in central America"
"40","64","On the causal dynamics between renewable and non-renewable energy consumption and economic growth in developed and developing countries"
"41","63","Are shocks to natural gas consumption temporary or permanent? Evidence from a panel of U.S. states"
"42","62","Dynamics of renewable energy consumption and economic activities across the agriculture, industry, and service sectors: evidence in the perspective of sustainable development"
"43","61","The causal dynamics between renewable energy, real GDP, emissions and oil prices: evidence from OECD countries"
"44","60","Structural breaks and petroleum consumption in US states: Are shocks transitory or permanent?"
"45","57","Asymmetric oil shocks and external balances of major oil exporting and importing countries"
"46","57","The relationship between corruption and income inequality in U.S. states: Evidence from a panel cointegration and error correction model"
"47","54","Effects of export concentration on CO<inf>2</inf> emissions in developed countries: an empirical analysis"
"48","53","Agriculture, trade openness and emissions: an empirical analysis and policy options"
"49","51","An examination of Okun's law: Evidence from regional areas in Greece"
"50","47","Causality between energy consumption and GDP in the U.S.: Evidence from wavelet analysis"
"51","47","The relationship between international financial reporting standards, carbon emissions, and R&amp;D expenditures: Evidence from European manufacturing firms"
"52","47","Long memory and disaggregated energy consumption: Evidence from fossils, coal and electricity retail in the U.S."
"53","46","U.S. state-level carbon dioxide emissions: Does it affect health care expenditure?"
"54","46","Economic freedom and income inequality revisited: Evidence from a panel error correction model"
"55","46","Agricultural price volatility spillover effects: The case of Greece"
"56","45","Banking development and energy consumption: Evidence from a panel of Middle Eastern countries"
"57","44","Globalisation, economic growth and energy consumption in the BRICS region: The importance of asymmetries"
"58","44","The role of stock markets on environmental degradation: A comparative study of developed and emerging market economies across the globe"
"59","42","Inflation, output growth, volatility and causality: Evidence from panel data and the G7 countries"
"60","42","Current account deficit sustainability: The case of Greece"
"61","41","Integration properties of disaggregated solar, geothermal and biomass energy consumption in the U.S."
"62","41","Interest rates, inflation, and stock prices: The case of the Athens Stock Exchange"
"63","40","Research note: Tourism and growth in the Caribbean - Evidence from a panel error correction model"
"64","38","Does Geopolitical Risks Predict Stock Returns and Volatility of Leading Defense Companies? Evidence from a Nonparametric Approach"
"65","38","Can gold prices forecast the Australian dollar movements?"
"66","36","Impact of economic policy uncertainty on CO<inf>2</inf> emissions: evidence from top ten carbon emitter countries"
"67","36","Health care expenditure and environmental pollution: a cross-country comparison across different income groups"
"68","36","Good volatility, bad volatility: What drives the asymmetric connectedness of Australian electricity markets?"
"69","36","Dutch disease effect of oil rents on agriculture value added in Middle East and North African (MENA) countries"
"70","35","Determining the predictive power between cryptocurrencies and real time commodity futures: Evidence from quantile causality tests"
"71","35","Energy consumption and growth in Romania: Evidence from a panel error correction model"
"72","35","Convergence in U.S. house prices by state: Evidence from the club convergence and clustering procedure"
"73","34","The 11/13 Paris terrorist attacks and stock prices: The case of the international defense industry"
"74","33","Asymmetric pass through of oil prices to gasoline prices: Evidence from a new country sample"
"75","32","Investigating the role of globalization, and energy consumption for environmental externalities: Empirical evidence from developed and developing economies"
"76","32","Competition and efficiency in the MENA banking region: a non-structural DEA approach"
"77","32","Energy productivity convergence: new evidence from club converging"
"78","31","The role of rare earth prices in renewable energy consumption: The actual driver for a renewable energy world"
"79","30","Hydroelectricity consumption and economic growth nexus: Evidence from a panel of ten largest hydroelectricity consumers"
"80","30","The dynamic interaction between combustible renewables and waste consumption and international tourism: the case of Tunisia"
"81","29","Live free or bribe: On the causal dynamics between economic freedom and corruption in U.S. states"
