Scopus - 作者产出分析

"作者姓名:","Charness, Gary B."
"Scopus 作者 ID:","6701817928"

"h-Index:","44"

"起始年份:","2000"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","1798","Understanding social preferences with simple tests"
"2","691","Promises and partnership"
"3","638","Strong Evidence for Gender Differences in Risk Taking"
"4","527","Experimental methods: Between-subject and within-subject design"
"5","341","The strategy versus the direct-response method: A first survey of experimental comparisons"
"6","318","Incentives to Exercise"
"7","312","Experimental methods: Eliciting risk preferences"
"8","279","Individual behavior and group membership"
"9","278","What's in a name? Anonymity and social distance in dictator and ultimatum games"
"10","215","Attribution and reciprocity in an experimental labor market"
"11","196","The dark side of competition for status"
"12","171","Groups make better self-interested decisions"
"13","158","Lab Labor: What Can Labor Economists Learn from the Lab?"
"14","120","Bare promises: An experiment"
"15","120","Portfolio choice and risk attitudes: An experiment"
"16","116","Truth or consequences: An experiment"
"17","110","When optimal choices feel wrong: A laboratory study of bayesian updating, complexity, and affect"
"18","110","Self-serving cheap talk: A test of aumann's conjecture"
"19","109","Does pay inequality affect worker effort? Experimental evidence"
"20","107","Experimental methods: Pay one or pay all"
"21","106","Responsibility and effort in an experimental labor market"
"22","105","Relative payoffs and happiness: An experimental study"
"23","86","Social distance and reciprocity: An Internet experiment"
"24","85","How robust is laboratory gift exchange?"
"25","84","Individual and group decision making under risk: An experimental study of Bayesian updating and violations of first-order stochastic dominance"
"26","83","Do labour market conditions affect gift exchange? Some experimental evidence"
"27","81","The role of responsibility in strategic risk-taking"
"28","80","Altruism, equity, and reciprocity in a gift-exchange experiment: An encompassing approach"
"29","76","Experimental methods: Extra-laboratory experiments-extending the reach of experimental economics"
"30","75","The origin of the winner's curse: A laboratory study"
"31","70","Cooperation and competition in intergenerational experiments in the field and the laboratory"
"32","69","An investment game with third-party intervention"
"33","67","Deception: The role of guilt"
"34","67","Intention and stochastic outcomes: An experimental study"
"35","66","Participation"
"36","65","On the conjunction fallacy in probability judgment: New experimental evidence regarding Linda"
"37","64","Expressed preferences and behavior in experimental games"
"38","58","The hidden advantage of delegation: Pareto improvements in a gift exchange game"
"39","57","Experimental methods: When and why contextual instructions are important"
"40","57","Gender differences in cooperation with group membership"
"41","52","Ambiguity attitudes and social interactions: An experimental investigation"
"42","49","Informal risk sharing in an infinite-horizon experiment"
"43","48","Field and online experiments on self-control"
"44","45","Trust and trustworthiness reputations in an investment game"
"45","42","Letting down the team? Social effects of team incentives"
"46","42","Starting small toward voluntary formation of efficient large groups in public goods provision"
"47","40","Identities, selection, and contributions in a public-goods game"
"48","39","Inducing social norms in laboratory allocation choices"
"49","37","Bargaining and network structure: An experiment"
"50","36","Experimental methods: Measuring effort in economics experiments"
"51","35","Continuous time and communication in a public-goods experiment"
"52","35","When are layoffs acceptable? Evidence from a quasi-experiment"
"53","34","Endogenous transfers in the Prisoner's Dilemma game: An experimental test of cooperation and coordination"
"54","32","Experimental games on networks: Underpinnings of behavior and equilibrium selection"
"55","30","Deterrence, expected cost, uncertainty and voting: Experimental evidence"
"56","28","Group play in games and the role of consent in network formation"
"57","27","The effect of charitable giving on workers’ performance: Experimental evidence"
"58","27","What makes cheap talk effective? Experimental evidence"
"59","26","LET'S TALK: HOW COMMUNICATION AFFECTS CONTRACT DESIGN"
"60","25","Self-confidence and strategic behavior"
"61","25","Confirmation bias with motivated beliefs"
"62","24","Competition and the ratchet effect"
"63","22","Cheating, incentives, and money manipulation"
"64","19","Changes in the employment contract? Evidence from a quasi-experiment"
"65","18","Endogenous rewards promote cooperation"
"66","17","Creativity and incentives"
"67","17","Social surplus determines cooperation rates in the one-shot Prisoner's Dilemma"
"68","17","From the lab to the real world: Laboratory experiments provide precise quantitative predictions of peer effects in the field"
"69","16","Charity in the laboratory: Matching, competition, and group identity"
"70","14","Complexity in risk elicitation may affect the conclusions: A demonstration using gender differences"
"71","14","A restaurant field experiment in charitable contributions"
"72","14","Minimum advertised-price policy rules and retailer behavior: An experiment by Hewlett-Packard"
"73","13","Hidden information, bargaining power, and efficiency: An experiment"
"74","13","Self-serving biases: Evidence from a simulated labour relationship"
"75","12","Do measures of risk attitude in the laboratory predict behavior under risk in and outside of the laboratory?"
"76","12","Opportunistic conformism"
"77","12","Social comparisons in wage delegation: experimental evidence"
"78","11","Forward induction and entry deterrence: An experiment"
"79","11","Bargaining efficiency and screening: An experimental investigation"
"80","10","Social identity, group behavior, and teams"
