Scopus - 作者产出分析

"作者姓名:","Eisenhardt, Kathleen M."
"Scopus 作者 ID:","6701924601"

"h-Index:","46"

"起始年份:","1985"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","8357","Theory building from cases: Opportunities and challenges"
"2","7967","Dynamic capabilities: What are they?"
"3","2482","The art of continuous change: Linking complexity theory and time-paced evolution in relentlessly shifting organizations"
"4","1785","Exploring the black box: An analysis of work group diversity, conflict, and performance"
"5","1526","Resource-based View of Strategic Alliance Formation: Strategic and Social Effects in Entrepreneurial Firms"
"6","1242","CONTROL: ORGANIZATIONAL AND ECONOMIC APPROACHES."
"7","865","Strategic decision making"
"8","692","Developing theory through simulation methods"
"9","606","Constructing markets and shaping boundaries: Entrepreneurial power in nascent fields"
"10","552","Organizational boundaries and theories of organization"
"11","495","Integrating knowledge in groups: How formal interventions enable flexibility"
"12","488","Strategy as simple rules."
"13","472","Origin of alliance portfolios: Entrepreneurs, network strategies, and firm performance"
"14","430","Architectural innovation and modular corporate forms"
"15","429","Optimal structure, market dynamism, and the strategy of simple rules"
"16","424","Microfoundations of performance: Balancing efficiency and flexibility in dynamic environments"
"17","389","Swimming with sharks: Technology ventures, defense mechanisms and corporate relationships"
"18","379","Rational heuristics: The 'simple rules' that strategists learn from process experience"
"19","359","Grand challenges and inductive methods: Rigor without rigor mortis"
"20","331","The seller's side of the story: Acquisition as courtship and governance as syndicate in entrepreneurial firms"
"21","307","Inter-temporal economies of scope, organizational modularity, and the dynamics of diversification"
"22","286","Finding Theory–Method Fit: A Comparison of Three Qualitative Approaches to Theory Building"
"23","284","Rotating Leadership and Collaborative Innovation: Recombination Processes in Symbiotic Relationships"
"24","241","How management teams can have a good fight."
"25","223","Rewiring: Cross-business-unit collaborations in multibusiness organizations"
"26","219","Time pacing: competing in markets that won't stand still."
"27","215","Conflict and strategic choice: How top management teams disagree"
"28","207","Catalyzing strategies and efficient tie formation: How entrepreneurial firms Obtain investment ties"
"29","205","Patching. Restitching business portfolios in dynamic markets."
"30","202","The Evolution of Intracorporate Domains: Divisional Charter Losses in High-technology, Multidivisional Corporations"
"31","182","How firms navigate cooperation and competition in nascent ecosystems"
"32","157","Speed and Strategic Choice: How Managers Accelerate Decision Making"
"33","149","The global acquisition, leverage, and protection of technological competencies"
"34","129","Who Takes You to the Dance? How Partners’ Institutional Logics Influence Innovation in Young Firms"
"35","128","How entrepreneurs leverage institutional intermediaries in emerging economies to acquire public resources"
"36","98","Success and failure in technology acquisitions: Lessons for buyers and sellers"
"37","80","Position, leverage and opportunity: A typology of strategic logics linking resources with competitive advantage"
"38","76","Unpacking the CEO-Board relationship: How strategy making happens in entrepreneurial firms"
"39","73","Parallel Play: Startups, Nascent Markets, and Effective Business-model Design"
"40","70","Technology entrepreneurship"
"41","66","Life in the fast lane: Origins of competitive interaction in new vs. established markets"
"42","64","Top management teams and the performance of entrepreneurial firms"
"43","62","Strategic decisions and all that jazz"
"44","62","Managing organizational decline: Lessons from Atari"
"45","57","Failure is an option: Institutional change, entrepreneurial risk, and new firm growth"
"46","52","Strategy Formation in Entrepreneurial Settings: Past Insights and Future Directions"
"47","43","Austrian Insights on Strategic Organization: From Market Insights to Implications for Firms"
"48","37","Response to Vuori and Vuori's commentary on ""heuristics in the strategy context"""
"49","36","What is the Eisenhardt Method, really?"
"50","36","Simple rules for a complex world"
"51","36","Complexity theory and corporate strategy"
"52","35","Strategic Decision Processes in Silicon Valley: The Anatomy of a “Living Dead”"
"53","31","Superior strategy in entrepreneurial settings: Thinking, doing, and the logic of opportunity"
"54","22","Get rich or die trying… finding revenue model fit using machine learning and multiple cases"
"55","20","Which strategy when?"
"56","18","Decision weaving: Forming novel, complex strategy in entrepreneurial settings"
"57","16","COPING WITH DECLINE IN DYNAMIC MARKETS: CORPORATE ENTREPRENEURSHIP AND THE RECOMBINATIVE ORGANIZATIONAL FORM"
"58","14","Dynamic Optimization of Cash Flow Management Decisions: A Stochastic Model"
"59","12","The opportunity paradox"
"60","11","FIVE ISSUES WHERE GROUPS MEET TIME"
"61","8","Resource redeployment in business ecosystems"
"62","6","Unveiling how and what firms learn from heterogeneous experience: The internationalization of entrepreneurial firms"
"63","5","Chapter 10: Silicon valley, theories of organization, and the Stanford legacy"
"64","4","Strategy and Uncertainty: Resource-Based View, Strategy-Creation View, and the Hybrid Between Them"
"65","4","Ant colonies: building complex organizations with minuscule brains and no leaders"
"66","3","Bottlenecks, cooperation, and competition in nascent ecosystems"
"67","3","Thoughts about research, inspirations for research and future research <sup>☆</sup>"
"68","3","Business ecosystems"
"69","3","The art of continuous change: Linking complexity theory and time-paced evolution in relentlessly shifting organizations"
"70","2","BIG FISH VERSUS BIG POND? ENTREPRENEURS, ESTABLISHED FIRMS, AND ANTECEDENTS OF TIE FORMATION"
"71","2","Analytic models in strategy, organizations, and management research: A guide for consumers"
"72","1","Simple rules for a world of change: Reflections on “turning a process into a capability”"
"73","1","How entrepreneurs form relationships with other organizations: The securing of investments from venture capital and corporate investors"
"74","0","Correction to: Ant colonies: building complex organizations with minuscule brains and no leaders (Journal of Organization Design, (2021), 10, 1, (55-74), 10.1007/s41469-021-00093-4)"
"75","0","The new-market conundrum: In emerging industries the usual rules of strategy don’t apply"
"76","0","Get rich or die trying… Unpacking revenue model choice using machine learning and multiple cases"
"77","0","Get rich or die trying… Unpacking revenue model choice using machine learning and multiple cases"
"78","0","The value of formal models for management theory"
"79","0","Executive summary: How smart firms create productive ties"
"80","0","Failure is an option: Failure barriers and new firm performance"
"81","0","Strategic decisions and all that jazz"
"82","0","Making fast strategic decisions in high-velocity environments"
"83","0","Conflict and strategic choice: how top management teams disagree"

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
