Scopus - 作者产出分析

"作者姓名:","Zahra, Shaker A."
"Scopus 作者 ID:","7003264340"

"h-Index:","76"

"起始年份:","1985"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","5812","Absorptive capacity: A review, reconceptualization, and extension"
"2","1790","International expansion by new venture firms: International diversity, mode of market entry, technological learning, and performance"
"3","1501","Entrepreneurship and dynamic capabilities: A review, model and research agenda"
"4","1423","Boards of Directors and Corporate Financial Performance: A Review and Integrative Model"
"5","1215","A typology of social entrepreneurs: Motives, search processes and ethical challenges"
"6","1114","Contextual influences on the corporate entrepreneurship-performance relationship: A longitudinal analysis"
"7","879","A capabilities perspective on the effects of early internationalization on firm survival and growth"
"8","816","Predictors and financial outcomes of corporate entrepreneurship: An exploratory study"
"9","692","Goverance, ownership, and corporate entrepreneurship: The moderating impact of industry technological opportunities"
"10","683","Entrepreneurial risk taking in family firms"
"11","680","Entrepreneurship in family vs. non-family firms: A resource-based analysis of the effect of organizational culture"
"12","632","Environment, corporate entrepreneurship, and financial performance: A taxonomic approach"
"13","629","BOARD COMPOSITION FROM A STRATEGIC CONTINGENCY PERSPECTIVE"
"14","565","Middle managers' perception of the internal environment for corporate entrepreneurship: Assessing a measurement scale"
"15","550","A theory of international new ventures: A decade of research"
"16","546","International corporate entrepreneurship and firm performance: The moderating effect of international environmental hostility"
"17","544","International expansion of U.S. manufacturing family businesses: The effect of ownership and involvement"
"18","525","Exploration, exploitation, and financial performance: Analysis of S&amp;P 500 corporations"
"19","491","Business strategy, technology policy and firm performance"
"20","455","Emerging issues in corporate entrepreneurship"
"21","453","Entrepreneurship in medium-size companies: Exploring the effects of ownership and governance systems"
"22","451","Contextualizing theory building in entrepreneurship research"
"23","442","Entrepreneurship's next act"
"24","437","Sources of capabilities, integration and technology commercialization"
"25","382","The relative power of ceos and boards of directors: Associations with corporate performance"
"26","379","Technology strategy and software new ventures’ performance: Exploring the moderating effect of the competitive environment"
"27","378","Cognition and international entrepreneurship: Implications for research on international opportunity recognition and exploitation"
"28","367","A measure of absorptive capacity: Scale development and validation"
"29","367","The effects of business-university alliances on innovative output and financial performance: A study of publicly traded biotechnology companies"
"30","353","Ownership and the internationalization of small firms"
"31","347","Contextualization and the advancement of entrepreneurship research"
"32","338","International Entrepreneurship: The Current Status of the Field and Future Research Agenda"
"33","325","Culture of family commitment and strategic flexibility: The moderating effect of stewardship"
"34","296","Relational and Contractual Governance in Family Firms: Effects on Strategic Decision Making"
"35","290","Family Business Research: A Strategic Reflection"
"36","288","The survival of international new ventures"
"37","273","Technology strategy and new venture performance: A study of corporate-sponsored and independent biotechnology ventures"
"38","272","The effect of international venturing on firm performance: The moderating influence of absorptive capacity"
