Scopus - 作者产出分析

"作者姓名:","Birkinshaw, Julian M."
"Scopus 作者 ID:","7003272873"

"h-Index:","55"

"起始年份:","1995"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","2331","The antecedents, consequences, and mediating role of organizational ambidexterity"
"2","1399","Organizational ambidexterity: Antecedents, outcomes, and moderators"
"3","1224","Organizational ambidexterity: Balancing exploitation and exploration for sustained performance"
"4","944","Multinational subsidiary evolution: Capability and charter change in foreign-owned subsidiary companies"
"5","875","Management innovation"
"6","670","Entrepreneurship in multinational corporations: The characteristics of subsidiary initiatives"
"7","627","Knowledge transfer in international acquisitions"
"8","616","Building firm-specific advantages in multinational corporations: The role of subsidiary initiative"
"9","503","The innovation value chain"
"10","484","Building ambidexterity into an organization"
"11","468","Centers of excellence in multinational corporations"
"12","466","Managing the post-acquisition integration process: How the human integration and task integration processes interact to foster value creation"
"13","394","Weight versus voice: How foreign subsidiaries gain attention from corporate headquarters"
"14","387","The sources of management innovation: When firms introduce new management practices"
"15","383","Innovation in Multinational Corporations: Control and Communication Patterns in International R&amp;D Operations"
"16","368","How multinational subsidiary mandates are gained and lost"
"17","346","Clarifying the distinctive contribution of ambidexterity to the field of organization studies"
"18","340","From a distance and generalizable to up close and grounded: Reclaiming a place for qualitative methods in international business research"
"19","310","External sources of knowledge, governance mode, and R&amp;D performance"
"20","309","Knowledge flows within multinational corporations: Explaining subsidiary isolation and its performance implications"
"21","259","Knowledge as a contingency variable: Do the characteristics of knowledge predict organization structure?"
"22","252","Structural and competitive determinants of a global integration strategy"
"23","251","When does university research get commercialized? Creating ambidexterity in research institutions"
"24","223","Subsidiary entrepreneurship, internal and external competitive forces, and subsidiary performance"
"25","222","What are the consequences of initiative-taking in multinational subsidiaries?"
"26","222","Characteristics of Foreign subsidiaries in industry clusters"
"27","204","Managing power in the multinational corporation: How low-power actors gain influence"
"28","176","How management innovation happens"
"29","171","Ambidexterity and Survival in Corporate Venture Units"
"30","169","Fighting the corporate immune system: A process study of subsidiary initiatives in multinational corporations"
"31","167","Scientific collaboration results in higher citation rates of published articles"
"32","144","Finding, forming, and performing: Creating networks for discontinuous innovation"
"33","144","Managing knowledge in global service firms: Centers of excellence"
"34","135","Managing the knowledge life cycle"
"35","123","How do firms adapt to discontinuous change? Bridging the dynamic capabilities and ambidexterity perspectives"
"36","123","Headquarters' Attention and Its Effect on Subsidiary Performance"
"37","120","Consequences of perception gaps in the headquarters - Subsidiary relationship"
"38","117","International attention and multinational enterprise performance"
"39","115","Why do some multinational corporations relocate their headquarters overseas?"
"40","112","Intrafirm competition and charter evolution in the multibusiness firm"
"41","109","Unleash innovation in foreign subsidiaries."
"42","106","Strategy-organization configurations in corporate venture units: Impact on performance and survival"
"43","99","How is ambidexterity initiated? The emergent charter definition process"
"44","95","Global account management in multinational corporations: Theory and evidence"
"45","93","The 5 myths of innovation"
"46","82","The external knowledge sourcing process in multinational corporations"
"47","75","The role of external involvement in the creation of management innovations"
"48","75","Dancing with Gorillas: How small companies can partner effectively with MNC<inf>S</inf>"
"49","74","Strategies for managing internal competition"
"50","69","Boundary Spanning Activities of Corporate HQ Executives Insights from a Longitudinal Study"
"51","61","Knowledge transfer in international acquisitions"
"52","60","Choose Your Friends Carefully: Home-Country Ties and New Venture Internationalization"
"53","58","Ready to be Open? Explaining the Firm Level Barriers to Benefiting From Openness to External Knowledge"
"54","57","Why is knowledge management so difficult?"
"55","56","How do new ventures evolve? An inductive study of archetype changes in science-based ventures"
"56","55","Managing internal R &amp; D networks in global firms: What sort of knowledge is involved?"
"57","51","Strategy and Management In MNE Subsidiaries"
"58","51","Managing executive attention in the global company"
