Scopus - 作者产出分析

"作者姓名:","Timmer, Marcel P."
"Scopus 作者 ID:","7003424054"

"h-Index:","27"

"起始年份:","1999"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","1480","The next generation of the penn world table"
"2","1040","An Illustrated User Guide to the World Input-Output Database: The Case of Global Automotive Production"
"3","516","THE CONSTRUCTION OF WORLD INPUT-OUTPUT TABLES IN THE WIOD PROJECT"
"4","412","Output, input and productivity measures at the industry level: The EU KLEMS database"
"5","374","Slicing up global value chains"
"6","336","The productivity gap between Europe and the United States: Trends and causes"
"7","218","How global are global value chains? A new approach to measure international fragmentation"
"8","183","Fragmentation, incomes and jobs: An analysis of european competitiveness"
"9","133","Productivity growth in Asian manufacturing: The structural bonus hypothesis examined"
"10","129","Economic growth in Europe: A comparative industry perspective"
"11","123","Structural Change in Advanced Nations: A New Set of Stylised Facts"
"12","115","Does information and communication technology drive EU-US productivity growth differentials?"
"13","114","Market services productivity across Europe and the US"
"14","113","Structural change and growth accelerations in Asia and Latin America: A new sectoral data set"
"15","97","ICT and Europe's productivity performance: Industry-level growth account comparisons with the United States"
"16","82","Tracing value-added and double counting in gross exports: Comment"
"17","74","Deconstructing the BRICs: Structural transformation and aggregate productivity growth"
"18","72","Structural Transformation in Africa: Static Gains, Dynamic Losses"
"19","67","The 'appropriate technology' explanation of productivity growth differentials: An empirical approach"
"20","57","Patterns of structural change in developing countries"
"21","44","How important are exports for job growth in China? A demand side analysis"
"22","42","Indonesia's ascent on the technology ladder: Capital stock and total factor productivity in Indonesian Manufacturing, 1975-95"
"23","41","Functional specialisation in trade"
"24","32","Mind the gap! international comparisons of productivity in services and goods production"
"25","28","British and German manufacturing productivity compared: A new benchmark for 1935/36 based on double deflated value added"
"26","27","The relative price of services"
"27","27","Joint estimation of supply and use tables"
"28","26","Patterns of structural change in developing countries"
"29","23","Localized innovation and productivity growth in Asia: An intertemporal DEA approach"
"30","22","Productivity convergence across industries and countries: The importance of theory-based measurement"
"31","21","International comparisons of industry output, inputs and productivity levels: Methodology and new results"
"32","20","Catching-up in the global factory: Analysis and policy implications"
"33","19","Is mining fuelling long-run growth in Russia? Industry productivity growth trends since 1995"
"34","19","Technological development and rates of return to investment in a catching-up economy: The case of South Korea"
"35","18","Do Global Value Chains Enhance Economic Upgrading? A Long View"
"36","18","Estimating real production and expenditures across nations: A proposal for improving the penn world tables"
"37","18","Accounting for growth in retail trade: An international productivity comparison"
"38","17","The world economy: Growth or stagnation?"
"39","13","THE ROLE of RESOURCE MISALLOCATION in CROSS-COUNTRY DIFFERENCES in MANUFACTURING PRODUCTIVITY"
"40","13","The impact of computers on productivity in the trade sector: Explorations with Dutch microdata"
"41","12","Growth and Productivity Accounts From Eu Klems: An Overview"
"42","12","Purchasing power parities for industry comparisons using weighted Elteto-Koves-Szulc (EKS) methods"
"43","11","Comparative productivity performance in manufacturing in South and East Asia, 1960-93"
"44","10","The UK's Participation in Global Value Chains and Its Implications for Post-Brexit Trade Policy"
"45","10","Of yeast and mushrooms: Patterns of industry-level productivity growth"
"46","8","The dark side of creative destruction: Innovation and retirement of capital"
"47","7","Supply Chain Fragmentation and the Global Trade Elasticity: A New Accounting Framework"
"48","7","Is mining fuelling long-run growth in Russia? Industry productivity growth trends in 1995-2012"
"49","7","Europe's productivity performance in comparative perspective: Trends, causes and recent developments*"
"50","7","Market Services Productivity across Europe and the US"
"51","7","Standard errors as weights in multilateral price indexes"
"52","7","Alternative output measurement for the U.S. retail trade sector"
"53","6","Patterns of vertical specialisation in trade: long-run evidence for 91 countries"
"54","5","Climbing the technology ladder too fast? New evidence on comparative productivity performance in asian manufacturing"
"55","4","The Yankees of Europe? A New View on Technology and Productivity in German Manufacturing in the Early Twentieth Century"
"56","4","Resurgence of employment growth in the European Union: The role of cycles and labour market reforms"
"57","4","The employment effects of the ‘new economy'. A comparison of the european union and the United States"
"58","4","Is technical change directed by the supply of skills? The case of South Korea"
"59","4","Industry productivity comparisons"
"60","3","ICT and productivity growth in Europe: An update and comparison with the US"
"61","3","New developments in productivity analysis within an input-output framework: An introduction"
"62","3","Measuring embodied technological change in Indonesian textiles: The core-machinery approach"
"63","1","The rise of global manufacturing value chains: A new perspective based on the world input-output database"
"64","1","Europe’s productivity performance in comparative perspective: Trends, causes and projections"
"65","1","Purchasing power parities for international comparisons of output and productivity in Japan, South Korea, Taiwan and the United States"
"66","0","Rent appropriation in global value chains: The past, present, and future of intangible assets"
"67","0","Correction to: Supply Chain Fragmentation and the Global Trade Elasticity: A New Accounting Framework (IMF Economic Review, (2021), 69, 4, (656-680), 10.1057/s41308-021-00134-8)"
"68","0","Labour demand in global value chains: Is there a bias against unskilled work?"
"69","0","Accounting for growth and productivity in global value chains"
"70","0","Productivity convergence across industries and countries: The importance of theory- based measurement"
"71","0","Growth and productivity accounts from EU KLEMS: An overview"
"72","0","Financial and economic crises in Asia"

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
