Scopus - 作者产出分析

"作者姓名:","Acemoglu, Daron"
"Scopus 作者 ID:","7003483273"

"h-Index:","95"

"起始年份:","1993"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","4862","The colonial origins of comparative development: An empirical investigation"
"2","2253","Economic origins of dictatorship and democracy"
"3","1828","Reversal of fortune: Geography and institutions in the making of the modern world income distribution"
"4","1823","Chapter 6 Institutions as a Fundamental Cause of Long-Run Growth"
"5","1315","Unbundling institutions"
"6","1216","Skills, tasks and technologies: Implications for employment and earnings"
"7","1133","Technical Change, Inequality, and the Labor Market"
"8","962","Introduction to modern economic growth"
"9","872","The environment and directed technical change"
"10","844","Why do new technologies complement skills? Directed technical change and wage inequality"
"11","764","Directed technical change"
"12","720","The rise of Europe: Atlantic trade, institutional change, and economic growth"
"13","719","Why did the west extend the franchise? Democracy, inequality, and growth in historical perspective"
"14","672","Income and democracy"
"15","645","A theory of political transitions"
"16","643","Distance to frontier, selection, and economic growth"
"17","643","Institutional causes, macroeconomic symptoms: Volatility, crises and growth"
"18","601","The network origins of aggregate fluctuations"
"19","592","Systemic risk and stability in financial networks"
"20","576","Was Prometheus unbound by chance? Risk, diversification, and growth"
"21","501","Why do firms train? theory and evidence"
"22","486","Disease and development: The effect of life expectancy on economic growth"
"23","474","Beyond becker: Training in imperfect labour markets"
"24","461","Persistence of power, elites, and institutions"
"25","418","The structure of wages and investment in general training"
"26","373","Opinion dynamics and learning in social networks"
"27","352","How large are human-capital externalities? Evidence from compulsory schooling laws"
"28","349","Market size in innovation: Theory and evidence from the pharmaceutical industry"
"29","342","The choice between market failures and corruption"
"30","325","Bayesian learning in social networks"
"31","309","Why not a political Coase theorem? Social conflict, commitment, and politics"
"32","304","Patterns of skill premia"
"33","299","The race between man and machine: Implications of technology for growth, factor shares, and employment"
"34","294","Economic backwardness in political perspective"
"35","283","A microfoundation for social increasing returns in human capital accumulation"
"36","281","Consequences of employment protection? The case of the Americans with Disabilities Act"
"37","276","Import competition and the great US employment sag of the 2000s"
"38","272","Democracy does cause growth"
"39","270","Capital deepening and nonbalanced economic growth"
"40","252","Labor- and capital-augmenting technical change"
"41","247","Opinion fluctuations and disagreement in social networks"
"42","244","Property rights, corruption and the allocation of talent: A general equilibrium approach"
"43","241","Training and Innovation in an Imperfect Labour Market"
"44","237","Efficient unemployment insurance"
"45","237","Changes in unemployment and wage inequality: An alternative theory and some evidence"
"46","227","Alfred marshall lecture: Kleptocracy and dividend-rule: A model of personal rule"
"47","216","Spread of (mis)information in social networks"
"48","212","Robots and jobs: Evidence from us labor markets"
"49","211","Women, war and wages: The effect of female labor supply on the wage structure at midcentury"
"50","210","Good jobs versus bad jobs"
"51","209","Political economy, governance, and development: Political losers as a barrier to economic development"
"52","204","Reward structures and the allocation of talent"
"53","196","Transition to clean technology"
