Scopus - 作者产出分析

"作者姓名:","Glaeser, Edward"
"Scopus 作者 ID:","7003688582"

"h-Index:","78"

"起始年份:","1994"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","1514","Measuring trust"
"2","1481","Do institutions cause growth?"
"3","1215","Geographic concentration in U.S. manufacturing industries: A dartboard approach"
"4","1177","Consumer city"
"5","1030","Fighting Poverty in the US and Europe: A World of Difference"
"6","813","Crime and social interactions"
"7","811","An economic approach to social capital"
"8","783","Why have Americans become more obese?"
"9","743","Cities and skills"
"10","652","Are ghettos good or bad?"
"11","620","Economic growth in a cross-section of cities"
"12","583","The new comparative economics"
"13","568","Incentives and Social Capital: Are Homeowners Better Citizens?"
"14","560","What causes industry agglomeration? Evidence from coagglomeration patterns"
"15","537","The rise and decline of the American Ghetto"
"16","530","The greenness of cities: Carbon dioxide emissions and urban development"
"17","478","Why doesn't the United States have a European-style welfare state?"
"18","475","Legal origins"
"19","461","Learning in Cities"
"20","446","Are Cities Dying?"
"21","439","The geographic concentration of industry: Does natural advantage explain agglomeration?"
"22","401","The wealth of cities: Agglomeration economies and spatial equilibrium in the United States"
"23","391","Why do the poor live in cities? The role of public transportation"
"24","390","Housing supply and housing bubbles"
"25","390","Corruption in America"
"26","390","Urban decline and durable housing"
"27","390","Trade and circuses: Explaining urban giants"
"28","366","The divergence of human capital levels across cities"
"29","362","Why is there more crime in cities?"
"30","362","Information Technology and the Future of Cities"
"31","335","Cities, regions and the decline of transport costs"
"32","309","Chapter 56 Sprawl and urban growth"
"33","299","Why is manhattan so expensive? Regulation and the rise in housing prices"
"34","293","Geographic concentration as a dynamic process"
"35","273","Urban resurgence and the consumer city"
"36","272","Why does democracy need education?"
"37","272","Not-for-profit entrepreneurs"
"38","271","Coase versus the Coasians"
"39","263","The impact of COVID-19 on small business outcomes and expectations"
"40","252","The causes and consequences of land use regulation: Evidence from Greater Boston"
"41","247","Local industrial conditions and entrepreneurship: How much of the spatial distribution can we explain?"
"42","243","The rise of the regulatory state"
"43","241","The social multiplier"
"44","237","Urban growth and housing supply"
"45","237","Why have housing prices gone up?"
"46","220","The complementarity between cities and skills"
"47","208","The injustice of inequality"
"48","202","Work and leisure in the United States and Europe: Why so different?"
"49","190","The economics of place-making policies"
"50","183","Paternalism and psychology"
"51","182","Clusters of entrepreneurship"
"52","182","The political economy of hatred"
"53","178","Urban economics and entrepreneurship"
"54","160","Inequality in cities"
"55","160","Reinventing Boston: 1630-2003"
"56","157","Common genetic variants associated with cognitive performance identified using the proxy-phenotype method"
"57","155","Entrepreneurship and urban growth: An empirical assessment with historical mines"
"58","148","A real estate boom with Chinese characteristics"
"59","139","Urban growth in the 1990s: Is city living back?"
"60","134","Evidence on growth, increasing returns, and the extent of the market"
"61","132","Population and economic growth"
"62","125","What is different about urbanization in rich and poor countries? Cities in Brazil, China, India and the United States"
"63","123","Cities, productivity, and quality of life"
"64","118","When are ghettos bad? Lessons from immigrant segregation in the United States"
"65","116","The promises and pitfalls of genoeconomics"
"66","116","The misallocation of housing under rent control"
"67","107","Cities, Skills and Regional Change | Les grandes villes, les compétences et l'évolution régionale"
"68","104","The economic implications of housing supply"
"69","100","Computer vision uncovers predictors of physical urban change"
"70","97","Nonmarket interactions"
"71","96","BIG DATA AND BIG CITIES: THE PROMISES AND LIMITATIONS OF IMPROVED MEASURES OF URBAN LIFE"
"72","93","Strategic extremism: Why republicans and democrats divide on religious values"
"73","91","Cities and warfare: The impact of terrorism on urban form"
"74","89","The Social Consequences of Housing"
"75","87","The Principle of Relatedness"
"76","85","Myths and realities of american political geography"
"77","82","Clusters of entrepreneurship and innovation"
"78","81","The greenness of China: Household carbon dioxide emissions and urban development"
"79","76","Is the melting pot still hot? Explaining the resurgence of immigrant segregation"
"80","75","A world of cities: The causes and consequences of urbanization in poorer countries"
"81","75","Neither a borrower nor a lender be: An economic analysis of interest restrictions and usury laws"
"82","72","An extrapolative model of house price dynamics"
"83","72","Unhappy cities"
"84","70","The Los Angeles Riot and the Economics of Urban Unrest"
"85","68","The curley effect: The economics of shaping the electorate"
"86","66","Housing dynamics: An urban approach"
"87","65","What explains differences in smoking, drinking, and other health-related behaviors?"
"88","61","Psychology and the market"
"89","60","The rise of the sunbelt"
"90","50","A nation of gamblers: Real estate speculation and American history"
"91","49","A reason for quantity regulation"
"92","47","Jobs for the heartland: Place-based policies in 21st-century America"
"93","46","Preserving history or restricting development? The heterogeneous effects of historic districts on local housing markets in New York City"
"94","44","Urban economics for the developing World: An introduction"
"95","42","Crowdsourcing city government: Using tournaments to improve inspection accuracy"
"96","42","Identification and Inference With Many Invalid Instruments"
"97","42","Sentencing in Homicide Cases and the Role of Vengeance"
"98","42","Who Owns Guns? Criminals, Victims, and the Culture of Violence"
"99","41","Urban networks: Connecting markets, people, and ideas"
"100","38","The incentive effects of property taxes on local governments"
"101","36","Why it is hard to find genes associated with social science traits: Theoretical and empirical considerations"
"102","34","The role of industry-specific, occupation-specific, and location-specific knowledge in the growth and survival of new firms"
"103","32","Regulating misinformation"
"104","31","Incentives, predestination and free will"
"105","28","JUE Insight: How much does COVID-19 increase with mobility? Evidence from New York and four other U.S. cities"
"106","28","Shrouded costs of government: The political economy of state and local public pensions"
