Scopus - 作者产出分析

"作者姓名:","Lenzen, Manfred"
"Scopus 作者 ID:","7003767895"

"h-Index:","76"

"起始年份:","1996"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","764","System Boundary Selection in Life-Cycle Inventories Using Hybrid Approaches"
"2","755","The material footprint of nations"
"3","717","BUILDING EORA: A GLOBAL MULTI-REGION INPUT-OUTPUT DATABASE AT HIGH COUNTRY AND SECTOR RESOLUTION"
"4","666","International trade drives biodiversity threats in developing nations"
"5","550","Mapping the structure of the world economy"
"6","529","Errors in conventional and input-output-based life-cycle inventories"
"7","489","Examining the global environmental impact of regional consumption activities - Part 2: Review of input-output models for the assessment of environmental impacts embodied in trade"
"8","438","The carbon footprint of global tourism"
"9","425","Shared producer and consumer responsibility - Theory and practice"
"10","363","Primary energy and greenhouse gases embodied in Australian final consumption: an input-output analysis"
"11","339","A modified ecological footprint method and its application to Australia"
"12","337","CO<inf>2</inf> multipliers in multi-region input-output models"
"13","330","Input-output analysis and carbon footprinting: An overview of applications"
"14","316","Environmental and social footprints of international trade"
"15","316","A comparative multivariate analysis of household energy requirements in Australia, Brazil, Denmark, India and Japan"
"16","283","International trade of scarce water"
"17","281","Decoupling global environmental pressure and economic growth: scenarios for energy use, materials use and carbon emissions"
"18","273","Life cycle energy and greenhouse gas emissions of nuclear energy: A review"
"19","245","Quo Vadis MRIO? Methodological, data and institutional requirements for multi-region input-output analysis"
"20","231","Substantial nitrogen pollution embedded in international trade"
"21","227","Consumption-based GHG emission accounting: a UK case study"
"22","225","Energy and CO<inf>2</inf> life-cycle analyses of wind turbines-review and applications"
"23","222","Aggregation versus disaggregation in input-output analysis of the environment"
"24","218","Carbon footprint time series of the UK - results from a multi-region input-output model"
"25","217","International trade undermines national emission reduction targets: New evidence from air pollution"
"26","204","Energy requirements of Sydney households"
"27","199","A research agenda for improving national Ecological Footprint accounts"
"28","196","Uncertainty analysis for multi-region input - output models - a case study of the UK'S carbon footprint"
"29","196","Examining the global environmental impact of regional consumption activities - Part 1: A technical note on combining input-output and ecological footprint analysis"
"30","194","Application of hybrid life cycle approaches to emerging energy technologies - The case of wind power in the UK"
"31","188","Scientists’ warning on affluence"
"32","181","Environmentally important paths, linkages and key sectors in the Australian economy"
"33","179","A structural decomposition analysis of global energy footprints"
"34","176","A consistent input-output formulation of shared producer and consumer responsibility"
"35","154","Frameworks for comparing emissions associated with production, consumption, and international trade"
"36","149","A comparative study of some environmental impacts of conventional and organic farming in Australia"
"37","143","Energy requirements of households in Brazil"
"38","138","The carbon footprint of Australian health care"
"39","138","How City dwellers affect their resource Hinterland"
"40","138","Structural decomposition of energy use in Brazil from 1970 to 1996"
"41","136","Global material flows and resource productivity forty years of evidence"
"42","136","Compiling and using input-output frameworks through collaborative virtual laboratories"
"43","136","Income-based environmental responsibility"
"44","136","Effects of household consumption patterns on CO<inf>2</inf> requirements"
"45","133","Global socio-economic losses and environmental gains from the coronavirus pandemic"
"46","132","Integrating sustainable chain management with triple bottom line accounting"
"47","132","A guide for compiling inventories in hybrid life-cycle assessments: Some Australian results"
"48","131","Companies on the scale comparing and benchmarking the sustainability performance of businesses"
"49","129","Using input-output analysis to measure the environmental pressure of consumption at different spatial levels"
