Scopus - 作者产出分析

"作者姓名:","Ariely, Dan"
"Scopus 作者 ID:","7003817999"

"h-Index:","67"

"起始年份:","1995"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","1429","The dishonesty of honest people: A theory of self-concept maintenance"
"2","805","Doing good or doing well? Image motivation and monetary incentives in behaving prosocially"
"3","799","Beautiful faces have variable reward value: fMRI and behavioral evidence"
"4","751","“Coherent arbitrariness”: Stable demand curves without stable preferences"
"5","597","Wine online: Search costs affect competition on price, quality, and distribution"
"6","590","Procrastination, deadlines, and performance: Self-control by precommitment"
"7","545","Contagion and differentiation in unethical behavior: The effect of one bad apple on the barrel"
"8","540","Seeing Sets: Representation by Statistical Properties"
"9","529","Effort for payment - A tale of two markets"
"10","506","Building a better America-one wealth quintile at a time"
"11","471","Neuromarketing: The hope and hype of neuroimaging in business"
"12","451","The heat of the moment: The effect of sexual arousal on sexual decision making"
"13","440","Unable to resist temptation: How self-control depletion promotes unethical behavior"
"14","415","Controlling the information flow: Effects on consumers' decision making and preferences"
"15","392","The IKEA effect: When labor leads to love"
"16","379","Large stakes and big mistakes"
"17","364","Too tired to tell the truth: Self-control resource depletion and dishonesty"
"18","363","The dark side of creativity: Original thinkers can be more dishonest"
"19","339","Placebo effects of marketing actions: Consumers may get what they pay for"
"20","317","Zero as a special price: The true value of free products"
"21","311","Sequential choice in group settings: Taking the road less traveled and less enjoyed"
"22","299","Matching and sorting in online dating"
"23","288","Buying, bidding, playing, or competing? Value assessment and decision dynamics in online auctions"
"24","285","Focusing on the forgone: How value can appear so different to buyers and sellers"
"25","273","Commercial features of placebo and therapeutic efficacy"
"26","246","Dishonesty in everyday life and its policy implications"
"27","242","Try it, you'll like it: The influence of expectation, consumption, and revelation on preferences for beer"
"28","216","What makes you click?-mate preferences in online dating"
"29","211","Signing at the beginning makes ethics salient and decreases dishonest self-reports in comparison to signing at the end"
"30","208","Gestalt characteristics of experiences: The defining features of summarized events"
