Scopus - 作者产出分析

"作者姓名:","Wunder, Sven"
"Scopus 作者 ID:","7003871913"

"h-Index:","45"

"起始年份:","1996"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","1419","Designing payments for environmental services in theory and practice: An overview of the issues"
"2","753","Taking stock: A comparative analysis of payments for environmental services programs in developed and developing countries"
"3","578","The efficiency of payments for environmental services in tropical conservation: Essays"
"4","538","Livelihoods, forests, and conservation in developing countries: An overview"
"5","514","Environmental Income and Rural Livelihoods: A Global-Comparative Analysis"
"6","439","Show me the money: Do payments supply environmental services in developing countries?"
"7","364","Global cost estimates of reducing carbon emissions through avoided deforestation"
"8","352","Poverty alleviation and tropical forests-what scope for synergies?"
"9","337","Revisiting the concept of payments for environmental services"
"10","303","Payments for environmental services and the poor: Concepts and preliminary evidence"
"11","298","How can market mechanisms for forest environmental services help the poor? Preliminary lessons from Latin America"
"12","281","Spatial targeting of payments for environmental services: A tool for boosting conservation benefits"
"13","250","Ecotourism and economic incentives - An empirical approach"
"14","240","Effectiveness and synergies of policy instruments for land use governance in tropical regions"
"15","230","Mainstreaming Impact Evaluation in Nature Conservation"
"16","212","Selling two environmental services: In-kind payments for bird habitat and watershed protection in Los Negros, Bolivia"
"17","200","Decentralized payments for environmental services: The cases of Pimampiro and PROFAFOR in Ecuador"
"18","196","The Effectiveness of Payments for Environmental Services"
"19","183","Get the science right when paying for nature's services: Few projects adequately address design and evaluation"
"20","179","When payments for environmental services will work for conservation"
"21","176","Direct conservation payments in the Brazilian Amazon: Scope and equity implications"
"22","153","Forests, Livelihoods, and Conservation: Broadening the Empirical Base"
"23","136","From principles to practice in paying for nature's services"
"24","133","Safety Nets, Gap Filling and Forests: A Global-Comparative Perspective"
"25","121","Global patterns in the implementation of payments for environmental services"
"26","120","The value of tropical forest to local communities: Complications, caveats, and cautions"
"27","108","Are direct payments for environmental services spelling doom for sustainable forest management in the tropics?"
"28","100","Linking forest tenure reform, environmental compliance, and incentives: Lessons from redd+ initiatives in the brazilian amazon"
"29","90","Managing the miombo woodlands of Southern Africa: Policies, incentives and options for the rural poor"
"30","85","For services rendered? Modeling hydrology and livelihoods in Andean payments for environmental services schemes"
"31","80","Oil Wealth and the Fate of the Forest: A Comparative Study of Eight Tropical Countries"
"32","76","Synergies and trade-offs between ecosystem services in Costa Rica"
"33","75","Paying for avoided deforestation in the Brazilian Amazon: From cost assessment to scheme design"
"34","65","Quantifying the economic contribution of wild food harvests to rural livelihoods: A global-comparative analysis"
"35","64","Relationships Between Ecosystem Services: Comparing Methods for Assessing Tradeoffs and Synergies"
"36","64","Payments for ecosystem services: A new way of conserving biodiversity in forests"
"37","64","Is multiple-use forest management widely implementable in the tropics?"
"38","61","Forest law enforcement in the Brazilian Amazon: Costs and income effects"
"39","58","What is REDD+ achieving on the ground?"
"40","58","Forest Clearing in Rural Livelihoods: Household-Level Global-Comparative Evidence"
"41","56","Learning from REDD+: a response to Fletcher et al."
"42","49","Emerging evidence on the effectiveness of tropical forest conservation"
"43","49","Sustainable forest management and carbon in tropical latin America: The case for REDD+"
"44","49","Paying for watershed services in Latin America: A review of current initiatives"
"45","47","Subjective Wellbeing and Income: Empirical Patterns in the Rural Developing World"
"46","45","Spatial patterns of carbon, biodiversity, deforestation threat, and REDD+ projects in Indonesia"
"47","45","Heterogeneous users and willingness to pay in an ongoing payment for watershed protection initiative in the Colombian Andes"
"48","42","Deforestation and the uses of wood in the Ecuadorian Andes"
"49","41","When donors get cold feet: The community conservation concession in Setulang (Kalimantan, Indonesia) that never happened"
"50","40","REDD+, transformational change and the promise of performance-based payments: a qualitative comparative analysis"
"51","38","Mixing carrots and sticks to conserve forests in the Brazilian amazon: A spatial probabilistic modeling approach"
"52","34","The effectiveness of forest conservation policies and programs"
"53","30","Payments for environmental services: Past performance and pending potentials"
"54","30","The implementation costs of forest conservation policies in Brazil"
"55","29","Rural income and forest reliance in highland guatemala"
"56","27","Smallholder Specialization Strategies along the Forest Transition Curve in Southwestern Amazonia"
