Scopus - 作者产出分析

"作者姓名:","Kilian, Lutz"
"Scopus 作者 ID:","7004023654"

"h-Index:","53"

"起始年份:","1998"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","1772","Not all oil price shocks are alike: Disentangling demand and supply shocks in the crude oil market"
"2","916","The impact of oil price shocks on the U.S. stock market"
"3","556","Oil and the macroeconomy since the 1970s"
"4","528","The economic effects of energy price shocks"
"5","492","The role of inventories and speculative trading in the global market for crude oil"
"6","474","Why is it difficult to beat the random walk forecast of exchange rates?"
"7","452","Exogenous oil supply shocks: How big are they and how much do they matter for the U.S. economy?"
"8","416","Small-sample confidence intervals for impulse response functions"
"9","322","In-sample or out-of-sample tests of predictability: Which one should we use?"
"10","315","What do we learn from the price of crude oil futures?"
"11","309","Bootstrapping autoregressions with conditional heteroskedasticity of unknown form"
"12","255","Are the responses of the U.S. economy asymmetric in energy price increases and decreases?"
"13","253","Do We Really Know that Oil Caused the Great Stagflation? A Monetary Alternative"
"14","242","How sensitive are consumer expenditures to retail energy prices?"
"15","233","Exchange rates and monetary fundamentals: What do we learn from long-horizon regressions?"
"16","225","Forecasting the price of oil"
"17","202","Do energy prices respond to U.S. macroeconomic news? A test of the hypothesis of predetermined energy prices"
"18","198","A comparison of the effects of exogenous oil supply shocks on output and inflation in the G7 countries"
"19","194","The role of speculation in oil markets: What have we learned so far?"
"20","193","Forty years of oil price fluctuations: Why the price of oil may still surprise us"
"21","183","Why agnostic sign restrictions are not enough: Understanding the dynamics of oil market var models"
"22","167","Did unexpectedly strong economic growth cause the oil price shock of 2003-2008?"
"23","159","Nonlinearities in the oil price-output relationship"
"24","158","Oil shocks and external balances"
"25","155","Real-time forecasts of the real price of oil"
"26","145","Does the Fed Respond to Oil Price Shocks?"
"27","143","Recent developments in bootstrapping time series"
"28","139","Quantifying the speculative component in the real price of oil: The role of global oil inventories"
"29","132","Oil price shocks: Causes and consequences"
"30","127","A practitioner's guide to lag order selection for VAR impulse response analysis"
"31","126","Forecasting the Real Price of Oil in a Changing World: A Forecast Combination Approach"
"32","125","Size distortions of tests of the null hypothesis of stationarity: Evidence and implications for the PPP debate"
"33","118","Understanding the decline in the price of oil since June 2014"
