Scopus - 作者产出分析

"作者姓名:","Zingales, Luigi"
"Scopus 作者 ID:","7004110147"

"h-Index:","49"

"起始年份:","1995"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","3259","Financial Dependence and Growth"
"2","2761","What Do We Know about Capital Structure? Some Evidence from International Data"
"3","2163","Do investment-cash flow sensitivities provide useful measures of financing constraints?"
"4","1539","The great reversals: The politics of financial development in the twentieth century"
"5","1485","Does culture affect economic outcomes?"
"6","1173","Private Benefits of Control: An International Comparison"
"7","1170","The role of social capital in financial development"
"8","823","Cultural biases in economic exchange"
"9","783","The cost of diversity: The diversification discount and inefficient investment"
"10","759","Why do companies go public? An empirical analysis"
"11","752","Trusting the stock market"
"12","749","People's opium? Religion and economic attitudes"
"13","641","Innovation and institutional ownership"
"14","639","Who blows the whistle on corporate fraud?"
"15","545","In search of new foundations"
"16","495","Power in a theory of the firm"
"17","459","Does local financial development matter?"
"18","445","Diversity: Culture, gender, and math"
"19","388","The Corporate Governance Role of the Media: Evidence from Russia"
"20","382","Investment-cash flow sensitivities are not valid measures of financing constraints"
"21","376","Gender differences in financial risk aversion and career choices are affected by testosterone"
"22","365","Insider ownership and the decision to go public"
"23","315","How stereotypes impair women's careers in science"
"24","310","Theft and taxes"
"25","250","Alfred Marshall lecture: Social capital as good culture"
"26","236","What Determines the Value of Corporate Votes?"
"27","222","The firm as a dedicated hierarchy: A theory of the origins and growth of firms"
"28","202","Survival of the fittest or the fattest? Exit and financing in the trucking industry"
"29","194","The value of corporate culture"
"30","188","Paulson's gift"
"31","186","The determinants of attitudes toward strategic default on mortgages"
"32","174","LONG-TERM PERSISTENCE"
"33","164","Time varying risk aversion"
"34","158","Understanding trust"
"35","153","Financial systems, industrial structure, and growth"
"36","137","Civic capital as the missing link"
"37","116","Presidential Address: Does Finance Benefit Society?"
"38","114","A Trust Crisis"
"39","99","What Has Mattered to Economics since 1970"
"40","89","Companies should maximize shareholder welfare not market value"
"41","87","The future of securities regulation"
"42","82","A new capital regulation for large financial institutions"
"43","78","Are elite universities losing their competitive edge?"
"44","72","Towards a political theory of the firm"
"45","69","The influence of the financial revolution on the nature of firms"
"46","59","The ""cultural revolution"" in finance"
"47","58","The emergence of male leadership in competitive environments"
"48","56","Civic capital and social distancing during the Covid-19 pandemic<sup>☆</sup>"
"49","52","Is mistrust self-fulfilling?"
"50","48","Economic experts versus average americans"
"51","46","The tyranny of inequality"
"52","44","Corporate culture, societal culture, and institutions"
"53","40","Time discounting for primary and monetary rewards"
"54","40","A loan modification approach to the housing crisis"
"55","34","Preventing economists’ capture"
"56","33","Between-and within-sex variation in hormonal responses to psychological stress in a large sample of college students"
"57","31","The stock market as a source of capital: Some lessons from initial public offerings in Italy"
"58","29","Morningness-eveningness and intelligence among high-achieving US students: Night owls have higher GMAT scores than early morning types in a top-ranked MBA program"
"59","24","Monnet's error?"
"60","22","Media versus special interests"
"61","19","Procrastination and impatience"
"62","17","Plan B"
"63","15","The 2007-8 financial crisis: Lessons from corporate finance"
"64","14","Why Paulson is wrong"
"65","12","Bureaucracy as a mechanism to generate information"
"66","11","Liquidity and inefficient investment"
"67","9","Does local financial development matter?"
"68","7","The role of trust in the 2008 financial crisis"
"69","7","Learning to live with not-so-efficient markets"
"70","4","Corporate finance"
"71","3","Yes we can, secretary Geithner"
"72","2","Introduction"
"73","2","Reply to Joel and Tarrasch: On the relationship between testosterone, gender, financial risk aversion, and career choices"
"74","1","Political Determinants of Competition in the Mobile Telecommunication Industry"
"75","1","Bankruptcy is best to save GM"
"76","0","Corporate governance"
"77","0","Comment"
"78","0","A market-based regulatory policy to avoid financial crises"
"79","0","Cramdown"

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
