Scopus - 作者产出分析

"作者姓名:","Ployhart, Robert E."
"Scopus 作者 ID:","7004208559"

"h-Index:","53"

"起始年份:","1995"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","734","Longitudinal research: The theory, design, and analysis of change"
"2","659","Emergence of the human capital resource: A multilevel model"
"3","513","Growth Modeling Using Random Coefficient Models: Model Building, Testing, and Illustrations"
"4","466","The Microfoundations Movement in Strategy and Organization Theory"
"5","330","Applicants' perceptions of selection procedures and decisions: A critical review and agenda for the future"
"6","299","Staffing in the 21st Century: New challenges and strategic opportunities"
"7","282","Learning by doing something else: Variation, relatedness, and the learning curve"
"8","282","Determinants, Detection and Amelioration of Adverse Impact in Personnel Selection Procedures: Issues, Evidence and Lessons Learned"
"9","265","The power of momentum: A new model of dynamic relationships between job satisfaction change and turnover intentions"
"10","239","Transformational leadership: Relations to the five-factor model and team performance in typical and maximum contexts"
"11","230","Human Capital Is Dead; Long Live Human Capital Resources!"
"12","202","Multilevel Influences on Voluntary Workplace Green Behavior: Individual Differences, Leader Behavior, and Coworker Advocacy"
"13","200","The diversity-validity dilemma: Strategies for reducing racioethnic and sex subgroup differences and adverse impact in selection"
"14","200","Individual Adaptability (I-ADAPT) Theory: Conceptualizing the Antecedents, Consequences, and Measurement of Individual Differences in Adaptability"
"15","176","Social media: A contextual framework to guide research and practice"
"16","162","The consequences of human resource stocks and flows: A longitudinal examination of unit service orientation and unit effectiveness"
"17","153","Applicants' reactions to the fairness of selection procedures: The effects of positive rule violations and time of measurement"
"18","149","Acquiring and developing human capital in service contexts: The interconnectedness of human capital resources"
"19","149","The structure and function of human capital emergence: A multilevel examination of the attraction-selection-attrition model"
"20","146","A multidimensional approach for evaluating variables in organizational research and practice"
"21","143","The effects of staffing and training on firm productivity and profit growth before, during, and after the great recession"
"22","142","Context-emergent turnover (CET) theory: A theory of collective turnover"
"23","142","An evaluation of generic teamwork skills training with action teams: Effects on cognitive and skill-based outcomes"
"24","135","Applications of Mean and Covariance Structure Analysis: Integrating Correlational and Experimental Approaches"
"25","130","Generalizing newcomers' relational and organizational identifications: Processes and prototypicality"
"26","125","A Monte Carlo comparison of relative importance methodologies"
"27","125","Web-based and paper-and-pencil testing of applicants in a proctored setting: Are personality, biodata, and situational judgment tests comparable?"
"28","125","Toward an Explanation of Applicant Reactions: An Examination of Organizational Justice and Attribution Frameworks"
"29","124","Multilevel methods: Future directions in measurement, longitudinal analyses, and nonnormal outcomes"
"30","123","Explaining change: Theorizing and testing dynamic mediated longitudinal relationships"
