Scopus - 作者产出分析

"作者姓名:","Corley, Kevin G."
"Scopus 作者 ID:","7004228468"

"h-Index:","30"

"起始年份:","1999"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","3884","Seeking Qualitative Rigor in Inductive Research: Notes on the Gioia Methodology"
"2","1427","Identification in organizations: An examination of four fundamental questions"
"3","1136","Organizational identity, image, and adaptive instability"
"4","1117","Identity ambiguity and change in the wake of a corporate spin-off"
"5","822","Building theory about theory building: What constitutes a theoretical contribution?"
"6","425","The intersection of organizational identity, knowledge, and practice: Attempting strategic change via knowledge grafting"
"7","350","Building better theory by bridging the quantitative-qualitative divide"
"8","286","Finding Theory–Method Fit: A Comparison of Three Qualitative Approaches to Theory Building"
"9","280","Organizational identity formation and change"
"10","234","From the editors the coming of age for qualitative research: Embracing the diversity of qualitative methods"
"11","205","Guiding organizational identity through aged adolescence"
"12","199","Identity in organizations: Exploring cross-level dynamics"
"13","184","On the performance of technology-sourcing partnerships: The interaction between partner interdependence and technology attributes"
"14","150","Publishing in AMJ -Part 7: What's different about qualitative research?"
"15","144","Defined by our strategy or our culture? Hierarchical differences in perceptions of organizational identity and change"
"16","138","Organizational context as a moderator of theories on firm boundaries for technology sourcing"
"17","128","From support to mutiny: Shifting legitimacy judgments and emotional reactions impacting the implementation of radical change"
"18","109","Revising the past (while thinking in the future perfect tense)"
"19","83","The Rankings Game: Managing Business School Reputation"
"20","61","Visionary Ambiguity and Strategic Change: The Virtue of Vagueness in Launching Major Organizational Change"
"21","58","Clean climbing, carabiners, and cultural cultivation: Developing an open-systems perspective of culture"
"22","53","Stay or leave: Director identities and voluntary exit from the board during organizational crisis"
"23","50","On celebrating the organizational identity metaphor: A rejoinder to cornelissen"
"24","49","A Commentary on “What Grounded Theory Is…”: Engaging a Phenomenon from the Perspective of Those Living it"
"25","40","Managing multiple organizational identities: On identity ambiguity, identity conflict, and members reactions"
"26","39","Seeing More than Orange: Organizational Respect and Positive Identity Transformation in a Prison Context"
"27","37","Organizational sacralization and sacrilege"
"28","34","Reconciling scattered images: Managing disparate organizational expressions and impressions"
"29","32","Mixed Methods in the Organizational Sciences: Taking Stock and Moving Forward"
"30","30","E-survey methodology"
"31","24","Who, me? An inductive study of novice experts in the context of how editors come to understand theoretical contribution"
"32","17","Extending and Advancing Theories of Organizational Identity"
"33","17","The diaspora effect: The influence of exiles on their cultures of origin"
"34","15","Examining the non-executive director's role from a non-agency theory perspective: Implications arising from the higgs report"
"35","13","Virtually (in)separable: The centrality of relational cadence in the formation of virtual multiplex relationships"
"36","8","An editorial perspective on judging the quality of inductive research when the methodological straightjacket is loosened"
"37","7","Letter From a Newly-Tenured Professor (A Response to Hambrick and a Call to Action for My Fellow Associate Professors)"
"38","6","Generative organizational identity change: Approaching organizational authenticity as a process"
"39","4","Corporate directors' implicit theories of the roles and duties of boards"
"40","3","Hard and Soft Integration: Towards a Dynamic Model of Post-Acquisition Integration"
"41","3","Innovation through collaboration: Working together on data analysis and interpretation"
"42","2","Sociocognitive perspectives in strategic management"
"43","2","Innovation Tensions: Chaos, Structure, and Managed Chaos"
"44","0","Beginner’s muck: Maximizing your paper’s chances of success with a novice editor"
"45","0","Innovation through collaboration: Working together on data analysis and interpretation"
"46","0","The birth and death of sensegiving spirals: Searching for meaning during Hong Kong's SARS outbreak"

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
