Scopus - 作者产出分析

"作者姓名:","Verhoef, Peter C."
"Scopus 作者 ID:","7004384633"

"h-Index:","53"

"起始年份:","2001"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","1722","Customer engagement behavior: Theoretical foundations and research directions"
"2","1468","Understanding customer experience throughout the customer journey"
"3","1384","Customer Experience Creation: Determinants, Dynamics and Management Strategies"
"4","1011","From Multi-Channel Retailing to Omni-Channel Retailing. Introduction to the Special Issue on Multi-Channel Retailing."
"5","797","Understanding the Effect of Customer Relationship Management Efforts on Customer Retention and Customer Share Development"
"6","620","Challenges and opportunities in multichannel customer management"
"7","548","Customer engagement as a new perspective in customer management"
"8","542","Multichannel customer management: Understanding the research-shopper phenomenon"
"9","473","The effect of relational constructs on customer referrals and number of services purchased from a multiservice provider: Does age of relationship matter?"
"10","442","The theoretical underpinnings of customer asset management: A framework and propositions for future research"
"11","334","Multichannel Shopper Segments and Their Covariates"
"12","327","Understanding the marketing department's influence within the firm"
"13","295","Challenges and solutions for marketing in a digital era"
"14","278","Digital transformation: A multidisciplinary reflection and research agenda"
"15","227","Willingness to pay for organic products: Differences between virtue and vice foods"
"16","208","The quest for citations: Drivers of article impact"
"17","173","Generating global brand equity through corporate social responsibility to key stakeholders"
"18","169","The impact of satisfaction and payment equity on cross-buying: A dynamic model for a multi-service provider"
"19","160","The impact of brand equity and the hedonic level of products on consumer stock-out reactions"
"20","151","Predicting customer potential value an application in the insurance industry"
"21","132","The effect of acquisition channels on customer loyalty and cross-buying"
"22","129","Dynamic effects of social influence and direct marketing on the adoption of high-technology products"
"23","128","Understanding consumers' multichannel choices across the different stages of the buying process"
"24","127","The Showrooming Phenomenon: It's More than Just About Price"
"25","125","Loyalty Programmes: Current Knowledge and Research Directions"
"26","124","Good, better, engaged? The effect of company-initiated customer engagement behavior on shareholder value"
"27","123","Optimizing the marketing interventions mix in intermediate-term CRM"
"28","120","Explaining purchases of organic meat by Dutch consumers"
"29","119","Critical incidents and the impact of satisfaction on customer share"
"30","119","Linking Customer Assets to Financial Performance"
"31","114","Consumer perception and evaluation of waiting time: A field experiment"
"32","113","Drivers of and Barriers to Organic Purchase Behavior"
"33","113","Understanding brand and dealer retention in the new car market: The moderating role of brand tier"
"34","105","Expanding business-to-business customer relationships: Modeling the customer's upgrade decision"
"35","102","Choice models and customer relationship management"
"36","101","Marketing communication drivers of adoption timing of a new e-service among existing customers"
"37","96","Successful customer value management: Key lessons and emerging trends"
"38","95","CRM in data-rich multichannel retailing environments: A review and future research directions"
"39","93","Understanding customer switching behavior in a liberalizing service market: An exploratory study"
"40","87","Consumer Connectivity in a Complex, Technology-enabled, and Mobile-oriented World with Smart Products"
"41","83","Creating value with big data analytics: Making smarter marketing decisions"
"42","80","Modeling CLV: A test of competing models in the insurance industry"
"43","78","The short- and long-term impact of an assortment reduction on category sales"
"44","72","The impact of positive and negative emotions on loyalty intentions and their interactions with customer equity drivers"
"45","71","The Impact of Brand Delisting on Store Switching and Brand Switching Intentions"
"46","71","The commercial use of segmentation and predictive modeling techniques for database marketing in the Netherlands"
"47","68","Device switching in online purchasing: Examining the strategic contingencies"
"48","68","Recasting the customer experience in today’s omni-channel environment | Redefiniendo la experiencia del cliente en el entorno omnicanal"
"49","68","Service Encounters as a Sequence of Events: The Importance of Peak Experiences"
"50","67","Loyalty Formation for Different Customer Journey Segments"
"51","64","The interrelationships between brand and channel choice"
"52","59","Permission Marketing and Privacy Concerns — Why Do Customers (Not) Grant Permissions?"
"53","56","Globalization of authorship in the marketing discipline: Does it help or hinder the field?"
"54","51","The predictive ability of different customer feedback metrics for retention"
"55","50","The effect of search channel elimination on purchase incidence, order size and channel choice"
"56","50","Creating lift versus building the base: Current trends in marketing dynamics"
"57","49","Reward redemption effects in a loyalty program when customers choose how much and when to redeem"
"58","49","Satisfaction with virtual communities of interest: Effect on members' visit frequency"
"59","48","The effects of customer equity drivers on loyalty across services industries and firms"
"60","48","Staying Power of Churn Prediction Models"
