Scopus - 作者产出分析

"作者姓名:","Chua, Jess"
"Scopus 作者 ID:","7005163494"

"h-Index:","44"

"起始年份:","1979"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","765","Trends and directions in the development of a strategic management theory of the family firm"
"2","661","Comparing the agency costs of family and non-family firms: Conceptual issues and exploratory evidence"
"3","647","Family Involvement, Family Influence, and Family-Centered Non-Economic Goals in Small Firms"
"4","599","Strategic management of the family business: Past research and future challenges"
"5","448","Sources of Heterogeneity in Family Firms: An Introduction"
"6","442","Family control and family firm valuation by family CEOs: The importance of intentions for transgenerational control"
"7","358","Factors preventing intra-family succession"
"8","289","Succession and Nonsuccession Concerns of Family Firms and Agency Relationship with Nonfamily Managers"
"9","268","Are family managers agents or stewards? An exploratory study in privately held family firms"
"10","259","The ability and willingness paradox in family firm innovation"
"11","259","A unified systems perspective of family firm performance: An extension and integration"
"12","243","Succession Planning as Planned Behavior: Some Empirical Results"
"13","238","Predictors of satisfaction with the succession process in family firms"
"14","227","Ability and willingness as sufficiency conditions for family-oriented particularistic behavior: Implications for theory and empirical studies"
"15","227","An agency theoretic analysis of the professionalized family firm"
"16","216","Sources and consequences of distinctive familiness: An introduction"
"17","205","Important attributes of successors in family businesses: An exploratory study"
"18","193","The Administrative Costs of Corporate Bankruptcy: A Note"
"19","176","Family business studies: An annotated bibliography"
"20","169","An introduction to theories of family business"
"21","142","Are Family Firms Born or Made? An Exploratory Investigation"
"22","139","Family involvement and new venture debt financing"
"23","138","Priorities, resource stocks, and performance in family and nonfamily firms"
"24","136","Family social capital, venture preparedness, and start-up decisions: A study of hispanic entrepreneurs in new England"
"25","133","A Closer Look at Socioemotional Wealth: Its Flows, Stocks, and Prospects for Moving Forward"
"26","126","The influence of family goals, governance, and resources on firm outcomes"
"27","121","Governance and trust in family firms: An introduction"
"28","109","Family Enterprise and Context"
"29","95","Effects of family ownership and management on small business equity financing"
"30","94","Resilience of family firms: An introduction"
"31","78","Toward a theoretical basis for understanding the dynamics of strategic performance in family firms"
"32","74","Second-Order Gender Effects: The Case of U.S. Small Business Borrowing Cost"
"33","64","Perceptions about the extent of succession planning in canadian family firms"
"34","62","Asian family enterprises and family business research"
"35","60","Management processes and strategy execution in family firms: from “what” to “how”"
"36","60","Entrepreneurial management and governance in family firms: An introduction"
"37","57","Regional economy as a determinant of the prevalence of family firms in the United States: A preliminary report"
"38","56","Reflections on family firm goals and the assessment of performance"
"39","56","Incumbents’ Attitude Toward Intrafamily Succession: An Investigation of Its Antecedents"
"40","54","Embeddedness perspectives of economic action within family firms"
"41","48","Governance mechanisms and family firms"
"42","48","Governance Challenges in Family Businesses and Business Families"
"43","47","GOLD AS AN INFLATION HEDGE: A COMPARATIVE STUDY OF SIX MAJOR INDUSTRIAL COUNTRIES"
"44","44","Composite measures for the evaluation of investment performance"
"45","43","Management journals as venues for publication of family business research"
"46","42","Social structures, social relationships, and family firms"
"47","41","Personalism, particularism, and the competitive behaviors and advantages of family firms: An introduction"
"48","37","The determinants of family firms' subcontracting: A transaction cost perspective"
"49","31","Long range planning in large United States Corporations-A survey"
"50","29","An agency theoretic analysis of value creation through management buy-outs of family firms"
"51","28","Transaction costs and outsourcing decisions in small- and medium-sized family firms"
"52","25","Research on Chinese family businesses: Perspectives"
"53","22","Family Firm Behavior From a Psychological Perspective"
"54","22","Counterpoint: How Heterogeneity Among Family Firms Influences Organizational Change"
"55","17","Family Firm Challenges in Intergenerational Wealth Transfer"
"56","14","Important attributes of successors in family businesses: An exploratory study"
"57","13","Splitting the firm between the entrepreneur and the venture capitalist with the help of stock options"
"58","12","NONPECUNIARY BENEFITS AND ASSET MARKET EQUILIBRIUM"
"59","12","J. M. Keynes's Investment Performance: A Note"
"60","8","How family firms solve intra-family agency problems using interlocking directorates: An extension"
"61","7","The Mind-Set of Editors and Reviewers"
"62","7","Value Added by Angel Investors through Postinvestment Involvement: Exploratory Evidence and Ownership Implications"
"63","6","Board monitoring and access to debt financing"
"64","6","Deterioration in Borrowing Terms of Small Businesses: An Agency Perspective"
"65","5","MONETARY APPRECIATION AND INFLATION‐HEDGING CHARACTERISTICS OF COMIC BOOKS"
"66","4","An overview of research issues on family businesses in China"
"67","4","A comparison of econometric, time series, and composite forecasting methods in predicting accounting variables"
"68","4","EVIDENCE THAT THE COMMON STOCK MARKET ADJUSTS FULLY FOR EXPECTED INFLATION"
"69","3","Evidence supporting shareholder wealth maximization in management controlled firms"
"70","1","Family firm incumbent's attitude toward intra-family succession: Antecedents and effect on intention"
"71","1","Management and Organization Review Special Issue on ‘Expanding Research on Family Business in China’"
"72","1","Interaction of financial policies and firm goals in management controlled and owner controlled firms"
"73","0","Erratum to Asian family enterprises and family business research (Asia Pac J Manag, (2013), 30, (641-656) 10.1007/s10490-013-9350-z)"
"74","0","Preface"
"75","0","Hurdle-rate measurement for non-U.S. project in the energy industry"
"76","0","Hurdle rate measurement for overseas projects in the energy industry"
"77","0","International Diversification for Small Canadian Investors Through Mutual Funds"
"78","0","A NOTE ON INVESTMENT DECISION RULES BASED ON UTILITY FUNCTIONS"
"79","0","NONPECUNIARY BENEFITS AND ASSET MARKET EQUILIBRIUM."
"80","0","EFFICIENT PORTFOLIOS VERSUS EFFICIENT MARKET"

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
