Scopus - 作者产出分析

"作者姓名:","Foss, Nicolai J."
"Scopus 作者 ID:","7005282199"

"h-Index:","58"

"起始年份:","1993"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","735","Fifteen Years of Research on Business Model Innovation: How Far Have We Come, and Where Should We Go?"
"2","721","Absorbing the concept of absorptive capacity: How to realize its potential in the organization field"
"3","550","New human resource management practices, complementarities and the impact on innovation performance"
"4","496","Microfoundations of Routines and Capabilities: Individuals, Processes, and Structure"
"5","482","Strategic organization: A field in search of micro-foundations"
"6","466","The Microfoundations Movement in Strategy and Organization Theory"
"7","436","Transferring knowledge in MNCs: The role of sources of subsidiary knowledge and organizational context"
"8","392","Governing knowledge sharing in organizations: Levels of analysis, governance mechanisms, and research directions"
"9","361","Linking customer interaction and innovation: The mediating role of new organizational practices"
"10","347","Organizing entrepreneurial judgment: A new approach to the firm"
"11","321","Knowledge-based Approaches to the Theory of the Firm: Some Critical Comments"
"12","310","Building micro-foundations for the routines, capabilities, and performance links"
"13","292","Why a central network position isn't enough: The role of motivation and ability for knowledge sharing in employee networks"
"14","273","Encouraging knowledge sharing among employees: How job design matters"
"15","257","Theories of the firm: contractual and competence perspectives"
"16","248","The role of external knowledge sources and organizational design in the process of opportunity exploitation"
"17","238","Social Entrepreneurship Research: Past Achievements and Future Promises"
"18","237","The emerging knowledge governance approach: Challenges and characteristics"
"19","235","Why micro-foundations for resource-based theory are needed and what they may look like"
"20","225","Business models for open innovation: Matching heterogeneous open innovation strategies with business model dimensions"
"21","223","Organizing knowledge processes in the multinational corporation: An introduction"
"22","222","Resources and transaction costs: How property rights economics furthers the resource-based view"
"23","218","Capabilities and governance: The rebirth of production in the theory of economic organization"
"24","213","Economic freedom and entrepreneurial activity: Some cross-country evidence"
"25","210","Business models and business model innovation: Between wicked and paradigmatic problems"
"26","208","Selective intervention and internal hybrids: Interpreting and learning from the rise and decline of the Oticon spaghetti organization"
"27","169","What Drives Business Model Adaptation? The Impact of Opportunities, Threats and Strategic Orientation"
"28","149","The “human side” of open innovation: The role of employee diversity in firm-level openness"
"29","139","Institutions, entrepreneurship, and economic growth: What do we know and what do we still need to know?"
"30","137","Managing joint production motivation: The role of goal framing and governance mechanisms"
"31","126","International expansion through flexible replication: Learning from the internationalization experience of IKEA"
"32","126","Organizational routines and capabilities: Historical drift and a course-correction toward microfoundations"
"33","126","The entrepreneurial organization of heterogeneous capital"
"34","126","The resource-based tangle: Towards a sustainable explanation of competitive advantage"
"35","124","Microfoundations for strategy: A goal-framing perspective on the drivers of value creation"
"36","118","How Strategic Entrepreneurship and The Institutional Context Drive Economic Growth"
"37","110","Networks, capabilities, and competitive advantage"
"38","101","Research in strategy, economics, and Michael Porter"
"39","100","Higher-order industrial capabilities and competitive advantage"
"40","90","On the rationales of corporate headquarters"
"41","87","The resource-based perspective: An assessment and diagnosis of problems"
"42","85","Microfoundations in strategy research"
"43","85","Original and derived judgment: An entrepreneurial theory of economic organization"
"44","83","More Critical Comments on Knowledge-based Theories of the Firm"
"45","81","Towards a dynamic resource-based view: Insights from Austrian capital and entrepreneurship theory"
"46","75","Strategy, Economic Organization, and the Knowledge Economy: The Coordination of Firms and Resources"
"47","74","Performance pay, delegation and multitasking under uncertainty and innovativeness: An empirical investigation"
"48","66","Viewing global strategy through a microfoundations lens"
"49","66","Why Complementary HRM Practices Impact Performance: The Case of Rewards, Job Design, and Work Climate in a Knowledge-Sharing Context"
"50","66","Alternative research strategies in the knowledge movement: From macro bias to micro-foundations and multi-level explanation"
"51","65","Advancing Family Business Research: The Promise of Microfoundations"
"52","64","Organizational economics of capability and heterogeneity"
